COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Bach, Johann Sebastian","B Minor mass, BWV232",Crucifixus,15,Fr43,E minor
"Bach, Johann Sebastian","B Minor mass, BWV232",Crucifixus,51,Ger65,G major
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,38,viio6[b3],D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,82,Ger65/iv,D minor
"Beethoven, Ludwig van", ,Op34,121,Ger/V,C minor
"Beethoven, Ludwig van", ,Op34,121,Ger/V,C minor
"Beethoven, Ludwig van", ,Op34,149,It/V,F major
"Beethoven, Ludwig van", ,Op34,188,Ger/V,F major
"Beethoven, Ludwig van", ,WoO 64,47,It/V,F major
"Beethoven, Ludwig van", ,WoO 66,242,Ger/v,A minor
"Beethoven, Ludwig van", ,WoO 71,266,Fr/vi,A major
"Beethoven, Ludwig van", ,WoO 71,296,Ger/vi,A major
"Beethoven, Ludwig van", ,WoO 71,298,Ger/vi,A major
"Beethoven, Ludwig van", ,WoO 75,397,Ger/vi,F major
"Mozart, Wolfgang Amadeus", ,K265,253,It/V,C major
"Mozart, Wolfgang Amadeus", ,K455,250,It/V,G major
"Mozart, Wolfgang Amadeus", ,K455,260,It6,G major
"Purcell, Henry", ,Sonata Z807,93,It6,G minor
"Purcell, Henry", ,Sonata Z807,188,It6,G minor
"Purcell, Henry", ,Sonata Z807,212,It6,G minor
