COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Bach, Johann Sebastian","B Minor mass, BWV232",Crucifixus,11-13,iio64-V7-i-viio43/v,E minor
"Bach, Johann Sebastian","B Minor mass, BWV232",Crucifixus,29-31,V2-I6-V2-I6,B minor-A minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,23-25,V7-i-iv64-viio75,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,36-37,VI65-V/V-V65-V2/IV,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,36-38,V/V-V65-V2/IV-V65/VII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,47-49,V7-i-iv6-VII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,48-49,i-iv6-VII-III6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,48-50,iv6-VII-III6-VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,49-50,VII-III6-VI-iiø6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,49-51,III6-VI-iiø6-V7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,50-52,VI-iiø6-V7-i,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,50-52,iiø6-V7-i-iv6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,51-53,V7-i-iv6-VII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,52-53,i-iv6-VII-III6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,52-54,iv6-VII-III6-VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,53-54,VII-III6-VI-iiø6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,53-55,III6-VI-iiø6-V7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,54-56,VI-iiø6-V7-i,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,54-56,iiø6-V7-i-iv6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,55-57,V7-i-iv6-VII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,56-57,i-iv6-VII-III6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,56-58,iv6-VII-III6-VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,57-58,VII-III6-VI-iiø6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,57-59,III6-VI-iiø6-V7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,58-60,VI-iiø6-V7-i,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,58-60,iiø6-V7-i-iv6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,59-61,V7-i-iv6-VII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,60-61,i-iv6-VII-III6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,60-62,iv6-VII-III6-VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,61-62,VII-III6-VI-ii6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,61-63,III6-VI-ii6-V7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,63-65,V7-i-iv6-VII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,64-65,i-iv6-VII-III6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,64-66,iv6-VII-III6-VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,65-66,VII-III6-VI-iiø6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,65-67,III6-VI-iiø6-V7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,66-68,VI-iiø6-V7-i,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,66-68,iiø6-V7-i-iv6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,67-69,V7-i-iv6-VII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,68-69,i-iv6-VII-III6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,68-70,iv6-VII-III6-VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,69-70,VII-III6-VI-iiø6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,69-71,III6-VI-iiø6-V7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,70-72,VI-iiø6-V7-i,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,70-72,iiø6-V7-i-IV6,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,105-107,V65-V/IV-iiø43-V,Bb major-D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,106-108,V/IV-iiø43-V-i,Bb major-D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,137-139,iii6-vi2-ii65-V7,D major
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,180-182,vi-ii7-V-V7/IV,D major
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,181-182,ii7-V-V7/IV-IV,D major
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,207-208,vi-ii65-V-i,D major-D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,239-241,V7-i-iv-V7/III,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,240-241,i-iv-V7/III-V/VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,240-242,iv-V7/III-V/VI-VI7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,241-242,V7/III-V/VI-VI7-bII,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,241-243,V/VI-VI7-bII-V43,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,242-244,VI7-bII-V43-i,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,242-244,bII-V43-i-iv7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,243-245,V43-i-iv7-V/III,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,244-245,i-iv7-V/III-V/VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,244-246,iv7-V/III-V/VI-VI,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,245-246,V/III-V/VI-VI-ii7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,245-247,V/VI-VI-ii7-V7,D minor
"Bach, Johann Sebastian","Partita No2, BWV1004",5 Chaconne,246-248,VI-ii7-V7-I[no3no5],D minor
"Beethoven, Ludwig van", ,WoO 64,48-50,vi/V-ii6/V-V7/V-I/V,F major
"Beethoven, Ludwig van", ,WoO 65,37-39,V7/ii-ii-V7-I,D major
"Beethoven, Ludwig van", ,WoO 65,85-87,V7/ii-ii-V7-I,D major
"Beethoven, Ludwig van", ,WoO 65,310-312,V2/ii-ii6-V7-I,D major
"Beethoven, Ludwig van", ,WoO 65,415-415,V2/ii-ii-V2-I6,D major
"Beethoven, Ludwig van", ,WoO 65,423-423,V2/ii-ii6-V2-I6,D major
"Beethoven, Ludwig van", ,WoO 65,429-430,V43/V-ii/IV-V65/IV-IV,D major
"Beethoven, Ludwig van", ,WoO 65,437-438,V43/V-ii/IV-V65/IV-IV,D major
"Beethoven, Ludwig van", ,WoO 65,463-465,ii-V7-I-IV,D major
"Beethoven, Ludwig van", ,WoO 65,521-524,V6-I-IV6-viio,D major
"Beethoven, Ludwig van", ,WoO 65,525-528,IV-viio-V6/vi-vi,D major
"Beethoven, Ludwig van", ,WoO 65,526-529,viio-V6/vi-vi-ii6,D major
"Beethoven, Ludwig van", ,WoO 65,527-530,V6/vi-vi-ii6-V7,D major
"Beethoven, Ludwig van", ,WoO 65,528-531,vi-ii6-V7-I,D major
"Beethoven, Ludwig van", ,WoO 66,24-26,V65/ii-ii-V65-I,A major
"Beethoven, Ludwig van", ,WoO 66,60-62,iii-V65/ii-ii-V6,A major
"Beethoven, Ludwig van", ,WoO 66,61-63,V65/ii-ii-V6-I,A major
"Beethoven, Ludwig van", ,WoO 66,98-100,V43/ii-ii-V43-I,A major
"Beethoven, Ludwig van", ,WoO 66,135-137,vi-ii-V6-I,A major
"Beethoven, Ludwig van", ,WoO 66,180-181,ii6-V-I-IV,A major
"Beethoven, Ludwig van", ,WoO 66,209-211,V6/ii-ii-V6-I,A major
"Beethoven, Ludwig van", ,WoO 66,233-235,V6/V-v-i-viio64/v,A minor
"Beethoven, Ludwig van", ,WoO 66,285-287,V43/ii-ii-V43-I6,A major
"Beethoven, Ludwig van", ,WoO 66,322-324,V65/ii-ii-V65-I,A major
"Beethoven, Ludwig van", ,WoO 66,359-361,V65/ii-ii-V65-I,A major
"Beethoven, Ludwig van", ,WoO 66,367-368,vi-ii6-V-I,A major
"Beethoven, Ludwig van", ,WoO 66,396-398,V65/ii-ii-V65-I,A major
"Beethoven, Ludwig van", ,WoO 66,397-398,ii-V65-I-IV,A major
"Beethoven, Ludwig van", ,WoO 66,524-526,V7/ii-ii-V65-I,A major
"Beethoven, Ludwig van", ,WoO 68,0-2,V-I-IV-viio,C major
"Beethoven, Ludwig van", ,WoO 68,54-56,V43/ii-ii-V7-I,C major
"Beethoven, Ludwig van", ,WoO 68,62-64,V43/ii-ii-V7-I,C major
"Beethoven, Ludwig van", ,WoO 68,264-267,vi-V65/V-V7-I,C major
"Beethoven, Ludwig van", ,WoO 69,108-110,V43-I6-IV-viio43,C major
"Beethoven, Ludwig van", ,WoO 69,139-141,V65/ii-ii-V7-I,A major
"Beethoven, Ludwig van", ,WoO 69,257-259,V7/V-V-V43/IV-IV,A major
"Beethoven, Ludwig van", ,WoO 70,129-132,V65/ii-ii-V7-I,G major
"Beethoven, Ludwig van", ,WoO 71,127-128,vi-V43/V-V-I6,A major
"Beethoven, Ludwig van", ,WoO 71,127-129,V43/V-V-I6-IV6,A major
"Beethoven, Ludwig van", ,WoO 71,203-204,vi-V7/V-V-I,A major
"Beethoven, Ludwig van", ,WoO 71,226-228,iiø43-V7-i-iv64,A minor
"Beethoven, Ludwig van", ,WoO 71,267-270,V7/vi-V7/ii-V7/V-V7,A major
"Beethoven, Ludwig van", ,WoO 71,268-271,V7/ii-V7/V-V7-I,A major
"Beethoven, Ludwig van", ,WoO 71,289-292,VI7/ii-V43/vi-i6/vi-iio6,A major
"Beethoven, Ludwig van", ,WoO 72,271-274,V/V-I/V-I-IV64,C major
"Beethoven, Ludwig van", ,WoO 73,100-103,ii-V7-I-IV,Bb major
"Beethoven, Ludwig van", ,WoO 75,32-35,vi/V-V7/V/V-V/V-V7,F major
"Beethoven, Ludwig van", ,WoO 75,33-36,V7/V/V-V/V-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,46-48,vi-ii6-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,95-97,vi-ii6-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,193-195,vi-ii7-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,229-232,V65/ii-ii-V9-I,F major
"Beethoven, Ludwig van", ,WoO 75,234-236,vi-ii65-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,242-244,vi-ii6-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,278-281,V/ii-ii-V-I,F major
"Beethoven, Ludwig van", ,WoO 75,291-293,vi-V43/V-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,332-334,VI-iio6-V-i,F minor
"Beethoven, Ludwig van", ,WoO 75,340-342,VI-iiø65-V7-i,F minor
"Beethoven, Ludwig van", ,WoO 75,381-383,vi-ii6-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,389-391,vi-ii7-V7-I,F major
"Beethoven, Ludwig van", ,WoO 75,420-423,ii7-V-I-IV,D major
"Beethoven, Ludwig van", ,WoO 75,429-432,vi64-ii-V7-I,Bb major
"Beethoven, Ludwig van", ,WoO 75,461-464,-VI64-iiø7-V65-i,F minor
"Beethoven, Ludwig van", ,WoO 75,504-506,vi-ii6-V7-I,F minor
"Beethoven, Ludwig van", ,WoO 75,508-510,vi-ii6-V7-I,F minor
"Beethoven, Ludwig van", ,WoO 76,7-10,V7/V-V-I-IV,F major
"Beethoven, Ludwig van", ,WoO 76,31-34,V7/V-V-I-IV,F major
"Beethoven, Ludwig van", ,WoO 76,55-58,V7/V-V-I-IV,F major
"Beethoven, Ludwig van", ,WoO 76,79-82,V7/V-V-I-IV,F major
"Beethoven, Ludwig van", ,WoO 76,103-106,V7/V-V-I6-IV6,F major
"Beethoven, Ludwig van", ,WoO 76,175-178,V7/V-V-I6-IV,F major
"Beethoven, Ludwig van", ,WoO 76,216-218,V6/ii-ii-I6/V[V6]-IV/V,F major
"Beethoven, Ludwig van", ,WoO 76,217-218,ii-I6/V[V6]-IV/V-viio6/V,F major
"Beethoven, Ludwig van", ,WoO 76,267-270,V/ii-ii-V65-I,F major
"Beethoven, Ludwig van", ,WoO 77,42-43,V2-I6-IV6-viio7,G major
"Beethoven, Ludwig van", ,WoO 78,4-6,vi-ii6-V-I,C major
"Beethoven, Ludwig van", ,WoO 78,15-17,vi-ii-V-I,C major
"Beethoven, Ludwig van", ,WoO 78,22-25,V7/ii-ii-V7-I,C major
"Beethoven, Ludwig van", ,WoO 78,26-28,vi-ii6-V7-I,C major
"Beethoven, Ludwig van", ,WoO 78,45-46,vi-ii6-V2-I6,C major
"Beethoven, Ludwig van", ,WoO 78,57-58,V7/ii-ii-V2-I6,C major
"Beethoven, Ludwig van", ,WoO 78,64-67,V7/ii-iiø43-V7-I,C major
"Beethoven, Ludwig van", ,WoO 78,71-73,VI-iiø65-V-i,C minor
"Beethoven, Ludwig van", ,WoO 78,71-73,iiø65-V-i-iv6,C minor
"Beethoven, Ludwig van", ,WoO 78,133-135,V2/ii-ii6-V-I,C major
"Beethoven, Ludwig van", ,WoO 78,150-152,ii6-V-I-IV,C major
"Beethoven, Ludwig van", ,WoO 78,152-154,ii-V7-I-IV,C major
"Beethoven, Ludwig van", ,WoO 80,109-111,V43/iii-iii6-V/ii-ii64,C major
"Mozart, Wolfgang Amadeus", ,K179,178-180,vi-ii6-V-I6,C major
