COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	17	III+65/iv	E minor
Purcell, Henry	 	Chacony Z730	47	III+7	G minor
Purcell, Henry	 	Chacony Z730	113	III+6	C minor
Purcell, Henry	 	Sonata Z807	4	III+6	G minor
Purcell, Henry	 	Sonata Z807	39	III+6	G minor
Purcell, Henry	 	Sonata Z807	89	III+6	G minor
Purcell, Henry	 	Sonata Z807	104	III+6	G minor
Purcell, Henry	 	Sonata Z807	145	III+6	G minor
Purcell, Henry	 	Sonata Z807	149	III+	G minor
Purcell, Henry	 	Sonata Z807	154	III+6	G minor
Purcell, Henry	 	Sonata Z807	188	VI+	G minor
Purcell, Henry	 	Sonata Z807	194	III+6	G minor
Purcell, Henry	 	Sonata Z807	199	III+6	G minor
Purcell, Henry	 	Sonata Z807	211	III+6	C minor
