COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	6	viio43/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	7	viio7/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	10	viio43/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	10	viio64/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	13	viio43/v	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	14	iv7/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	14	viio43/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	17	III+65/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	22	viio43/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	26	viio43/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	39	viio7/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	46	viio43/iv	E minor
Bach, Johann Sebastian	B Minor mass, BWV232	Crucifixus	50	viio43/iv	E minor
Purcell, Henry	 	Chacony Z730	5	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	13	V65/iv	G minor
Purcell, Henry	 	Chacony Z730	21	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	29	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	33	V42/V	G minor
Purcell, Henry	 	Chacony Z730	36	ii7/iv	G minor
Purcell, Henry	 	Chacony Z730	37	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	43	V/III	G minor
Purcell, Henry	 	Chacony Z730	45	V7/iv	G minor
Purcell, Henry	 	Chacony Z730	58	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	66	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	74	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	82	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	86	V42/V	G minor
Purcell, Henry	 	Chacony Z730	90	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	98	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	104	V/iv	G minor
Purcell, Henry	 	Chacony Z730	106	V65/iv	G minor
Purcell, Henry	 	Chacony Z730	118	V/V	Bb major
Purcell, Henry	 	Chacony Z730	127	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	135	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	143	V6/iv	G minor
Purcell, Henry	 	Chacony Z730	151	V6/iv	G minor
