key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c# minor	[0.021, 0.469, 0.0, 0.059, 0.138, 0.0, 0.056, 0.0, 0.243, 0.014, 0.0, 0.0]	0.0	35.0	35.0	1	11	10
g# minor	[0.02, 0.347, 0.0, 0.092, 0.112, 0.0, 0.092, 0.061, 0.163, 0.041, 0.071, 0.0]	35.0	47.0	4.0	11	15	4
E major	[0.0, 0.115, 0.0, 0.262, 0.115, 0.0, 0.016, 0.033, 0.148, 0.0, 0.115, 0.197]	47.0	55.0	4.0	15	19	4
f# minor	[0.0, 0.016, 0.066, 0.071, 0.208, 0.0, 0.093, 0.016, 0.186, 0.055, 0.0, 0.29]	55.0	79.0	1.0	19	27	8
g# minor	[0.0, 0.113, 0.085, 0.0, 0.014, 0.17, 0.213, 0.0, 0.085, 0.092, 0.0, 0.227]	79.0	95.0	1.0	27	31	4
G# major	[0.0, 0.446, 0.054, 0.0, 0.0, 0.018, 0.214, 0.0, 0.036, 0.125, 0.0, 0.107]	95.0	103.0	1.0	31	35	4
c# minor	[0.0, 0.299, 0.0, 0.068, 0.128, 0.026, 0.111, 0.103, 0.162, 0.034, 0.06, 0.009]	103.0	116.0	1.0	35	39	4
b minor	[0.0, 0.25, 0.0, 0.05, 0.225, 0.0, 0.025, 0.075, 0.25, 0.0, 0.075, 0.05]	116.0	120.0	4.0	39	40	1
c# minor	[0.155, 0.099, 0.0, 0.329, 0.0, 0.019, 0.0, 0.081, 0.261, 0.0, 0.056, 0.0]	120.0	140.0	4.0	40	48	8
D major	[0.054, 0.351, 0.0, 0.054, 0.162, 0.0, 0.0, 0.0, 0.27, 0.108, 0.0, 0.0]	140.0	148.0	4.0	48	50	2
c# minor	[0.083, 0.111, 0.0, 0.111, 0.083, 0.0, 0.153, 0.056, 0.125, 0.167, 0.111, 0.0]	148.0	160.0	3.0	50	53	3
D- major	[0.04, 0.241, 0.041, 0.08, 0.044, 0.099, 0.104, 0.028, 0.203, 0.044, 0.042, 0.033]	160.0	295.0	6.0	53	67	14
