COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	Chorales	11	28	I	D minor
Bach, Johann Sebastian	Chorales	12	16	I	A minor
Bach, Johann Sebastian	Chorales	13	10	IV6/5	A minor
Bach, Johann Sebastian	Chorales	13	11	IV6	E minor
Bach, Johann Sebastian	Chorales	13	14	IV2	A minor
Bach, Johann Sebastian	Chorales	13	16	I	A minor
Bach, Johann Sebastian	Chorales	14	7	IV6	E minor
Bach, Johann Sebastian	Chorales	14	7	IV6/5	E minor
Bach, Johann Sebastian	Chorales	15	2	I	A minor
Bach, Johann Sebastian	Chorales	15	7	I6	D minor
Bach, Johann Sebastian	Chorales	15	12	I	D minor
Bach, Johann Sebastian	Chorales	16	11	IV	B minor
Bach, Johann Sebastian	Chorales	17	1	IV	E minor
Bach, Johann Sebastian	Chorales	17	8	I	B minor
Bach, Johann Sebastian	Chorales	17	18	I	E minor
Bach, Johann Sebastian	Chorales	19	8	I6	G minor
Bach, Johann Sebastian	Chorales	19	8	IV	G minor
Bach, Johann Sebastian	Chorales	19	9	I	G minor
Bach, Johann Sebastian	Chorales	2	2	i	E major
Bach, Johann Sebastian	Chorales	3	10	IV	A minor
Bach, Johann Sebastian	Chorales	5	13	viiø7	D minor
Bach, Johann Sebastian	Chorales	5	14	I	D minor
Bach, Johann Sebastian	Chorales	7	22	I	B minor
Bach, Johann Sebastian	Chorales	7	32	v6	E major
Bach, Johann Sebastian	Chorales	8	14	I	C minor
Bach, Johann Sebastian	Chorales	8	14	I	C minor
Bach, Johann Sebastian	Chorales	8	20	I	F minor
Monteverdi, Claudio	Madrigals Book 3	1	27	I	D minor
Monteverdi, Claudio	Madrigals Book 3	1	28	I	D minor
Monteverdi, Claudio	Madrigals Book 3	1	36	I	G minor
Monteverdi, Claudio	Madrigals Book 3	1	40	I	G minor
Monteverdi, Claudio	Madrigals Book 3	1	50	I	G minor
Monteverdi, Claudio	Madrigals Book 3	1	60	I	D minor
Monteverdi, Claudio	Madrigals Book 3	1	62	ii6	G minor
Monteverdi, Claudio	Madrigals Book 3	1	65	IV6	G minor
Monteverdi, Claudio	Madrigals Book 3	1	69	IV	G minor
Monteverdi, Claudio	Madrigals Book 3	1	72	I6	G minor
Monteverdi, Claudio	Madrigals Book 3	1	73	I	G minor
Monteverdi, Claudio	Madrigals Book 3	1	74	I	G minor
Monteverdi, Claudio	Madrigals Book 3	1	74	I6	G minor
Monteverdi, Claudio	Madrigals Book 3	1	80	ii6	G minor
Monteverdi, Claudio	Madrigals Book 3	1	100	I	G minor
Monteverdi, Claudio	Madrigals Book 3	1	100	ii6	G minor
Monteverdi, Claudio	Madrigals Book 3	1	102	I	G minor
Monteverdi, Claudio	Madrigals Book 3	10	33	v	C major
Monteverdi, Claudio	Madrigals Book 3	10	40	I	A minor
Monteverdi, Claudio	Madrigals Book 3	10	41	I	A minor
Monteverdi, Claudio	Madrigals Book 3	10	42	I	A minor
Monteverdi, Claudio	Madrigals Book 3	10	54	I	A minor
Monteverdi, Claudio	Madrigals Book 3	10	58	I	A minor
Monteverdi, Claudio	Madrigals Book 3	10	59	I	A minor
Monteverdi, Claudio	Madrigals Book 3	10	61	I6	A minor
Monteverdi, Claudio	Madrigals Book 3	10	62	I6	A minor
Monteverdi, Claudio	Madrigals Book 3	10	68	I6	D minor
Monteverdi, Claudio	Madrigals Book 3	10	69	I6	D minor
Monteverdi, Claudio	Madrigals Book 3	10	74	I	D minor
Monteverdi, Claudio	Madrigals Book 3	10	75	I	D minor
Monteverdi, Claudio	Madrigals Book 3	10	76	I	D minor
Monteverdi, Claudio	Madrigals Book 3	10	76	IV	D minor
Monteverdi, Claudio	Madrigals Book 3	10	82	I	D minor
Monteverdi, Claudio	Madrigals Book 3	11	4	viio7	F major
Monteverdi, Claudio	Madrigals Book 3	11	8	viio7	F major
Monteverdi, Claudio	Madrigals Book 3	11	20	viio7	F major
Monteverdi, Claudio	Madrigals Book 3	11	32	viio4/3	F major
