COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Monteverdi, Claudio	Madrigals Book 3	20	6	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	7	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	8	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	9	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	55	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	56	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	56	bII6	G minor
Monteverdi, Claudio	Madrigals Book 3	20	73	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	74	bII	G minor
Monteverdi, Claudio	Madrigals Book 3	20	74	bII6	G minor
Monteverdi, Claudio	Madrigals Book 5	6	33	bII6	D minor
