COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	Chorales	1	13	V7/IV	G major
Bach, Johann Sebastian	Chorales	10	6	viio6/VII	A minor
Bach, Johann Sebastian	Chorales	10	11	V/vi	C major
Bach, Johann Sebastian	Chorales	10	11	V7/vi	C major
Bach, Johann Sebastian	Chorales	10	13	V6/5/V	D minor
Bach, Johann Sebastian	Chorales	11	1	V2/IV	C major
Bach, Johann Sebastian	Chorales	11	2	V6/ii	F major
Bach, Johann Sebastian	Chorales	11	9	V6/5/vi	G major
Bach, Johann Sebastian	Chorales	11	27	V6/iv	D minor
Bach, Johann Sebastian	Chorales	12	5	V4/3/vi	C major
Bach, Johann Sebastian	Chorales	12	6	V6/5/V	C major
Bach, Johann Sebastian	Chorales	12	9	V6/5/V	G major
Bach, Johann Sebastian	Chorales	12	10	V6/V	A minor
Bach, Johann Sebastian	Chorales	12	12	V6/V	C major
Bach, Johann Sebastian	Chorales	12	15	viio7/V	A minor
Bach, Johann Sebastian	Chorales	13	2	ii7/V	C major
Bach, Johann Sebastian	Chorales	13	2	V4/3/V	C major
Bach, Johann Sebastian	Chorales	13	2	vi6/V	C major
Bach, Johann Sebastian	Chorales	13	8	V6/5/iv	A minor
Bach, Johann Sebastian	Chorales	13	9	V6/III	A minor
Bach, Johann Sebastian	Chorales	15	11	V6/iv	D minor
Bach, Johann Sebastian	Chorales	15	11	V6/5/iv	D minor
Bach, Johann Sebastian	Chorales	16	2	viio6/III	B minor
Bach, Johann Sebastian	Chorales	16	5	viio7/iv	B minor
Bach, Johann Sebastian	Chorales	16	10	V6/5/iv	B minor
Bach, Johann Sebastian	Chorales	16	13	viio6/V	A major
Bach, Johann Sebastian	Chorales	16	16	V6/5/V	E minor
Bach, Johann Sebastian	Chorales	17	13	V6/5/III	E minor
Bach, Johann Sebastian	Chorales	17	15	V6/III	E minor
Bach, Johann Sebastian	Chorales	18	4	V/V	G major
Bach, Johann Sebastian	Chorales	18	11	viio6/IV	G major
Bach, Johann Sebastian	Chorales	19	2	viio7/V	G minor
Bach, Johann Sebastian	Chorales	19	3	V6/iv	G minor
Bach, Johann Sebastian	Chorales	19	5	V2/IV	F major
Bach, Johann Sebastian	Chorales	19	8	V6/iv	G minor
Bach, Johann Sebastian	Chorales	19	8	viio7/V	G minor
Bach, Johann Sebastian	Chorales	2	1	V6/V	A major
Bach, Johann Sebastian	Chorales	2	5	V7/IV	A major
Bach, Johann Sebastian	Chorales	20	2	V/V	D major
Bach, Johann Sebastian	Chorales	20	2	V7/V	D major
Bach, Johann Sebastian	Chorales	3	9	viio7/IV	A minor
Bach, Johann Sebastian	Chorales	3	10	viio7/V	A minor
Bach, Johann Sebastian	Chorales	4	10	V6/V	E major
Bach, Johann Sebastian	Chorales	6	1	V2/IV	F major
Bach, Johann Sebastian	Chorales	7	5	V6/vi	A major
Bach, Johann Sebastian	Chorales	7	5	V7/vi	A major
Bach, Johann Sebastian	Chorales	7	13	V2/IV	E major
