COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Bach, Johann Sebastian",Chorales,058,3,N,F# minor
"Bach, Johann Sebastian",Chorales,058,3,N6,F# minor
"Bach, Johann Sebastian",Chorales,194,3,N6,F# minor
"Bach, Johann Sebastian",Chorales,262,2,N6,G minor
"Bach, Johann Sebastian",Chorales,262,7,N,D minor
"Bach, Johann Sebastian",Chorales,360,9,N,F# minor
"Monteverdi, Claudio",Madrigals Book 3,20,6,bII,G minor
"Monteverdi, Claudio",Madrigals Book 3,20,7,bII,G minor
"Monteverdi, Claudio",Madrigals Book 3,20,8,bII,G minor
"Monteverdi, Claudio",Madrigals Book 3,20,9,bII,G minor
"Monteverdi, Claudio",Madrigals Book 5,06,33,bII6,D minor
