mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	2/4	2	1		a.i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
6	5	0	0	2/4	2	1		v.i	a	v		i		i							m	1	1	0, -3, 1		0	0
8	7	1/4	1/4	2/4	2	1		V(64)	a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	7	3/8	3/8	2/4	2	1		V	a	v		V		V							M	1	1	1, 5, 2		1	1
9	8	0	0	2/4	2	1		i}	a	v		i		i						}	m	1	1	0, -3, 1		0	0
10	8	0	1/4	2/4	2	1		i.III{	a	i		III		III						{	M	1	1	-3, 1, -2		-3	-3
11	9	1/4	1/4	2/4	2	1		III6	a	i		III6		III		6					M	1	1	1, -2, -3		-3	1
12	10	0	0	2/4	2	1		V/III	a	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
12	10	1/4	1/4	2/4	2	1		III	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
13	11	1/4	1/4	2/4	2	1		III6	a	i		III6		III		6					M	1	1	1, -2, -3		-3	1
14	12	0	0	2/4	2	1		V/III	a	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
14	12	1/4	1/4	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
15	13	1/4	1/4	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
16	14	0	0	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
16	14	1/4	1/4	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
17	15	1/4	1/4	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
18	16	0	0	2/4	2	1		V}	a	i		V		V						}	M	1	1	1, 5, 2		1	1
18	16	1/4	1/4	2/4	2	1		i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
22	20	0	0	2/4	2	1		Ger6	a	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
23	21	0	0	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
23	21	1/4	1/4	2/4	2	1		#viio43	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
24	22	0	0	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
24	22	1/4	1/4	2/4	2	1		iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
25	23	0	0	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
25	23	1/4	1/4	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
26	24	0	0	2/4	2	1		i}	a	i		i		i						}	m	1	1	0, -3, 1		0	0
27	24	0	1/4	2/4	2	1		I.I{	a	I		I		I						{	M	1	0	0, 4, 1		0	0
30	27	0	0	2/4	2	1		IV	a	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
30	27	1/4	1/4	2/4	2	1		V65/V	a	I		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
31	28	0	0	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
32	29	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
34	31	0	0	2/4	2	1		ii65	a	I		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
34	31	1/4	1/4	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
35	32	0	0	2/4	2	1		I}	a	I		I		I						}	M	1	0	0, 4, 1		0	0
36	32	0	1/4	2/4	2	1		#vi.V{	a	#vi		V		V						{	M	1	1	1, 5, 2		1	1
37	33	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
38	34	0	0	2/4	2	1		V43	a	#vi		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
39	35	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
40	36	0	0	2/4	2	1		V65	a	#vi		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
41	37	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
42	38	0	0	2/4	2	1		#iii.V(64)	a	#iii		V(64)		V			64				M	1	1	1, 0, -3		1	1
43	39	0	0	2/4	2	1		V7	a	#iii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
44	40	0	0	2/4	2	1		i}	a	#iii		i		i						}	m	1	1	0, -3, 1		0	0
45	40	0	1/4	2/4	2	1		I.V{	a	I		V		V						{	M	1	0	1, 5, 2		1	1
46	41	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
47	42	0	0	2/4	2	1		V43	a	I		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
47	42	1/4	1/4	2/4	2	1		V65	a	I		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
48	43	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
49	44	0	0	2/4	2	1		V7	a	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
50	45	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
51	46	0	0	2/4	2	1		V43	a	I		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
51	46	1/4	1/4	2/4	2	1		V65	a	I		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
52	47	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
52	47	1/8	1/8	2/4	2	1		vi	a	I		vi		vi							m	1	0	3, 0, 4		3	3
52	47	1/4	1/4	2/4	2	1		ii6	a	I		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
52	47	3/8	3/8	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
53	48	0	0	2/4	2	1		I}	a	I		I		I						}	M	1	0	0, 4, 1		0	0
53	48	1/4	1/4	2/4	2	1		#vi.V{	a	#vi		V		V						{	M	1	1	1, 5, 2		1	1
54	49	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
55	50	0	0	2/4	2	1		V43	a	#vi		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
56	51	0	0	2/4	2	1		i	a	#vi		i		i							m	1	1	0, -3, 1		0	0
57	52	0	0	2/4	2	1		V	a	#vi		V		V							M	1	1	1, 5, 2		1	1
57	52	1/4	1/4	2/4	2	1		iio64/iv	a	#vi		iio64/iv		ii	o	64		iv			o	1	1	-5, 1, -2		1	-5
57	52	3/8	3/8	2/4	2	1		V/iv	a	#vi		V/iv		V				iv			M	1	1	0, 4, 1		0	0
58	53	0	0	2/4	2	1		iv	a	#vi		iv		iv							m	1	1	-1, -4, 0		-1	-1
59	54	0	0	2/4	2	1		iio6	a	#vi		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
60	55	0	0	2/4	2	1		V(64)	a	#vi		V(64)		V			64				M	1	1	1, 0, -3		1	1
60	55	1/4	1/4	2/4	2	1		V7	a	#vi		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
61	56	0	0	2/4	2	1		i}	a	#vi		i		i						}	m	1	1	0, -3, 1		0	0
62	56	0	1/4	2/4	2	1		I.I{	a	I		I		I						{	M	1	0	0, 4, 1		0	0
65	59	0	0	2/4	2	1		IV	a	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
65	59	1/4	1/4	2/4	2	1		V65/V	a	I		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
66	60	0	0	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
67	61	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
69	63	0	0	2/4	2	1		ii65	a	I		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
69	63	1/4	1/4	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
70	64	0	0	2/4	2	1		I}	a	I		I		I						}	M	1	0	0, 4, 1		0	0
71	64	0	1/4	2/4	2	1		i.i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
76	69	0	0	2/4	2	1		v.i	a	v		i		i							m	1	1	0, -3, 1		0	0
78	71	1/4	1/4	2/4	2	1		V(64)	a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
78	71	3/8	3/8	2/4	2	1		V	a	v		V		V							M	1	1	1, 5, 2		1	1
79	72	0	0	2/4	2	1		i}	a	v		i		i						}	m	1	1	0, -3, 1		0	0
80	72	0	1/4	2/4	2	1		i.III{	a	i		III		III						{	M	1	1	-3, 1, -2		-3	-3
81	73	1/4	1/4	2/4	2	1		III6	a	i		III6		III		6					M	1	1	1, -2, -3		-3	1
82	74	0	0	2/4	2	1		V/III	a	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
82	74	1/4	1/4	2/4	2	1		III	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
83	75	1/4	1/4	2/4	2	1		III6	a	i		III6		III		6					M	1	1	1, -2, -3		-3	1
84	76	0	0	2/4	2	1		V/III	a	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
84	76	1/4	1/4	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
85	77	1/4	1/4	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
86	78	0	0	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
86	78	1/4	1/4	2/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
87	79	1/4	1/4	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
88	80	0	0	2/4	2	1		V}	a	i		V		V						}	M	1	1	1, 5, 2		1	1
88	80	1/4	1/4	2/4	2	1		i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
92	84	0	0	2/4	2	1		Ger6	a	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
93	85	0	0	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
93	85	1/4	1/4	2/4	2	1		#viio43	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
94	86	0	0	2/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
94	86	1/4	1/4	2/4	2	1		iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
95	87	0	0	2/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
95	87	1/4	1/4	2/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
96	88	0	0	2/4	2	1		i}	a	i		i		i						}	m	1	1	0, -3, 1		0	0
97	88	0	1/4	2/4	2	1		I.I{	a	I		I		I						{	M	1	0	0, 4, 1		0	0
100	91	0	0	2/4	2	1		IV	a	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
100	91	1/4	1/4	2/4	2	1		V65/V	a	I		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
101	92	0	0	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
102	93	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
104	95	0	0	2/4	2	1		ii65	a	I		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
104	95	1/4	1/4	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
105	96	0	0	2/4	2	1	1	I}	a	I		I		I						}	M	1	0	0, 4, 1		0	0
106	96	0	0	2/4	2	1	2	I}{	a	I		I		I						}{	M	1	0	0, 4, 1		0	0
110	100	0	0	2/4	2	1		IV	a	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
111	101	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
112	102	0	0	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
113	103	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
116	106	0	0	2/4	2	1		IV	a	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
117	107	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
118	108	0	0	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
119	109	0	0	2/4	2	1		I}{	a	I		I		I						}{	M	1	0	0, 4, 1		0	0
123	113	0	0	2/4	2	1		IV64	a	I		IV64		IV		64					M	1	0	0, -1, 3		-1	0
124	114	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
125	115	0	0	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
126	116	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
129	119	0	0	2/4	2	1		IV	a	I		IV		IV							M	1	0	-1, 3, 0		-1	-1
130	120	0	0	2/4	2	1		I	a	I		I		I							M	1	0	0, 4, 1		0	0
131	121	0	0	2/4	2	1		V	a	I		V		V							M	1	0	1, 5, 2		1	1
132	122	0	0	2/4	2	1		I}	a	I		I		I						}	M	1	0	0, 4, 1		0	0
