key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
E- major	[0.016, 0.0, 0.048, 0.065, 0.032, 0.048, 0.048, 0.113, 0.177, 0.048, 0.323, 0.081]	0.0	21.0	21.0	0	6	6
e- minor	[0.006, 0.023, 0.063, 0.109, 0.0, 0.126, 0.183, 0.0, 0.08, 0.006, 0.354, 0.051]	21.0	45.0	1.0	6	11	5
G- major	[0.0, 0.35, 0.0, 0.05, 0.0, 0.125, 0.1, 0.0, 0.125, 0.025, 0.15, 0.075]	45.0	55.0	1.0	11	15	4
E- major	[0.089, 0.049, 0.101, 0.045, 0.024, 0.032, 0.073, 0.049, 0.146, 0.057, 0.336, 0.0]	55.0	91.0	3.0	15	24	9
e- minor	[0.031, 0.01, 0.103, 0.103, 0.0, 0.093, 0.144, 0.021, 0.093, 0.031, 0.33, 0.041]	91.0	117.0	4.0	24	30	6
G- major	[0.0, 0.189, 0.027, 0.135, 0.0, 0.081, 0.135, 0.0, 0.189, 0.0, 0.162, 0.081]	117.0	127.0	1.0	30	32	2
g- minor	[0.039, 0.284, 0.098, 0.0, 0.0, 0.059, 0.029, 0.039, 0.039, 0.039, 0.196, 0.176]	127.0	143.0	2.0	32	36	4
E- major	[0.069, 0.0, 0.16, 0.189, 0.031, 0.025, 0.05, 0.057, 0.119, 0.013, 0.239, 0.047]	143.0	182.0	3.0	36	45	9
e- minor	[0.054, 0.0, 0.054, 0.163, 0.0, 0.088, 0.109, 0.048, 0.102, 0.014, 0.279, 0.088]	182.0	201.0	1.0	45	52	7
G- major	[0.0, 0.0, 0.032, 0.075, 0.022, 0.14, 0.161, 0.032, 0.097, 0.032, 0.301, 0.108]	201.0	215.0	2.0	52	55	3
g- minor	[0.034, 0.267, 0.026, 0.086, 0.0, 0.052, 0.103, 0.0, 0.129, 0.034, 0.138, 0.129]	215.0	231.0	2.0	55	59	4
E- major	[0.084, 0.02, 0.11, 0.137, 0.02, 0.041, 0.033, 0.074, 0.127, 0.025, 0.264, 0.065]	231.0	297.0	3.0	59	71	12
