key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b minor	[0.0, 0.059, 0.529, 0.0, 0.0, 0.0, 0.529, 0.118, 0.0, 0.0, 0.0, 1.0]	0.0	2.5	2.5	0	2	2
D major	[0.0, 0.135, 1.0, 0.0, 0.135, 0.0, 0.486, 0.027, 0.0, 0.73, 0.0, 0.027]	2.5	8.0	0.5	2	4	2
b minor	[0.0, 0.059, 0.529, 0.0, 0.0, 0.0, 0.529, 0.118, 0.0, 0.0, 0.0, 1.0]	8.0	10.5	0.25	4	6	2
D major	[0.0, 0.053, 1.0, 0.0, 0.053, 0.0, 0.632, 0.053, 0.0, 0.474, 0.0, 0.053]	10.5	13.5	0.5	6	7	1
f# minor	[0.0, 1.0, 0.0, 0.0, 0.0, 0.143, 1.0, 0.0, 0.143, 0.571, 0.0, 0.0]	13.5	16.0	0.5	7	8	1
e minor	[0.154, 0.077, 0.0, 0.269, 0.577, 0.0, 0.346, 0.577, 0.0, 0.346, 0.0, 1.0]	16.0	21.0	0.5	8	11	3
G major	[0.263, 0.0, 1.0, 0.0, 0.105, 0.0, 0.158, 0.526, 0.0, 0.316, 0.0, 0.684]	21.0	24.25	0.25	11	12	1
D major	[0.0, 0.514, 0.486, 0.0, 0.343, 0.0, 0.714, 0.286, 0.0, 1.0, 0.0, 0.371]	24.25	32.0	0.25	12	16	4
b minor	[0.0, 0.059, 0.529, 0.0, 0.0, 0.0, 0.529, 0.118, 0.0, 0.0, 0.0, 1.0]	32.0	34.5	0.25	16	18	2
D major	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.571, 0.0, 0.0, 0.571, 0.0, 0.0]	34.5	36.0	1.5	18	18	0
b minor	[0.0, 0.0, 0.625, 0.0, 0.125, 0.0, 1.0, 0.125, 0.0, 0.0, 0.25, 0.625]	36.0	37.5	0.5	18	19	1
f# minor	[0.0, 1.0, 0.0, 0.0, 0.0, 0.143, 1.0, 0.0, 0.143, 0.571, 0.0, 0.0]	37.5	40.0	0.5	19	20	1
b minor	[0.0, 0.059, 0.529, 0.0, 0.0, 0.0, 0.529, 0.118, 0.0, 0.0, 0.059, 1.0]	40.0	42.5	0.25	20	22	2
D major	[0.0, 0.158, 1.0, 0.0, 0.07, 0.0, 0.674, 0.099, 0.0, 0.99, 0.0, 0.079]	42.5	52.0	0.5	22	26	4
