key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B- major	[0.13, 0.014, 0.166, 0.093, 0.013, 0.281, 0.0, 0.05, 0.0, 0.044, 0.206, 0.003]	0.0	75.0	75.0	1	38	37
A- major	[0.117, 0.118, 0.0, 0.432, 0.0, 0.02, 0.0, 0.118, 0.117, 0.0, 0.078, 0.0]	75.0	81.0	6.0	38	41	3
d minor	[0.0, 0.11, 0.0, 0.0, 0.223, 0.0, 0.0, 0.333, 0.0, 0.0, 0.333, 0.0]	81.0	82.0	1.0	41	42	1
B- major	[0.021, 0.0, 0.38, 0.0, 0.0, 0.299, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0]	82.0	86.0	4.0	42	46	4
d minor	[0.084, 0.0, 0.226, 0.031, 0.062, 0.265, 0.0, 0.052, 0.0, 0.144, 0.136, 0.0]	86.0	94.0	8.0	46	50	4
A- major	[0.0, 0.165, 0.273, 0.096, 0.055, 0.068, 0.0, 0.096, 0.0, 0.164, 0.082, 0.0]	94.0	100.0	6.0	50	54	4
b- minor	[0.101, 0.098, 0.02, 0.157, 0.049, 0.17, 0.023, 0.079, 0.039, 0.085, 0.16, 0.02]	100.0	126.0	26.0	54	68	14
D- major	[0.066, 0.167, 0.0, 0.066, 0.005, 0.132, 0.106, 0.0, 0.295, 0.01, 0.152, 0.0]	126.0	143.0	17.0	68	76	8
b- minor	[0.071, 0.143, 0.0, 0.107, 0.0, 0.108, 0.0, 0.0, 0.572, 0.0, 0.0, 0.0]	143.0	145.0	2.0	76	77	1
B- major	[0.01, 0.12, 0.05, 0.03, 0.0, 0.14, 0.12, 0.0, 0.34, 0.06, 0.13, 0.0]	145.0	154.0	9.0	77	82	5
E- major	[0.189, 0.0, 0.311, 0.0, 0.0, 0.343, 0.0, 0.0, 0.0, 0.032, 0.125, 0.0]	154.0	157.0	3.0	82	83	1
A- major	[0.098, 0.0, 0.284, 0.065, 0.0, 0.211, 0.0, 0.097, 0.0, 0.017, 0.228, 0.0]	157.0	163.0	6.0	83	86	3
B- major	[0.137, 0.103, 0.069, 0.4, 0.017, 0.0, 0.0, 0.16, 0.068, 0.0, 0.034, 0.012]	163.0	170.0	7.0	86	91	5
d minor	[0.122, 0.012, 0.225, 0.049, 0.049, 0.236, 0.0, 0.037, 0.037, 0.012, 0.221, 0.0]	170.0	177.0	7.0	91	94	3
B- major	[0.032, 0.014, 0.133, 0.156, 0.023, 0.22, 0.035, 0.026, 0.002, 0.098, 0.261, 0.0]	177.0	206.0	29.0	94	103	9
