key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
g minor	[0.04, 0.014, 0.421, 0.007, 0.007, 0.007, 0.019, 0.313, 0.0, 0.078, 0.08, 0.014]	0.0	35.5	35.5	1	12	11
d minor	[0.0, 0.071, 0.268, 0.0, 0.143, 0.125, 0.0, 0.036, 0.0, 0.357, 0.0, 0.0]	35.5	39.0	0.5	12	14	2
g minor	[0.026, 0.0, 0.462, 0.0, 0.0, 0.0, 0.064, 0.128, 0.0, 0.192, 0.128, 0.0]	39.0	44.5	3.0	14	15	1
d minor	[0.0, 0.045, 0.201, 0.0, 0.119, 0.131, 0.0, 0.037, 0.052, 0.414, 0.0, 0.0]	44.5	59.5	0.5	15	20	5
g minor	[0.046, 0.0, 0.303, 0.027, 0.0, 0.011, 0.041, 0.338, 0.0, 0.073, 0.159, 0.003]	59.5	80.0	0.5	20	27	7
G major	[0.079, 0.0, 0.389, 0.0, 0.023, 0.0, 0.045, 0.183, 0.0, 0.128, 0.0, 0.153]	80.0	117.0	1.0	27	40	13
e minor	[0.13, 0.0, 0.0, 0.195, 0.221, 0.0, 0.117, 0.039, 0.0, 0.143, 0.0, 0.156]	117.0	122.5	0.5	40	41	1
b minor	[0.0, 0.1, 0.25, 0.0, 0.15, 0.0, 0.0, 0.3, 0.0, 0.0, 0.1, 0.1]	122.5	123.5	0.5	41	42	1
G major	[0.096, 0.0, 0.298, 0.0, 0.064, 0.0, 0.032, 0.245, 0.0, 0.043, 0.0, 0.223]	123.5	129.0	0.5	42	44	2
e minor	[0.13, 0.0, 0.0, 0.195, 0.221, 0.0, 0.117, 0.039, 0.0, 0.143, 0.0, 0.156]	129.0	134.5	0.5	44	45	1
b minor	[0.0, 0.1, 0.25, 0.0, 0.15, 0.0, 0.0, 0.3, 0.0, 0.0, 0.1, 0.1]	134.5	135.5	0.5	45	46	1
G major	[0.121, 0.0, 0.196, 0.0, 0.065, 0.0, 0.028, 0.374, 0.0, 0.056, 0.0, 0.159]	135.5	141.5	0.5	46	48	2
g minor	[0.094, 0.0, 0.402, 0.016, 0.0, 0.0, 0.063, 0.165, 0.0, 0.126, 0.134, 0.0]	141.5	149.5	0.5	48	50	2
d minor	[0.0, 0.071, 0.268, 0.0, 0.143, 0.125, 0.0, 0.036, 0.0, 0.357, 0.0, 0.0]	149.5	153.0	0.5	50	52	2
g minor	[0.093, 0.0, 0.507, 0.0, 0.0, 0.0, 0.067, 0.067, 0.0, 0.133, 0.133, 0.0]	153.0	158.5	3.0	52	53	1
d minor	[0.0, 0.065, 0.242, 0.0, 0.129, 0.145, 0.0, 0.032, 0.0, 0.387, 0.0, 0.0]	158.5	162.0	0.5	53	55	2
g minor	[0.07, 0.018, 0.197, 0.088, 0.0, 0.018, 0.096, 0.105, 0.0, 0.408, 0.0, 0.0]	162.0	173.5	3.0	55	58	3
G major	[0.06, 0.0, 0.297, 0.0, 0.034, 0.006, 0.03, 0.378, 0.0, 0.038, 0.0, 0.157]	173.5	207.0	0.5	58	69	11
