mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1	A.I{	A	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/4	2	1	V43	A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
1	1	1/2	1/2	3/4	2	1	V2	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	0	0	3/4	2	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	3/8	3/8	3/4	2	1	V65	A	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	0	0	3/4	2	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
3	3	1/4	1/4	3/4	2	1	IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	1/2	1/2	3/4	2	1	ii6	A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	0	0	3/4	2	1	V(64)}	A	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
4	4	1/4	1/4	3/4	2	1	V	A	I		V		V							M	0	0	1, 5, 2		1	1
5	5	0	0	3/4	2	1	I{	A	I		I		I						{	M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	3/4	2	1	V43	A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	1/2	1/2	3/4	2	1	V2	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	0	0	3/4	2	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	1/4	1/4	3/4	2	1	ii6(#4)	A	I		ii6(#4)		ii		6	#4				m	0	0	-1, 8, 2		2	-1
6	6	1/2	1/2	3/4	2	1	viio7/V	A	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
7	7	0	0	3/4	2	1	V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	5/8	5/8	3/4	2	1	V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	3/4	2	1	I(94)}	A	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
8	8	1/4	1/4	3/4	2	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
9	9	0	0	3/4	2	1	V7{	A	I		V7		V		7				{	Mm7	0	0	1, 5, 2, -1		1	1
