mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	2/2	2	1	Bb.V65/ii{		Bb	I		V65/ii		V		65		ii		{	Mm7	0	0	7, 4, 1, 3		3	7
2	1	0	0	2/2	2	1	ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
2	1	1/2	1/2	2/2	2	1	V65		Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	2	0	0	2/2	2	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3/4	3/4	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	0	0	2/2	2	1	IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	1/4	1/4	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	1/2	1/2	2/2	2	1	viio6		Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
4	3	3/4	3/4	2/2	2	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
5	4	0	0	2/2	2	1	V(64)}		Bb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
5	4	1/4	1/4	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
5	4	1/2	1/2	2/2	2	1	V65/ii{		Bb	I		V65/ii		V		65		ii		{	Mm7	0	0	7, 4, 1, 3		3	7
6	5	0	0	2/2	2	1	ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
6	5	1/4	1/4	2/2	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	5	3/4	3/4	2/2	2	1	V65		Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
7	6	0	0	2/2	2	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	1/4	1/4	2/2	2	1	I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	0	0	2/2	2	1	IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	1/4	1/4	2/2	2	1	ii43		Bb	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
8	7	1/2	1/2	2/2	2	1	V(4)		Bb	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
8	7	3/4	3/4	2/2	2	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
9	8	0	0	2/2	2	1	I}		Bb	I		I		I						}	M	0	0	0, 4, 1		0	0
9	8	1/4	1/4	2/2	2	1	{		Bb	I										{		0	0				
9	8	1/2	1/2	2/2	2	1	ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
9	8	3/4	3/4	2/2	2	1	viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
