COMPOSER,COLLECTION,MOVEMENT,MEASURE (START),FIGURE(S),KEY,URL
"Schubert, Franz","Schwanengesang, D.957",05 Aufenthalt,48,bII65,B minor,"<a href=""https://musescore.com/score/4985990"">4985990</a>"
"Schubert, Franz","Schwanengesang, D.957",05 Aufenthalt,52,bII65,B minor,"<a href=""https://musescore.com/score/4985990"">4985990</a>"
"Schubert, Franz","Schwanengesang, D.957",05 Aufenthalt,103,bII65,B minor,"<a href=""https://musescore.com/score/4985990"">4985990</a>"
"Schubert, Franz","Schwanengesang, D.957",05 Aufenthalt,107,bII65,B minor,"<a href=""https://musescore.com/score/4985990"">4985990</a>"
"Schubert, Franz","Schwanengesang, D.957",06 In der Ferne,112,bII,B major,"<a href=""https://musescore.com/score/4985987"">4985987</a>"
"Schubert, Franz","Schwanengesang, D.957",11 Die Stadt,32,bII6,C minor,"<a href=""https://musescore.com/score/4985973"">4985973</a>"
"Schubert, Franz","Schwanengesang, D.957",13 Der Doppelgänger,59,bII,B minor,"<a href=""https://musescore.com/score/4985964"">4985964</a>"
"Schubert, Franz","Winterreise, D.911",04 Erstarrung,6,bII,C minor,"<a href=""https://musescore.com/score/5015573"">5015573</a>"
"Schubert, Franz","Winterreise, D.911",11 Frühlingstraum,23,bII42[#7],A minor,"<a href=""https://musescore.com/score/5023603"">5023603</a>"
"Schubert, Franz","Winterreise, D.911",11 Frühlingstraum,67,bII42[#7],A minor,"<a href=""https://musescore.com/score/5023603"">5023603</a>"
"Schubert, Franz","Winterreise, D.911",15 Die Kraehe,3,bII,C minor,"<a href=""https://musescore.com/score/5007179"">5007179</a>"
"Schubert, Franz","Winterreise, D.911",15 Die Kraehe,4,bII6,C minor,"<a href=""https://musescore.com/score/5007179"">5007179</a>"
"Schubert, Franz","Winterreise, D.911",15 Die Kraehe,40,bII,C minor,"<a href=""https://musescore.com/score/5007179"">5007179</a>"
"Schubert, Franz","Winterreise, D.911",15 Die Kraehe,41,bII6,C minor,"<a href=""https://musescore.com/score/5007179"">5007179</a>"
"Schubert, Franz","Winterreise, D.911",20 Der Wegweiser,11,bII64,G minor,"<a href=""https://musescore.com/score/5009900"">5009900</a>"
"Schubert, Franz","Winterreise, D.911",20 Der Wegweiser,13,bII64,F minor,"<a href=""https://musescore.com/score/5009900"">5009900</a>"
"Schubert, Franz","Winterreise, D.911",20 Der Wegweiser,46,bII64,G minor,"<a href=""https://musescore.com/score/5009900"">5009900</a>"
"Schubert, Franz","Winterreise, D.911",20 Der Wegweiser,48,bII64,F minor,"<a href=""https://musescore.com/score/5009900"">5009900</a>"
"Schubert, Franz","Winterreise, D.911",20 Der Wegweiser,66,bII6,G minor,"<a href=""https://musescore.com/score/5009900"">5009900</a>"
"Schubert, Franz","Winterreise, D.911",20 Der Wegweiser,76,bII6,G minor,"<a href=""https://musescore.com/score/5009900"">5009900</a>"
"Schumann, Clara","6 Lieder, Op.23",4 Auf einem grünen Hügel,28,bII6,A minor,"<a href=""https://musescore.com/score/5142672"">5142672</a>"
"Schumann, Robert","Dichterliebe, Op.48","06 Im Rhein, im heiligen Strome",14,bII6,E minor,"<a href=""https://musescore.com/score/4978379"">4978379</a>"
"Schumann, Robert","Dichterliebe, Op.48","06 Im Rhein, im heiligen Strome",27,bII6,D minor,"<a href=""https://musescore.com/score/4978379"">4978379</a>"
"Schumann, Robert","Dichterliebe, Op.48","06 Im Rhein, im heiligen Strome",29,bII6,C minor,"<a href=""https://musescore.com/score/4978379"">4978379</a>"
"Schumann, Robert","Dichterliebe, Op.48",08 Und wüssten’s die Blumen,3,bII,A minor,"<a href=""https://musescore.com/score/4978387"">4978387</a>"
"Schumann, Robert","Dichterliebe, Op.48",08 Und wüssten’s die Blumen,4,bII6,A minor,"<a href=""https://musescore.com/score/4978387"">4978387</a>"
"Schumann, Robert","Dichterliebe, Op.48",08 Und wüssten’s die Blumen,11,bII,A minor,"<a href=""https://musescore.com/score/4978387"">4978387</a>"
"Schumann, Robert","Dichterliebe, Op.48",08 Und wüssten’s die Blumen,12,bII6,A minor,"<a href=""https://musescore.com/score/4978387"">4978387</a>"
"Schumann, Robert","Dichterliebe, Op.48",08 Und wüssten’s die Blumen,19,bII,A minor,"<a href=""https://musescore.com/score/4978387"">4978387</a>"
"Schumann, Robert","Dichterliebe, Op.48",08 Und wüssten’s die Blumen,20,bII6,A minor,"<a href=""https://musescore.com/score/4978387"">4978387</a>"
"Schumann, Robert","Dichterliebe, Op.48",10 Hör’ ich das Liedchen klingen,10,bII6,C minor,"<a href=""https://musescore.com/score/5003150"">5003150</a>"
"Schumann, Robert","Dichterliebe, Op.48",10 Hör’ ich das Liedchen klingen,24,bII65,G minor,"<a href=""https://musescore.com/score/5003150"">5003150</a>"
"Schumann, Robert","Dichterliebe, Op.48",13 Ich hab’ im Traum geweinet,29,bII6#5,Db major,"<a href=""https://musescore.com/score/4978396"">4978396</a>"
"Wolf, Hugo",Eichendorff-Lieder,13 Der Scholar,43,bII6,A minor,"<a href=""https://musescore.com/score/5052792"">5052792</a>"
"Wolf, Hugo",Eichendorff-Lieder,14 Der verzweifelte Liebhaber,4,bII#7,G minor,"<a href=""https://musescore.com/score/5052714"">5052714</a>"
"Wolf, Hugo",Eichendorff-Lieder,14 Der verzweifelte Liebhaber,9,bII#7,G minor,"<a href=""https://musescore.com/score/5052714"">5052714</a>"
"Wolf, Hugo",Eichendorff-Lieder,14 Der verzweifelte Liebhaber,19,bII,F major,"<a href=""https://musescore.com/score/5052714"">5052714</a>"
"Wolf, Hugo",Eichendorff-Lieder,14 Der verzweifelte Liebhaber,21,bII,F major,"<a href=""https://musescore.com/score/5052714"">5052714</a>"
"Wolf, Hugo",Eichendorff-Lieder,19 Die Nacht,4,bII,F# minor,"<a href=""https://musescore.com/score/5052801"">5052801</a>"
