COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY,SCORE,DOWNLOAD,EXAMPLE
"Bonis, Mel", ,Allons prier!,27,bVI,B major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/6635424_27-1.png"">6635424_27</a>"
"Bonis, Mel", ,Allons prier!,28,bVI,B major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/6635424_28-1.png"">6635424_28</a>"
"Bonis, Mel", ,Allons prier!,33,iv64,C major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/6635424_33-1.png"">6635424_33</a>"
"Bonis, Mel", ,Allons prier!,52,I,A minor,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/6635424_52-1.png"">6635424_52</a>"
"Bonis, Mel", ,Allons prier!,53,I,A minor,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/6635424_53-1.png"">6635424_53</a>"
"Bonis, Mel", ,Allons prier!,54,I,A minor,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/6635424_54-1.png"">6635424_54</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,28,viø7,Bb major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/5004701_28-1.png"">5004701_28</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,30,viø7,Bb major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/5004701_30-1.png"">5004701_30</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,30,Ger65,Bb major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/5004701_30-1.png"">5004701_30</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,31,Ger65,Bb major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/5004701_31-1.png"">5004701_31</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,31,viio2,Bb major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/5004701_31-1.png"">5004701_31</a>"
"Brahms, Johannes","7 Lieder, Op.48",3 Liebesklage des Mädchens,1,viio2,B major,"<a href=""https://musescore.com/score/4946239"">4946239</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/7_Lieder%2C_Op.48/3_Liebesklage_des_Mädchens/lc4946239.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/7_Lieder%2C_Op.48/3_Liebesklage_des_Mädchens/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/4946239_1-1.png"">4946239_1</a>"
"Brahms, Johannes","7 Lieder, Op.48",3 Liebesklage des Mädchens,2,viio2,B major,"<a href=""https://musescore.com/score/4946239"">4946239</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/7_Lieder%2C_Op.48/3_Liebesklage_des_Mädchens/lc4946239.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/7_Lieder%2C_Op.48/3_Liebesklage_des_Mädchens/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/4946239_2-1.png"">4946239_2</a>"
"Brahms, Johannes","7 Lieder, Op.48",3 Liebesklage des Mädchens,3,viio2,B major,"<a href=""https://musescore.com/score/4946239"">4946239</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/7_Lieder%2C_Op.48/3_Liebesklage_des_Mädchens/lc4946239.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/7_Lieder%2C_Op.48/3_Liebesklage_des_Mädchens/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Modal_Mixture/4946239_3-1.png"">4946239_3</a>"
