COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY	URL
Chaminade, Cécile	 	Sur la plage	4	['i', 'viio42/V', 'i']	G minor	"<a href=""https://musescore.com/score/5000363"">5000363</a>"
Hensel, Fanny (Mendelssohn)	3 Lieder	2 Verlust	14	['I', '#iio42', 'I']	B- major	"<a href=""https://musescore.com/score/6013106"">6013106</a>"
Mayer, Emilie	3 Lieder, Op.7	2 O lass mich dein gedenken	18	['V', 'viio43/ii', 'V']	A major	"<a href=""https://musescore.com/score/5840434"">5840434</a>"
Schubert, Franz	Winterreise, D.911	04 Erstarrung	3	['i64', 'viio7/v', 'i64']	C minor	"<a href=""https://musescore.com/score/5015573"">5015573</a>"
Wolf, Hugo	Eichendorff-Lieder	20 Waldmädchen	5	['I', 'viio42/iii', 'I']	G major	"<a href=""https://musescore.com/score/5077482"">5077482</a>"
