COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY,SCORE,DOWNLOAD,EXAMPLE
"Brahms, Johannes","Marienlieder, Op.22",1 Der englische Gruss,4-5,vi-ii65-V2-I,Eb major,x_url_missing,x_missing,x_missing
"Brahms, Johannes","Marienlieder, Op.22",1 Der englische Gruss,9-10,vi-ii65-V2-I,Eb major,x_url_missing,x_missing,x_missing
"Brahms, Johannes","Marienlieder, Op.22",1 Der englische Gruss,23-24,vi-ii65-V2-I,Eb major,x_url_missing,x_missing,x_missing
"Brahms, Johannes","Marienlieder, Op.22",1 Der englische Gruss,28-29,vi-ii65-V2-I,Eb major,x_url_missing,x_missing,x_missing
"Brahms, Johannes","Marienlieder, Op.22",6 Magdalena,7-7,V7-V7-V7/IV-iv6/4,D minor-G minor,"<a href=""https://musescore.com/score/8702982"">8702982</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/Marienlieder%2C_Op.22/6_Magdalena/lc8702982.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/Marienlieder%2C_Op.22/6_Magdalena/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/8702982_7-7-1.png"">8702982_7-7</a>"
"Burleigh, Harry Thacker",5 Songs of Laurence Hope,5 Till I Wake,77-79,VIb7-bII9-V7-I,D minor,"<a href=""https://musescore.com/score/6471199"">6471199</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Burleigh%2C_Harry_Thacker/5_Songs_of_Laurence_Hope/5_Till_I_Wake/lc6471199.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Burleigh%2C_Harry_Thacker/5_Songs_of_Laurence_Hope/5_Till_I_Wake/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/6471199_77-79-1.png"">6471199_77-79</a>"
"Coleridge-Taylor, Samuel", ,"Oh, the Summer",14-17,V7-i-V7-I,F minor-Eb major,"<a href=""https://musescore.com/score/6232117"">6232117</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/_/Oh%2C_the_Summer/lc6232117.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/_/Oh%2C_the_Summer/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/6232117_14-17-1.png"">6232117_14-17</a>"
"Coleridge-Taylor, Samuel", ,"Oh, the Summer",54-57,V7-i-V7-I,F minor-Eb major,"<a href=""https://musescore.com/score/6232117"">6232117</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/_/Oh%2C_the_Summer/lc6232117.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/_/Oh%2C_the_Summer/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/6232117_54-57-1.png"">6232117_54-57</a>"
"Coleridge-Taylor, Samuel", ,"Oh, the Summer",94-97,V7-i-V7-I,F minor-Eb major,"<a href=""https://musescore.com/score/6232117"">6232117</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/_/Oh%2C_the_Summer/lc6232117.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/_/Oh%2C_the_Summer/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/6232117_94-97-1.png"">6232117_94-97</a>"
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57","2 When I am dead, my dearest",22-25,iiø2-V65-V2/iv-iv6,G minor,"<a href=""https://musescore.com/score/6189644"">6189644</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/2_When_I_am_dead%2C_my_dearest/lc6189644.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/2_When_I_am_dead%2C_my_dearest/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/6189644_22-25-1.png"">6189644_22-25</a>"
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57","2 When I am dead, my dearest",30-32,ii7-V7-I-iv6,G major,"<a href=""https://musescore.com/score/6189644"">6189644</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/2_When_I_am_dead%2C_my_dearest/lc6189644.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/2_When_I_am_dead%2C_my_dearest/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/6189644_30-32-1.png"">6189644_30-32</a>"
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57","2 When I am dead, my dearest",52-55,iiø2-V65-V2/iv-iv6,G minor,"<a href=""https://musescore.com/score/6189644"">6189644</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/2_When_I_am_dead%2C_my_dearest/lc6189644.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/2_When_I_am_dead%2C_my_dearest/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/descending_fifths/6189644_52-55-1.png"">6189644_52-55</a>"
