COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY,SCORE,DOWNLOAD,EXAMPLE
"Coleridge-Taylor, Samuel","6 Sorrow Songs, Op.57",1 Oh what comes over the Sea,18-19,viiø2-I6-VI64-bII6,C major-E minor,"<a href=""https://musescore.com/score/6189652"">6189652</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/1_Oh_what_comes_over_the_Sea/lc6189652.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Coleridge-Taylor%2C_Samuel/6_Sorrow_Songs%2C_Op.57/1_Oh_what_comes_over_the_Sea/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/6189652_18-19-1.png"">6189652_18-19</a>"
"Hensel, Fanny (Mendelssohn)",3 Lieder,2 Verlust,16-17,V2/IV-IV6-V7/v-i,G minor-D minor,"<a href=""https://musescore.com/score/6013106"">6013106</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/3_Lieder/2_Verlust/lc6013106.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/3_Lieder/2_Verlust/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/6013106_16-17-1.png"">6013106_16-17</a>"
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",1 Nach Süden,32-34,V7-I-vi64-ii,E major,"<a href=""https://musescore.com/score/5000467"">5000467</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/1_Nach_Süden/lc5000467.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/1_Nach_Süden/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5000467_32-34-1.png"">5000467_32-34</a>"
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",2 Vorwurf,29-30,V7/III-III64-V7/IV-IV6,C# major,"<a href=""https://musescore.com/score/5000464"">5000464</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/2_Vorwurf/lc5000464.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/2_Vorwurf/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5000464_29-30-1.png"">5000464_29-30</a>"
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",2 Vorwurf,30-32,V7/IV-IV6-V6-i,C# major-G# minor,"<a href=""https://musescore.com/score/5000464"">5000464</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/2_Vorwurf/lc5000464.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/2_Vorwurf/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5000464_30-32-1.png"">5000464_30-32</a>"
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",5 Bergeslust,24-26,V7-I-vi-ii7,C major,"<a href=""https://musescore.com/score/5000446"">5000446</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/5_Bergeslust/lc5000446.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/5_Lieder%2C_Op.10/5_Bergeslust/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5000446_24-26-1.png"">5000446_24-26</a>"
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",1 Schwanenlied,12-14,V65/VII-VII-V65-i,G minor,"<a href=""https://musescore.com/score/5100543"">5100543</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/1_Schwanenlied/lc5100543.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/1_Schwanenlied/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5100543_12-14-1.png"">5100543_12-14</a>"
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",1 Schwanenlied,39-41,V65/VII-VII-V65-i,G minor,"<a href=""https://musescore.com/score/5100543"">5100543</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/1_Schwanenlied/lc5100543.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/1_Schwanenlied/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5100543_39-41-1.png"">5100543_39-41</a>"
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",2 Wanderlied,20-23,I6-IV-ii6-V,D major,"<a href=""https://musescore.com/score/5004632"">5004632</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/2_Wanderlied/lc5004632.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/2_Wanderlied/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5004632_20-23-1.png"">5004632_20-23</a>"
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",2 Wanderlied,22-25,ii6-V-iii6-vi,D major,"<a href=""https://musescore.com/score/5004632"">5004632</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/2_Wanderlied/lc5004632.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Hensel%2C_Fanny_(Mendelssohn)/6_Lieder%2C_Op.1/2_Wanderlied/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/aufsteigender_Quintfall/5004632_22-25-1.png"">5004632_22-25</a>"
