COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY,SCORE,DOWNLOAD,EXAMPLE
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,9-11,IV-I-i-V,G major-B minor,"<a href=""https://musescore.com/score/5077482"">5077482</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Wolf%2C_Hugo/Eichendorff-Lieder/20_Waldmädchen/lc5077482.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Wolf%2C_Hugo/Eichendorff-Lieder/20_Waldmädchen/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/fallender_Quintanstieg/5077482_9-11-1.png"">5077482_9-11</a>"
"Wolf, Hugo",Eichendorff-Lieder,20 Waldmädchen,95-97,IV-I-i-V,G major-B minor,"<a href=""https://musescore.com/score/5077482"">5077482</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Wolf%2C_Hugo/Eichendorff-Lieder/20_Waldmädchen/lc5077482.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Wolf%2C_Hugo/Eichendorff-Lieder/20_Waldmädchen/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/fallender_Quintanstieg/5077482_95-97-1.png"">5077482_95-97</a>"
