COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY,SCORE,DOWNLOAD,EXAMPLE
"Bonis, Mel", ,Allons prier!,11,V43/V,C major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/6635424_11-1.png"">6635424_11</a>"
"Bonis, Mel", ,Allons prier!,14,V43/V,G major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/6635424_14-1.png"">6635424_14</a>"
"Bonis, Mel", ,Allons prier!,32,V65/ii,C major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/6635424_32-1.png"">6635424_32</a>"
"Bonis, Mel", ,Allons prier!,39,V7/iii,D major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/6635424_39-1.png"">6635424_39</a>"
"Bonis, Mel", ,Allons prier!,39,V2/iii,D major,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/6635424_39-1.png"">6635424_39</a>"
"Bonis, Mel", ,Allons prier!,42,V7/V,A minor,"<a href=""https://musescore.com/score/6635424"">6635424</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/lc6635424.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Bonis%2C_Mel/_/Allons_prier!/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/6635424_42-1.png"">6635424_42</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,3,V7/IV,B major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/5004701_3-1.png"">5004701_3</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,4,V7/IV,B major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/5004701_4-1.png"">5004701_4</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,6,V7/IV,B major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/5004701_6-1.png"">5004701_6</a>"
"Brahms, Johannes","6 Songs, Op.3",3 Liebe und Frühling II,7,V7/IV,B major,"<a href=""https://musescore.com/score/5004701"">5004701</a>","<a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/lc5004701.mscz"">.mscz</a> <a href=""https://github.com/MarkGotham/When-in-Rome/blob/master/Corpus/OpenScore-LiederCorpus/Brahms%2C_Johannes/6_Songs%2C_Op.3/3_Liebe_und_Frühling_II/score.mxl"">.mxl</a>","<a href=""https://raw.githubusercontent.com/MarkGotham/Anthology/main/OpenScore-LiederCorpus/Applied_Chords/5004701_7-1.png"">5004701_7</a>"
