mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1		F.I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
1	1	3/4	3/4	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	1/2	1/2	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
4	4	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
5	5	0	0	4/4	4	1		I	vi7	F	I		I		I							M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	4	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	4	1		I64		F	I		I64		I		64					M	0	0	1, 0, 4		0	1
7	7	1/2	1/2	4/4	4	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	0	0	4/4	4	1		V43(4)		F	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
10	10	3/4	3/4	4/4	4	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	0	0	4/4	4	1		V(+2)		F	I		V(+2)		V			+2				M	0	0	1, 5, 2	3	1	1
18	18	0	0	4/4	4	1		V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	4	1		I\\		F	I		I		I						\\	M	0	0	0, 4, 1		0	0
19	19	3/4	3/4	4/4	4	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
20	20	0	0	4/4	4	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	20	1/4	1/4	4/4	4	1		IV6		F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
