mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	2/2	4	1		c#.i	c#	i		i	i							m	1	1	0, -3, 1		0	0
3	2	0	0	2/2	4	1		V6	c#	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	0	0	2/2	4	1		i	c#	i		i	i							m	1	1	0, -3, 1		0	0
9	8	0	0	2/2	4	1		V	c#	i		V	V							M	1	1	1, 5, 2		1	1
9	8	1/2	1/2	2/2	4	1		i	c#	i		i	i							m	1	1	0, -3, 1		0	0
11	10	0	0	2/2	4	1		V(64)/v	c#	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
12	11	0	0	2/2	4	1		V7/v	c#	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
13	12	0	0	2/2	4	1		V[v	c#	i	V	v	v							m	1	1	1, -2, 2		1	1
13	12	1/2	1/2	2/2	4	1		V7(+9)	c#	i	V	V7(+9)	V		7	+9				Mm7	1	1	1, 5, 2, -1	-4	1	1
14	13	0	0	2/2	4	1		V7	c#	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	14	0	0	2/2	4	1		i	c#	i	V	i	i							m	1	1	0, -3, 1		0	0
16	15	0	0	2/2	4	1		V7]	c#	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	0	0	2/2	4	1		i	c#	i		i	i							m	1	1	0, -3, 1		0	0
17	16	1/2	1/2	2/2	4	1		bII6	c#	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
19	18	1/2	1/2	2/2	4	1		V(64)	c#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
20	19	0	0	2/2	4	1		V(6b5)	c#	i		V(6b5)	V			6b5				M	1	1	1, 5, -5, -3		1	1
21	20	0	0	2/2	4	1		i64	c#	i		i64	i		64					m	1	1	1, 0, -3		0	1
21	20	3/4	3/4	2/2	4	1		i	c#	i		i	i							m	1	1	0, -3, 1		0	0
22	21	0	0	2/2	4	1		V43	c#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
22	21	1/2	1/2	2/2	4	1		V2(+9)	c#	i		V2(+9)	V		2	+9				Mm7	1	1	-1, 1, 5, 2	-4	1	-1
23	22	0	0	2/2	4	1		i6(#5)	c#	i		i6(#5)	i		6	#5				m	1	1	-3, 8, 0		0	-3
23	22	1/2	1/2	2/2	4	1		i6	c#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
23	22	3/4	3/4	2/2	4	1		i	c#	i		i	i							m	1	1	0, -3, 1		0	0
24	23	0	0	2/2	4	1		V43	c#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
24	23	1/2	1/2	2/2	4	1		V65	c#	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
