mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	3/8	3/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
1	1	1/2	1/2	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1	7/8	7/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	0	0	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	1/8	1/8	4/4	2	1		IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	2	1/4	1/4	4/4	2	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	3/8	3/8	4/4	2	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	1/2	1/2	4/4	2	1		V(64)}	Eb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
2	2	3/4	3/4	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
3	3	0	0	4/4	2	1		I6{	Eb	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
3	3	1/4	1/4	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3/8	3/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
3	3	1/2	1/2	4/4	2	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	5/8	5/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
3	3	3/4	3/4	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	7/8	7/8	4/4	2	1		IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	0	0	4/4	2	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	4	1/8	1/8	4/4	2	1		ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	1/4	1/4	4/4	2	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	4	3/8	3/8	4/4	2	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	1/2	1/2	4/4	2	1		I(974)}	Eb	I		I(974)		I			974			}	M	0	0	0, -1, 1	2, 5	0	0
4	4	3/4	3/4	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	2	1		V{	Eb	I		V		V						{	M	0	0	1, 5, 2		1	1
5	5	1/4	1/4	4/4	2	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
5	5	1/2	1/2	4/4	2	1		V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	0	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	4/4	2	1		I(4^2)	Eb	I		I(4^2)		I			4^2				M	0	0	0, 2, -1, 1		0	0
6	6	1/2	1/2	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	2	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	1/4	1/4	4/4	2	1		i6	Eb	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
7	7	1/2	1/2	4/4	2	1		V7/V	Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	7	3/4	3/4	4/4	2	1		#viio7/vi	Eb	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
8	8	0	0	4/4	2	1		vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	1/4	1/4	4/4	2	1		ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	8	1/2	1/2	4/4	2	1		V(64)}	Eb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
8	8	3/4	3/4	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
9	9	0	0	4/4	2	1		I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	3/8	3/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
9	9	1/2	1/2	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
9	9	7/8	7/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
10	10	0	0	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
10	10	1/8	1/8	4/4	2	1		IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
10	10	1/4	1/4	4/4	2	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	3/8	3/8	4/4	2	1		IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
10	10	1/2	1/2	4/4	2	1		V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
10	10	3/4	3/4	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
11	11	0	0	4/4	2	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	1/4	1/4	4/4	2	1		I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
11	11	3/8	3/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
11	11	1/2	1/2	4/4	2	1		I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	5/8	5/8	4/4	2	1		V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
