key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B major	[0.0, 0.113, 0.0, 0.141, 0.169, 0.0, 0.176, 0.0, 0.106, 0.0, 0.141, 0.155]	0.0	15.0	15.0	1	6	5
G major	[0.182, 0.091, 0.303, 0.0, 0.121, 0.0, 0.121, 0.0, 0.0, 0.152, 0.0, 0.03]	15.0	18.0	3.0	6	7	1
c# minor	[0.206, 0.0, 0.0, 0.324, 0.0, 0.0, 0.132, 0.0, 0.206, 0.059, 0.074, 0.0]	18.0	24.0	6.0	7	9	2
E- major	[0.191, 0.0, 0.121, 0.199, 0.0, 0.0, 0.0, 0.17, 0.142, 0.0, 0.177, 0.0]	24.0	30.0	6.0	9	11	2
C# major	[0.117, 0.193, 0.0, 0.0, 0.0, 0.166, 0.138, 0.0, 0.2, 0.0, 0.186, 0.0]	30.0	36.0	6.0	11	13	2
B major	[0.0, 0.0, 0.0, 0.252, 0.0, 0.0, 0.333, 0.0, 0.163, 0.0, 0.014, 0.238]	36.0	48.0	12.0	13	17	4
G major	[0.154, 0.0, 0.169, 0.0, 0.174, 0.0, 0.133, 0.195, 0.0, 0.046, 0.0, 0.128]	48.0	57.0	9.0	17	20	3
B major	[0.0, 0.074, 0.0, 0.167, 0.123, 0.025, 0.241, 0.012, 0.086, 0.0, 0.123, 0.148]	57.0	72.0	15.0	20	25	5
E major	[0.0, 0.057, 0.0, 0.247, 0.049, 0.0, 0.062, 0.062, 0.087, 0.124, 0.073, 0.239]	72.0	79.0	7.0	25	27	2
B major	[0.0, 0.066, 0.0, 0.195, 0.126, 0.0, 0.195, 0.0, 0.103, 0.0, 0.119, 0.197]	79.0	101.0	22.0	27	35	8
E major	[0.0, 0.035, 0.0, 0.259, 0.052, 0.0, 0.091, 0.065, 0.091, 0.13, 0.026, 0.251]	101.0	108.0	7.0	35	37	2
B major	[0.0, 0.023, 0.0, 0.106, 0.166, 0.0, 0.214, 0.0, 0.15, 0.0, 0.118, 0.223]	108.0	121.0	13.0	37	42	5
G# major	[0.0, 0.364, 0.0, 0.424, 0.0, 0.015, 0.0, 0.197, 0.0, 0.0, 0.0, 0.0]	121.0	124.0	3.0	42	43	1
f# minor	[0.093, 0.07, 0.023, 0.023, 0.0, 0.047, 0.093, 0.0, 0.36, 0.105, 0.0, 0.186]	124.0	131.0	7.0	43	45	2
B major	[0.0, 0.0, 0.0, 0.269, 0.0, 0.0, 0.385, 0.038, 0.038, 0.0, 0.0, 0.269]	131.0	134.0	3.0	45	46	1
G major	[0.0, 0.05, 0.05, 0.05, 0.05, 0.05, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25]	134.0	139.0	5.0	46	48	2
B major	[0.0, 0.098, 0.0, 0.147, 0.103, 0.033, 0.174, 0.0, 0.141, 0.0, 0.152, 0.152]	139.0	157.0	18.0	48	54	6
E major	[0.0, 0.027, 0.0, 0.213, 0.133, 0.0, 0.093, 0.12, 0.04, 0.133, 0.0, 0.24]	157.0	163.0	6.0	54	56	2
g# minor	[0.0, 0.25, 0.0, 0.278, 0.083, 0.0, 0.0, 0.222, 0.0, 0.0, 0.167, 0.0]	163.0	166.0	3.0	56	57	1
B major	[0.0, 0.04, 0.0, 0.188, 0.054, 0.0, 0.206, 0.018, 0.107, 0.018, 0.054, 0.317]	166.0	194.0	28.0	57	67	10
C major	[0.0, 0.0, 0.204, 0.0, 0.0, 0.233, 0.0, 0.204, 0.019, 0.087, 0.0, 0.252]	194.0	200.0	6.0	67	69	2
B major	[0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25]	200.0	212.0	12.0	69	72	3
