mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	3/4	4	1		c.i		c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
5	4	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
8	7	1/4	1/4	3/4	4	1		@none		c	i		@none	@none							m	1	1				
10	8	0	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
11	9	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
11	9	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	10	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
12	10	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
13	11	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
13	11	3/8	3/8	3/4	4	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	12	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
14	12	3/8	3/8	3/4	4	1		iv.VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	13	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
15	13	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
16	14	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
16	14	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
17	15	0	0	3/4	4	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
17	15	3/8	3/8	3/4	4	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	16	0	0	3/4	4	1		bII.V6		c	bII		V6	V		6					M	1	0	5, 2, 1		1	5
19	17	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
21	19	0	0	3/4	4	1		IV		c	bII		IV	IV							M	1	0	-1, 3, 0		-1	-1
23	21	0	0	3/4	4	1		V7		c	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	23	0	0	3/4	4	1		I\\		c	bII		I	I						\\	M	1	0	0, 4, 1		0	0
26	24	0	0	3/4	4	1		I		c	bII		I	I							M	1	0	0, 4, 1		0	0
29	27	0	0	3/4	4	1		iv.ii%65		c	iv		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
30	28	0	0	3/4	4	1		ii%7		c	iv		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
31	29	0	0	3/4	4	1		V7		c	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
33	31	0	0	3/4	4	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
35	33	0	0	3/4	4	1		i\\		c	iv		i	i						\\	m	1	1	0, -3, 1		0	0
36	34	0	0	3/4	4	1		i.#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
38	36	0	0	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
39	37	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
42	40	0	0	3/4	4	1		i.#viio/v		c	i		#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
44	42	0	0	3/4	4	1		V7/v		c	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
45	43	0	0	3/4	4	1		v[v6		c	i	v	v6	v		6					m	1	1	-2, 2, 1		1	-2
46	44	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
47	45	0	0	3/4	4	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
48	46	0	0	3/4	4	1		V7		c	i	v	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
49	47	0	0	3/4	4	1		i64		c	i	v	i64	i		64					m	1	1	1, 0, -3		0	1
51	49	0	0	3/4	4	1		V		c	i	v	V	V							M	1	1	1, 5, 2		1	1
52	50	0	0	3/4	4	1		V]		c	i	v	V	V							M	1	1	1, 5, 2		1	1
53	51	0	0	3/4	4	1		i[i		c	i	i	i	i							m	1	1	0, -3, 1		0	0
54	52	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
55	53	0	0	3/4	4	1		iv64		c	i	i	iv64	iv		64					m	1	1	0, -1, -4		-1	0
56	54	0	0	3/4	4	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
57	55	0	0	3/4	4	1		iv64		c	i	i	iv64	iv		64					m	1	1	0, -1, -4		-1	0
58	56	1/2	1/2	3/4	4	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
59	57	0	0	3/4	4	1		i6]		c	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
59	57	1/4	1/4	3/4	4	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
60	58	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
60	58	1/4	1/4	3/4	4	1		V65/III		c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
61	59	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
61	59	1/4	1/4	3/4	4	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
62	60	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
62	60	1/4	1/4	3/4	4	1		V65		c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
63	61	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
63	61	1/4	1/4	3/4	4	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
64	62	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
64	62	1/4	1/4	3/4	4	1		V65/III		c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
65	63	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
65	63	1/4	1/4	3/4	4	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
66	64	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
66	64	1/4	1/4	3/4	4	1		V65		c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
67	65	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
67	65	1/4	1/4	3/4	4	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
68	66	0	0	3/4	4	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
68	66	1/4	1/4	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
69	67	0	0	3/4	4	1		ii		c	i		ii	ii							m	1	1	2, -1, 3		2	2
69	67	1/4	1/4	3/4	4	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
70	68	0	0	3/4	4	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
70	68	1/4	1/4	3/4	4	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
71	69	0	0	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
72	70	0	0	3/4	4	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
73	71	0	0	3/4	4	1		ii%43/v		c	i		ii%43/v	ii	%	43		v			%7	1	1	-3, 1, 3, 0		3	-3
74	72	0	0	3/4	4	1		V64		c	i		V64	V		64					M	1	1	2, 1, 5		1	2
75	73	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
75	73	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
76	74	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
76	74	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
77	75	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
77	75	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
78	76	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
78	76	1/2	1/2	3/4	4	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
79	77	0	0	3/4	4	1	1	V\\		c	i		V	V						\\	M	1	1	1, 5, 2		1	1
80	77	0	0	3/4	4	1	2	I.I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
81	78	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
88	85	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
89	86	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
91	88	0	0	3/4	4	1		ii		c	I		ii	ii							m	1	0	2, -1, 3		2	2
92	89	0	0	3/4	4	1		vi		c	I		vi	vi							m	1	0	3, 0, 4		3	3
93	90	0	0	3/4	4	1		V/V		c	I		V/V	V				V			M	1	0	2, 6, 3		2	2
94	91	0	0	3/4	4	1		V.I		c	V		I	I							M	1	0	0, 4, 1		0	0
95	92	0	0	3/4	4	1		V		c	V		V	V							M	1	0	1, 5, 2		1	1
96	93	0	0	3/4	4	1		ii		c	V		ii	ii							m	1	0	2, -1, 3		2	2
97	94	0	0	3/4	4	1		V		c	V		V	V							M	1	0	1, 5, 2		1	1
98	95	0	0	3/4	4	1		I.V		c	I		V	V							M	1	0	1, 5, 2		1	1
99	96	0	0	3/4	4	1		I		c	I		I	I							M	1	0	0, 4, 1		0	0
100	97	0	0	3/4	4	1		ii2		c	I		ii2	ii		2					mm7	1	0	0, 2, -1, 3		2	0
101	98	0	0	3/4	4	1		V65		c	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
102	99	0	0	3/4	4	1		iii2		c	I		iii2	iii		2					mm7	1	0	2, 4, 1, 5		4	2
103	100	0	0	3/4	4	1		vi		c	I		vi	vi							m	1	0	3, 0, 4		3	3
104	101	0	0	3/4	4	1		IV2		c	I		IV2	IV		2					Mm7	1	0	-3, -1, 3, 0		-1	-3
105	102	0	0	3/4	4	1		ii		c	I		ii	ii							m	1	0	2, -1, 3		2	2
106	103	0	0	3/4	4	1		V2(4)		c	I		V2(4)	V		2	4				Mm7	1	0	-1, 1, 0, 2		1	-1
106	103	1/4	1/4	3/4	4	1		V2		c	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
106	103	1/2	1/2	3/4	4	1		I6		c	I		I6	I		6					M	1	0	4, 1, 0		0	4
107	104	0	0	3/4	4	1		IV6		c	I		IV6	IV		6					M	1	0	3, 0, -1		-1	3
108	105	0	0	3/4	4	1		viio6/V		c	I		viio6/V	vii	o	6		V			o	1	0	3, 0, 6		6	3
109	106	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
110	107	0	0	3/4	4	1		V.ii6		c	V		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
111	108	0	0	3/4	4	1		V7		c	V		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
112	109	0	0	3/4	4	1		I		c	V		I	I							M	1	0	0, 4, 1		0	0
114	111	0	0	3/4	4	1		ii6		c	V		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
115	112	0	0	3/4	4	1		V7		c	V		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
116	113	0	0	3/4	4	1		I\\		c	V		I	I						\\	M	1	0	0, 4, 1		0	0
117	114	0	0	3/4	4	1		i.i		c	i		i	i							m	1	1	0, -3, 1		0	0
119	116	0	0	3/4	4	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
120	117	0	0	3/4	4	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
121	118	0	0	3/4	4	1		V6/V		c	i		V6/V	V		6		V			M	1	1	6, 3, 2		2	6
122	119	0	0	3/4	4	1		V64/V		c	i		V64/V	V		64		V			M	1	1	3, 2, 6		2	3
123	120	0	0	3/4	4	1		iv/V		c	i		iv/V	iv				V			m	1	1	0, -3, 1		0	0
124	121	0	0	3/4	4	1		V6/V		c	i		V6/V	V		6		V			M	1	1	6, 3, 2		2	6
125	122	0	0	3/4	4	1		V/V		c	i		V/V	V				V			M	1	1	2, 6, 3		2	2
126	123	0	0	3/4	4	1		V43/V		c	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
127	124	0	0	3/4	4	1		V43/V		c	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
128	125	0	0	3/4	4	1		V43/V		c	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
129	126	0	0	3/4	4	1		ii.i		c	ii		i	i							m	1	1	0, -3, 1		0	0
130	127	0	0	3/4	4	1		i		c	ii		i	i							m	1	1	0, -3, 1		0	0
131	128	0	0	3/4	4	1		ii7		c	ii		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
132	129	0	0	3/4	4	1		III		c	ii		III	III							M	1	1	-3, 1, -2		-3	-3
133	130	0	0	3/4	4	1		I.V6		c	I		V6	V		6					M	1	0	5, 2, 1		1	5
134	131	0	0	3/4	4	1		V64		c	I		V64	V		64					M	1	0	2, 1, 5		1	2
135	132	0	0	3/4	4	1		V2		c	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
137	134	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
138	135	0	0	3/4	4	1		V43		c	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
141	138	0	0	3/4	4	1		I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
142	139	0	0	3/4	4	1		ii7		c	I		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
143	140	0	0	3/4	4	1		V2		c	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
144	141	0	0	3/4	4	1		iii7		c	I		iii7	iii		7					mm7	1	0	4, 1, 5, 2		4	4
145	142	0	0	3/4	4	1		vi		c	I		vi	vi							m	1	0	3, 0, 4		3	3
146	143	0	0	3/4	4	1		V65(6)		c	I		V65(6)	V		65	6				Mm7	1	0	5, 4, -1, 1		1	5
147	144	0	0	3/4	4	1		ii6		c	I		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
148	145	0	0	3/4	4	1		I(4)		c	I		I(4)	I			4				M	1	0	0, -1, 1		0	0
149	146	0	0	3/4	4	1		V2/IV		c	I		V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
150	147	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
151	148	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
152	149	0	0	3/4	4	1		I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
153	150	0	0	3/4	4	1		V2/IV		c	I		V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
154	151	0	0	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
155	152	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
156	153	0	0	3/4	4	1		I\\		c	I		I	I						\\	M	1	0	0, 4, 1		0	0
158	155	0	0	3/4	4	1		ii2		c	I		ii2	ii		2					mm7	1	0	0, 2, -1, 3		2	0
159	156	0	0	3/4	4	1		V65		c	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
160	157	0	0	3/4	4	1		iii2		c	I		iii2	iii		2					mm7	1	0	2, 4, 1, 5		4	2
161	158	0	0	3/4	4	1		vi6		c	I		vi6	vi		6					m	1	0	0, 4, 3		3	0
162	159	0	0	3/4	4	1		IV2		c	I		IV2	IV		2					Mm7	1	0	-3, -1, 3, 0		-1	-3
163	160	0	0	3/4	4	1		ii		c	I		ii	ii							m	1	0	2, -1, 3		2	2
164	161	0	0	3/4	4	1		V(64)		c	I		V(64)	V			64				M	1	0	1, 0, 4		1	1
165	162	0	0	3/4	4	1		IV(2)		c	I		IV(2)	IV			2				M	1	0	1, 3, 0		-1	1
165	162	1/2	1/2	3/4	4	1		IV		c	I		IV	IV							M	1	0	-1, 3, 0		-1	-1
166	163	0	0	3/4	4	1		V65		c	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
167	164	0	0	3/4	4	1		V		c	I		V	V							M	1	0	1, 5, 2		1	1
168	165	0	0	3/4	4	1		iio7		c	I		iio7	ii	o	7					o7	1	0	2, -1, -4, -7		2	2
169	166	0	0	3/4	4	1		viio65		c	I		viio65	vii	o	65					o7	1	0	2, -1, -4, 5		5	2
170	167	0	0	3/4	4	1		viio43		c	I		viio43	vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
171	168	0	0	3/4	4	1		viio7		c	I		viio7	vii	o	7					o7	1	0	5, 2, -1, -4		5	5
173	169	0	3/8	3/4	4	1		i.i		c	i		i	i							m	1	1	0, -3, 1		0	0
174	170	0	0	3/4	4	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
176	172	1/2	1/2	3/4	4	1		viio64/V		c	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
