key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
f minor	[1.0, 0.312, 0.0, 0.0, 0.188, 0.625, 0.0, 0.188, 0.375, 0.062, 0.125, 0.0]	0.0	16.0	16.0	0	4	4
A- major	[0.5, 0.75, 0.0, 1.0, 0.167, 0.0, 0.0, 0.25, 0.667, 0.0, 1.0, 0.0]	16.0	24.0	1.0	4	6	2
f minor	[1.0, 0.167, 0.0, 0.0, 0.212, 0.394, 0.0, 0.212, 0.333, 0.03, 0.091, 0.061]	24.0	48.0	1.0	6	12	6
A- major	[0.432, 0.247, 0.0, 1.0, 0.025, 0.012, 0.0, 0.235, 0.506, 0.0, 0.321, 0.0]	48.0	77.0	1.0	12	20	8
f minor	[1.0, 0.471, 0.176, 0.0, 0.235, 0.353, 0.0, 0.353, 0.176, 0.0, 0.0, 0.176]	77.0	97.0	2.0	20	25	5
a- minor	[0.051, 0.0, 0.154, 1.0, 0.256, 0.051, 0.0, 0.205, 0.205, 0.051, 0.256, 0.205]	97.0	117.0	2.0	25	30	5
A- major	[0.435, 0.113, 0.0, 1.0, 0.0, 0.032, 0.161, 0.226, 0.226, 0.129, 0.194, 0.065]	117.0	137.0	1.0	30	35	5
G- major	[0.0, 1.0, 0.0, 0.053, 0.0, 0.237, 0.316, 0.0, 0.132, 0.0, 0.395, 0.184]	137.0	148.0	4.0	35	37	2
f minor	[1.0, 0.217, 0.0, 0.348, 0.087, 0.522, 0.348, 0.087, 0.304, 0.348, 0.13, 0.087]	148.0	157.0	1.0	37	40	3
A- major	[0.435, 0.113, 0.0, 1.0, 0.0, 0.032, 0.161, 0.226, 0.226, 0.129, 0.194, 0.065]	157.0	177.0	1.0	40	45	5
G- major	[0.0, 1.0, 0.0, 0.053, 0.0, 0.237, 0.316, 0.0, 0.132, 0.0, 0.395, 0.184]	177.0	188.0	4.0	45	47	2
f minor	[1.0, 0.318, 0.0, 0.0, 0.273, 0.864, 0.0, 0.227, 0.386, 0.045, 0.159, 0.045]	188.0	208.0	1.0	47	52	5
A- major	[0.5, 0.75, 0.0, 1.0, 0.167, 0.0, 0.0, 0.25, 0.667, 0.0, 0.667, 0.0]	208.0	215.0	1.0	52	54	2
f minor	[1.0, 0.0, 0.0, 0.0, 0.077, 0.615, 0.0, 0.077, 0.308, 0.0, 0.0, 0.0]	215.0	221.0	2.0	54	55	1
