key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B major	[0.0, 0.079, 0.0, 0.125, 0.074, 0.04, 0.246, 0.0, 0.045, 0.096, 0.028, 0.266]	0.0	26.5	26.5	0	7	7
a minor	[0.0, 0.045, 0.295, 0.0, 0.136, 0.045, 0.023, 0.0, 0.273, 0.0, 0.0, 0.182]	26.5	30.5	4.0	7	8	1
B major	[0.008, 0.074, 0.041, 0.082, 0.09, 0.066, 0.279, 0.0, 0.131, 0.016, 0.041, 0.172]	30.5	48.5	18.0	8	13	5
D major	[0.0, 0.02, 0.061, 0.0, 0.184, 0.0, 0.143, 0.306, 0.0, 0.224, 0.0, 0.061]	48.5	60.0	11.5	13	15	2
b minor	[0.0, 0.159, 0.088, 0.0, 0.062, 0.018, 0.31, 0.035, 0.035, 0.035, 0.097, 0.159]	60.0	80.5	20.5	15	21	6
D- major	[0.06, 0.11, 0.0, 0.26, 0.0, 0.05, 0.26, 0.0, 0.22, 0.0, 0.04, 0.0]	80.5	96.0	15.5	21	24	3
B- major	[0.117, 0.096, 0.0, 0.086, 0.025, 0.234, 0.132, 0.025, 0.02, 0.076, 0.188, 0.0]	96.0	123.5	27.5	24	31	7
C- major	[0.0, 0.259, 0.0, 0.0, 0.276, 0.0, 0.207, 0.0, 0.0, 0.0, 0.259, 0.0]	123.5	128.5	5.0	31	33	2
B major	[0.0, 0.08, 0.0, 0.136, 0.062, 0.04, 0.244, 0.0, 0.045, 0.097, 0.028, 0.267]	128.5	154.5	26.0	33	39	6
a minor	[0.0, 0.045, 0.273, 0.023, 0.136, 0.045, 0.023, 0.0, 0.273, 0.0, 0.0, 0.182]	154.5	158.5	4.0	39	40	1
B major	[0.025, 0.087, 0.031, 0.106, 0.094, 0.05, 0.219, 0.0, 0.15, 0.025, 0.056, 0.156]	158.5	180.0	21.5	40	46	6
