key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
a minor	[0.479, 0.0, 0.282, 0.113, 1.0, 0.169, 0.0, 0.056, 0.169, 0.535, 0.0, 0.761]	0.0	30.75	30.75	0	11	11
C major	[0.844, 0.0, 0.125, 0.0, 1.0, 0.125, 0.0, 0.812, 0.125, 0.125, 0.0, 0.156]	30.75	38.25	1.5	11	13	2
e minor	[0.154, 0.0, 0.077, 0.077, 1.0, 0.0, 0.154, 0.346, 0.0, 0.077, 0.0, 0.654]	38.25	42.75	1.0	13	15	2
G major	[0.75, 0.0, 0.562, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.625, 0.0, 0.562]	42.75	48.75	1.5	15	17	2
a minor	[0.562, 0.0, 0.688, 0.0, 0.688, 0.062, 0.0, 0.0, 0.812, 1.0, 0.0, 0.562]	48.75	54.75	1.5	17	19	2
d minor	[0.15, 0.133, 1.0, 0.016, 0.1, 0.517, 0.1, 0.333, 0.0, 0.583, 0.166, 0.0]	54.75	66.0	1.5	19	22	3
a minor	[0.441, 0.0, 0.426, 0.147, 1.0, 0.235, 0.0, 0.0, 0.324, 0.176, 0.0, 0.529]	66.0	87.75	0.75	22	30	8
F major	[1.0, 0.167, 0.0, 0.0, 0.167, 0.667, 0.0, 0.167, 0.0, 0.417, 0.167, 0.0]	87.75	92.25	1.5	30	31	1
A major	[0.111, 0.417, 0.306, 0.111, 0.722, 0.111, 0.25, 0.0, 0.083, 1.0, 0.0, 0.083]	92.25	99.0	1.5	31	33	2
a minor	[0.455, 0.0, 0.455, 0.227, 1.0, 0.909, 0.0, 0.0, 0.136, 0.568, 0.0, 0.409]	99.0	117.75	0.75	33	40	7
F major	[1.0, 0.417, 0.0, 0.167, 0.167, 0.667, 0.0, 0.333, 0.0, 0.417, 0.333, 0.0]	117.75	123.75	1.5	40	42	2
g minor	[0.167, 0.0, 1.0, 0.167, 0.0, 0.0, 0.167, 0.667, 0.0, 0.167, 0.417, 0.0]	123.75	128.25	1.5	42	43	1
A major	[0.13, 0.413, 0.413, 0.13, 1.0, 0.087, 0.196, 0.0, 0.152, 0.957, 0.0, 0.239]	128.25	138.75	1.5	43	47	4
a minor	[0.353, 0.0, 0.118, 0.0, 0.824, 0.176, 0.0, 0.118, 0.0, 1.0, 0.0, 0.941]	138.75	153.75	1.5	47	52	5
