mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
48	47	0	0	3/8	4	1		V6		Bb	i		V6		V		6						M	0	1	5, 2, 1		1	5
48	47	1/8	1/8	3/8	4	1		V43/V		Bb	i		V43/V		V		43		V				Mm7	0	1	3, 0, 2, 6		2	3
48	47	1/4	1/4	3/8	4	1		V7		Bb	i		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
49	48	0	0	3/8	4	1		I		Bb	i		I		I								M	0	1	0, 4, 1		0	0
49	48	1/4	1/4	3/8	4	1		V65/IV		Bb	i		V65/IV		V		65		IV				Mm7	0	1	4, 1, -2, 0		0	4
50	49	0	0	3/8	4	1		IV		Bb	i		IV		IV								M	0	1	-1, 3, 0		-1	-1
50	49	1/8	1/8	3/8	4	1		#viio6/vi		Bb	i		#viio6/vi		#vii	o	6		vi				o	0	1	-2, -5, 1		1	-2
50	49	1/4	1/4	3/8	4	1		#viio/ii		Bb	i		#viio/ii		#vii	o			ii				o	0	1	7, 4, 1		7	7
51	50	0	0	3/8	4	1		ii		Bb	i		ii		ii								m	0	1	2, -1, 3		2	2
51	50	1/8	1/8	3/8	4	1		V6/vi		Bb	i		V6/vi		V		6		vi				M	0	1	1, -2, -3		-3	1
51	50	1/4	1/4	3/8	4	1		vi		Bb	i		vi		vi								m	0	1	-4, -7, -3		-4	-4
52	51	0	0	3/8	4	1		ii6		Bb	i		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
52	51	1/8	1/8	3/8	4	1		ii		Bb	i		ii		ii								m	0	1	2, -1, 3		2	2
52	51	1/4	1/4	3/8	4	1		ii6		Bb	i		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
53	52	0	0	3/8	4	1		V\\		Bb	i		V		V							\\	M	0	1	1, 5, 2		1	1
54	53	0	0	3/8	4	1		I		Bb	i		I		I								M	0	1	0, 4, 1		0	0
54	53	1/8	1/8	3/8	4	1		I64		Bb	i		I64		I		64						M	0	1	1, 0, 4		0	1
55	54	0	0	3/8	4	1		V65		Bb	i		V65		V		65						Mm7	0	1	5, 2, -1, 1		1	5
55	54	1/8	1/8	3/8	4	1		V7		Bb	i		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
56	55	0	0	3/8	4	1		V6		Bb	i		V6		V		6						M	0	1	5, 2, 1		1	5
56	55	1/8	1/8	3/8	4	1		V43/V		Bb	i		V43/V		V		43		V				Mm7	0	1	3, 0, 2, 6		2	3
56	55	1/4	1/4	3/8	4	1		V7		Bb	i		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
57	56	0	0	3/8	4	1		I		Bb	i		I		I								M	0	1	0, 4, 1		0	0
57	56	1/4	1/4	3/8	4	1		V65/IV		Bb	i		V65/IV		V		65		IV				Mm7	0	1	4, 1, -2, 0		0	4
58	57	0	0	3/8	4	1		IV		Bb	i		IV		IV								M	0	1	-1, 3, 0		-1	-1
58	57	1/8	1/8	3/8	4	1		vii%7		Bb	i		vii%7		vii	%	7						%7	0	1	-2, -5, -8, -4		-2	-2
58	57	1/4	1/4	3/8	4	1		#viio/ii		Bb	i		#viio/ii		#vii	o			ii				o	0	1	7, 4, 1		7	7
59	58	0	0	3/8	4	1		ii(119)		Bb	i		ii(119)		ii			119					m	0	1	2, -1, 3	1, -3	2	2
59	58	1/8	1/8	3/8	4	1		#viio7/vi		Bb	i		#viio7/vi		#vii	o	7		vi				o7	0	1	1, -2, -5, -8		1	1
59	58	1/4	1/4	3/8	4	1		vi		Bb	i		vi		vi								m	0	1	-4, -7, -3		-4	-4
60	59	0	0	3/8	4	1		ii6		Bb	i		ii6		ii		6						m	0	1	-1, 3, 2		2	-1
60	59	1/8	1/8	3/8	4	1		ii		Bb	i		ii		ii								m	0	1	2, -1, 3		2	2
60	59	1/4	1/4	3/8	4	1		V7		Bb	i		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
61	60	0	0	3/8	4	1		I\\		Bb	i		I		I							\\	M	0	1	0, 4, 1		0	0
62	61	0	0	3/8	4	1		I		Bb	i		I		I								M	0	1	0, 4, 1		0	0
63	62	0	0	3/8	4	1		V.V6(4)		Bb	V		V6(4)		V		6	4					M	0	0	0, 2, 1		1	0
63	62	1/8	1/8	3/8	4	1		V6		Bb	V		V6		V		6						M	0	0	5, 2, 1		1	5
64	63	0	0	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
64	63	1/8	1/8	3/8	4	1		V6		Bb	V		V6		V		6						M	0	0	5, 2, 1		1	5
64	63	1/4	1/4	3/8	4	1		V(9)		Bb	V		V(9)		V			9					M	0	0	1, 5, 2	3	1	1
65	64	0	0	3/8	4	1		I(4)		Bb	V		I(4)		I			4					M	0	0	0, -1, 1		0	0
65	64	1/8	1/8	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
66	65	1/8	1/8	3/8	4	1		vi		Bb	V		vi		vi								m	0	0	3, 0, 4		3	3
66	65	1/4	1/4	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
67	66	0	0	3/8	4	1		V(4)/V		Bb	V		V(4)/V		V			4	V				M	0	0	2, 1, 3		2	2
67	66	1/8	1/8	3/8	4	1		V/V		Bb	V		V/V		V				V				M	0	0	2, 6, 3		2	2
68	67	0	0	3/8	4	1		V/V		Bb	V		V/V		V				V				M	0	0	2, 6, 3		2	2
68	67	1/8	1/8	3/8	4	1		V6/V		Bb	V		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
68	67	1/4	1/4	3/8	4	1		V/V		Bb	V		V/V		V				V				M	0	0	2, 6, 3		2	2
69	68	0	0	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
69	68	1/4	1/4	3/8	4	1		V65/V		Bb	V		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
70	69	0	0	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
70	69	1/4	1/4	3/8	4	1		V65/V		Bb	V		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
71	70	0	0	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
72	71	1/4	1/4	3/8	4	1		V65/V		Bb	V		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
73	72	0	0	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
73	72	1/4	1/4	3/8	4	1		V65/V		Bb	V		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
74	73	0	0	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
74	73	1/4	1/4	3/8	4	1		V65/V		Bb	V		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
75	74	0	0	3/8	4	1		V\\		Bb	V		V		V							\\	M	0	0	1, 5, 2		1	1
76	75	0	0	3/8	4	1		V6		Bb	V		V6		V		6						M	0	0	5, 2, 1		1	5
76	75	1/8	1/8	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
77	76	0	0	3/8	4	1		V43		Bb	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
77	76	1/8	1/8	3/8	4	1		V65		Bb	V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
78	77	0	0	3/8	4	1		V65		Bb	V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
79	78	0	0	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
80	79	0	0	3/8	4	1		V65		Bb	V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
81	80	0	0	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
82	81	0	0	3/8	4	1		V65		Bb	V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
83	82	0	0	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
83	82	1/4	1/4	3/8	4	1		ii6		Bb	V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
84	83	0	0	3/8	4	1		V(64)		Bb	V		V(64)		V			64					M	0	0	1, 0, 4		1	1
84	83	1/4	1/4	3/8	4	1		V7		Bb	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
85	84	0	0	3/8	4	1		I\\		Bb	V		I		I							\\	M	0	0	0, 4, 1		0	0
86	85	0	0	3/8	4	1		V2		Bb	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
86	85	1/4	1/4	3/8	4	1		V43		Bb	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
87	86	0	0	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
88	87	0	0	3/8	4	1		V2		Bb	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
88	87	1/4	1/4	3/8	4	1		V43		Bb	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
89	88	0	0	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
90	89	0	0	3/8	4	1		V2		Bb	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
90	89	1/4	1/4	3/8	4	1		V43		Bb	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
91	90	0	0	3/8	4	1		I		Bb	V		I		I								M	0	0	0, 4, 1		0	0
92	91	0	0	3/8	4	1		V6		Bb	V		V6		V		6						M	0	0	5, 2, 1		1	5
92	91	1/8	1/8	3/8	4	1		V		Bb	V		V		V								M	0	0	1, 5, 2		1	1
92	91	1/4	1/4	3/8	4	1		V2/IV		Bb	V		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
93	92	0	0	3/8	4	1		IV6		Bb	V		IV6		IV		6						M	0	0	3, 0, -1		-1	3
94	93	0	0	3/8	4	1		iv6		Bb	V		iv6		iv		6						m	0	0	-4, 0, -1		-1	-4
95	94	0	0	3/8	4	1		V(64)		Bb	V		V(64)		V			64					M	0	0	1, 0, 4		1	1
96	95	0	0	3/8	4	1		V7		Bb	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
97	96	0	0	3/8	4	1		I\\		Bb	V		I		I							\\	M	0	0	0, 4, 1		0	0
98	97	0	0	3/8	4	1		V6		Bb	V		V6		V		6						M	0	0	5, 2, 1		1	5
98	97	1/4	1/4	3/8	4	1		V2/IV		Bb	V		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
99	98	0	0	3/8	4	1		IV6		Bb	V		IV6		IV		6						M	0	0	3, 0, -1		-1	3
100	99	0	0	3/8	4	1		viio43/V		Bb	V		viio43/V		vii	o	43		V				o7	0	0	0, -3, 6, 3		6	0
101	100	0	0	3/8	4	1		V(64)		Bb	V		V(64)		V			64					M	0	0	1, 0, 4		1	1
102	101	0	0	3/8	4	1		viio7/V		Bb	V		viio7/V		vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
103	102	0	0	3/8	4	1		V(64)		Bb	V		V(64)		V			64					M	0	0	1, 0, 4		1	1
104	103	0	0	3/8	4	1		V7		Bb	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
105	104	0	0	3/8	4	1		I\\		Bb	V		I		I							\\	M	0	0	0, 4, 1		0	0
106	105	0	0	3/8	4	1		I[I		Bb	V	I	I		I								M	0	0	0, 4, 1		0	0
106	105	1/8	1/8	3/8	4	1		I6		Bb	V		I6		I		6						M	0	0	4, 1, 0		0	4
107	106	1/8	1/8	3/8	4	1		viio64		Bb	V		viio64		vii	o	64						o	0	0	-1, 5, 2		5	-1
107	106	3/16	3/16	3/8	4	1		V2		Bb	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
108	107	1/8	1/8	3/8	4	1		viio64]		Bb	V		viio64		vii	o	64			]			o	0	0	-1, 5, 2		5	-1
109	108	0	0	3/8	4	1		I.V7		Bb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
111	110	0	0	3/8	4	1		V(64)		Bb	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
113	112	0	0	3/8	4	1		V7		Bb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
117	116	0	0	3/8	4	1		I		Bb	I		I		I								M	0	0	0, 4, 1		0	0
117	116	1/8	1/8	3/8	4	1		I64		Bb	I		I64		I		64						M	0	0	1, 0, 4		0	1
118	117	0	0	3/8	4	1		V65		Bb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
118	117	1/8	1/8	3/8	4	1		V7		Bb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
119	118	0	0	3/8	4	1		V6		Bb	I		V6		V		6						M	0	0	5, 2, 1		1	5
119	118	1/8	1/8	3/8	4	1		V43/V		Bb	I		V43/V		V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
119	118	1/4	1/4	3/8	4	1		V7		Bb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
120	119	0	0	3/8	4	1		I		Bb	I		I		I								M	0	0	0, 4, 1		0	0
120	119	1/4	1/4	3/8	4	1		V65/IV		Bb	I		V65/IV		V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
121	120	0	0	3/8	4	1		IV		Bb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
121	120	1/8	1/8	3/8	4	1		#viio6/vi		Bb	I		#viio6/vi		#vii	o	6		vi				o	0	0	5, 2, 8		8	5
121	120	1/4	1/4	3/8	4	1		#viio/ii		Bb	I		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
122	121	0	0	3/8	4	1		ii		Bb	I		ii		ii								m	0	0	2, -1, 3		2	2
122	121	1/8	1/8	3/8	4	1		V6/vi		Bb	I		V6/vi		V		6		vi				M	0	0	8, 5, 4		4	8
122	121	1/4	1/4	3/8	4	1		vi		Bb	I		vi		vi								m	0	0	3, 0, 4		3	3
123	122	0	0	3/8	4	1		ii6		Bb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
123	122	1/8	1/8	3/8	4	1		ii		Bb	I		ii		ii								m	0	0	2, -1, 3		2	2
123	122	1/4	1/4	3/8	4	1		ii6		Bb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
124	123	0	0	3/8	4	1		V\\		Bb	I		V		V							\\	M	0	0	1, 5, 2		1	1
125	124	0	0	3/8	4	1		I		Bb	I		I		I								M	0	0	0, 4, 1		0	0
125	124	1/8	1/8	3/8	4	1		I64		Bb	I		I64		I		64						M	0	0	1, 0, 4		0	1
126	125	0	0	3/8	4	1		V65		Bb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
126	125	1/8	1/8	3/8	4	1		V7		Bb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
127	126	0	0	3/8	4	1		V6		Bb	I		V6		V		6						M	0	0	5, 2, 1		1	5
127	126	1/8	1/8	3/8	4	1		V43/V		Bb	I		V43/V		V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
127	126	1/4	1/4	3/8	4	1		V7		Bb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
128	127	0	0	3/8	4	1		I		Bb	I		I		I								M	0	0	0, 4, 1		0	0
128	127	1/4	1/4	3/8	4	1		V65/IV		Bb	I		V65/IV		V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
129	128	0	0	3/8	4	1		IV		Bb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
129	128	1/8	1/8	3/8	4	1		vii%7		Bb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
129	128	1/4	1/4	3/8	4	1		#viio/ii		Bb	I		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
130	129	0	0	3/8	4	1		ii(94)		Bb	I		ii(94)		ii			94					m	0	0	2, 1, 3	4	2	2
130	129	1/8	1/8	3/8	4	1		#viio7/vi		Bb	I		#viio7/vi		#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
130	129	1/4	1/4	3/8	4	1		vi		Bb	I		vi		vi								m	0	0	3, 0, 4		3	3
131	130	0	0	3/8	4	1		ii6		Bb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
131	130	1/8	1/8	3/8	4	1		ii		Bb	I		ii		ii								m	0	0	2, -1, 3		2	2
131	130	1/4	1/4	3/8	4	1		V7		Bb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
132	131	0	0	3/8	4	1		I\\		Bb	I		I		I							\\	M	0	0	0, 4, 1		0	0
132	131	1/4	1/4	3/8	4	1		v.i		Bb	v		i		i								m	0	1	0, -3, 1		0	0
134	133	0	0	3/8	4	1		V6(4)		Bb	v		V6(4)		V		6	4					M	0	1	0, 2, 1		1	0
134	133	1/8	1/8	3/8	4	1		V6		Bb	v		V6		V		6						M	0	1	5, 2, 1		1	5
135	134	0	0	3/8	4	1		V		Bb	v		V		V								M	0	1	1, 5, 2		1	1
135	134	1/8	1/8	3/8	4	1		V6		Bb	v		V6		V		6						M	0	1	5, 2, 1		1	5
135	134	1/4	1/4	3/8	4	1		V		Bb	v		V		V								M	0	1	1, 5, 2		1	1
136	135	0	0	3/8	4	1		I(4)		Bb	v		I(4)		I			4					M	0	1	0, -1, 1		0	0
136	135	1/8	1/8	3/8	4	1		I		Bb	v		I		I								M	0	1	0, 4, 1		0	0
137	136	1/8	1/8	3/8	4	1		i		Bb	v		i		i								m	0	1	0, -3, 1		0	0
137	136	1/4	1/4	3/8	4	1		i6		Bb	v		i6		i		6						m	0	1	-3, 1, 0		0	-3
138	137	0	0	3/8	4	1		IV(4)		Bb	v		IV(4)		IV			4					M	0	1	-1, -2, 0		-1	-1
138	137	1/8	1/8	3/8	4	1		IV		Bb	v		IV		IV								M	0	1	-1, 3, 0		-1	-1
139	138	0	0	3/8	4	1		IV.V		Bb	IV		V		V								M	0	0	1, 5, 2		1	1
139	138	1/8	1/8	3/8	4	1		V6		Bb	IV		V6		V		6						M	0	0	5, 2, 1		1	5
139	138	1/4	1/4	3/8	4	1		V7		Bb	IV		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
140	139	0	0	3/8	4	1		I		Bb	IV		I		I								M	0	0	0, 4, 1		0	0
140	139	1/4	1/4	3/8	4	1		V65		Bb	IV		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
