mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	2	1	C.V{	C	I		V	V						{	M	0	0	1, 5, 2		1	1
2	1	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
4	3	0	0	2/4	2	1	I(64)	C	I		I(64)	I			64				M	0	0	0, -1, 3		0	0
6	5	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
7	6	0	0	2/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	6	3/8	3/8	2/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
8	7	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
8	7	1/8	1/8	2/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	1/4	1/4	2/4	2	1	viio6	C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
8	7	3/8	3/8	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
9	8	0	0	2/4	2	1	V(64)}	C	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
9	8	1/4	1/4	2/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
9	8	3/8	3/8	2/4	2	1	{	C	I									{		0	0				
10	9	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
12	11	0	0	2/4	2	1	I(64)	C	I		I(64)	I			64				M	0	0	0, -1, 3		0	0
14	13	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
14	13	1/4	1/4	2/4	2	1	V65/ii	C	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
15	14	0	0	2/4	2	1	ii	C	I		ii	ii							m	0	0	2, -1, 3		2	2
15	14	1/4	1/4	2/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	15	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
16	15	1/8	1/8	2/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	15	1/4	1/4	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
16	15	3/8	3/8	2/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
17	16	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
17	16	1/4	1/4	2/4	2	1	V65/ii	C	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
18	17	0	0	2/4	2	1	ii	C	I		ii	ii							m	0	0	2, -1, 3		2	2
18	17	1/4	1/4	2/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	18	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
19	18	1/8	1/8	2/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
19	18	1/4	1/4	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
19	18	3/8	3/8	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	19	0	0	2/4	2	1	I}	C	I		I	I						}	M	0	0	0, 4, 1		0	0
20	19	1/8	1/8	2/4	2	1	{	C	I									{		0	0				
21	20	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
21	20	1/4	1/4	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	21	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
23	22	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
23	22	1/4	1/4	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	23	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
25	24	0	0	2/4	2	1	IV(#2)	C	I		IV(#2)	IV			#2				M	0	0	-1, 8, 0		-1	-1
25	24	1/8	1/8	2/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
25	24	1/4	1/4	2/4	2	1	I6(#4)	C	I		I6(#4)	I		6	#4				M	0	0	4, 6, 0		0	4
25	24	3/8	3/8	2/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
26	25	0	0	2/4	2	1	IV6(7)	C	I		IV6(7)	IV		6	7				M	0	0	3, 0, 4		-1	3
26	25	1/8	1/8	2/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
26	25	1/4	1/4	2/4	2	1	I64(#2)	C	I		I64(#2)	I		64	#2				M	0	0	1, 0, 9		0	1
26	25	3/8	3/8	2/4	2	1	I64	C	I		I64	I		64					M	0	0	1, 0, 4		0	1
27	26	0	0	2/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
28	27	0	0	2/4	2	1	V(64)}	C	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
28	27	1/8	1/8	2/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
28	27	1/4	1/4	2/4	2	1	I{	C	I		I	I						{	M	0	0	0, 4, 1		0	0
29	28	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
29	28	1/4	1/4	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	29	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
31	30	0	0	2/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
31	30	1/4	1/4	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	31	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
33	32	0	0	2/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
33	32	1/4	1/4	2/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
34	33	0	0	2/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
34	33	1/4	1/4	2/4	2	1	I64	C	I		I64	I		64					M	0	0	1, 0, 4		0	1
35	34	0	0	2/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
35	34	1/4	1/4	2/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
36	35	0	0	2/4	2	1	ii7(4)	C	I		ii7(4)	ii		7	4				mm7	0	0	2, 1, 3, 0		2	2
36	35	1/8	1/8	2/4	2	1	ii7	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
36	35	1/4	1/4	2/4	2	1	I(4)	C	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
36	35	3/8	3/8	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
37	36	0	0	2/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
38	37	1/4	1/4	2/4	2	1	viio/V	C	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
39	38	0	0	2/4	2	1	V(64)}	C	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
40	39	0	0	2/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
40	39	3/8	3/8	2/4	2	1	V.V6{	C	V		V6	V		6				{	M	0	0	5, 2, 1		1	5
41	40	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
43	42	0	0	2/4	2	1	ii2	C	V		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
44	43	0	0	2/4	2	1	ii%2	C	V		ii%2	ii	%	2					%7	0	0	0, 2, -1, -4		2	0
45	44	0	0	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
47	46	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
49	48	0	0	2/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
50	49	0	0	2/4	2	1	IV	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
51	50	0	0	2/4	2	1	ii	C	V		ii	ii							m	0	0	2, -1, 3		2	2
51	50	3/8	3/8	2/4	2	1	V6/V	C	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
52	51	0	0	2/4	2	1	V}	C	V		V	V						}	M	0	0	1, 5, 2		1	1
53	52	0	0	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
54	53	0	0	2/4	2	1	{	C	V									{		0	0				
54	53	1/8	1/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
54	53	1/4	1/4	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
54	53	3/8	3/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
55	54	0	0	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
55	54	1/8	1/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
55	54	1/4	1/4	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
55	54	3/8	3/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
56	55	0	0	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	55	1/8	1/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
56	55	1/4	1/4	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
56	55	3/8	3/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
57	56	0	0	2/4	2	1	V	C	V		V	V							M	0	0	1, 5, 2		1	1
57	56	1/8	1/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
57	56	1/4	1/4	2/4	2	1	V	C	V		V	V							M	0	0	1, 5, 2		1	1
57	56	3/8	3/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
58	57	0	0	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
58	57	1/8	1/8	2/4	2	1	viio2	C	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
58	57	1/4	1/4	2/4	2	1	V	C	V		V	V							M	0	0	1, 5, 2		1	1
58	57	3/8	3/8	2/4	2	1	viio64	C	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
59	58	0	0	2/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
59	58	1/4	1/4	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
59	58	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
60	59	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
60	59	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
61	60	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
61	60	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
62	61	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
62	61	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
63	62	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
64	63	0	0	2/4	2	1	IV6	C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
65	64	0	0	2/4	2	1	V	C	V		V	V							M	0	0	1, 5, 2		1	1
65	64	1/4	1/4	2/4	2	1	#viio7/vi	C	V		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
66	65	0	0	2/4	2	1	vi	C	V		vi	vi							m	0	0	3, 0, 4		3	3
67	66	0	0	2/4	2	1	V65/V	C	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
68	67	0	0	2/4	2	1	V(64)	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
69	68	0	0	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
70	69	0	0	2/4	2	1	i}{	C	V		i	i						}{	m	0	0	0, -3, 1		0	0
70	69	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
71	70	0	0	2/4	2	1	i	C	V		i	i							m	0	0	0, -3, 1		0	0
71	70	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
72	71	0	0	2/4	2	1	i	C	V		i	i							m	0	0	0, -3, 1		0	0
72	71	1/4	1/4	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
72	71	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
73	72	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
73	72	3/8	3/8	2/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
74	73	0	0	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
74	73	1/8	1/8	2/4	2	1	V7/vi	C	V		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
75	74	0	0	2/4	2	1	IV	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
75	74	1/8	1/8	2/4	2	1	viio7/V	C	V		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
76	75	0	0	2/4	2	1	V(64)	C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
77	76	1/4	1/4	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
78	77	0	0	2/4	2	1	I}	C	V		I	I						}	M	0	0	0, 4, 1		0	0
78	77	1/4	1/4	2/4	2	1	{	C	V									{		0	0				
80	79	0	0	2/4	2	1	viio7	C	V		viio7	vii	o	7					o7	0	0	5, 2, -1, -4		5	5
80	79	1/4	1/4	2/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
81	80	0	0	2/4	2	1	ii6	C	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
81	80	3/8	3/8	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
82	81	0	0	2/4	2	1	I}	C	V		I	I						}	M	0	0	0, 4, 1		0	0
82	81	1/4	1/4	2/4	2	1	{	C	V									{		0	0				
84	83	0	0	2/4	2	1	#viio7/vi	C	V		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
84	83	1/4	1/4	2/4	2	1	vi	C	V		vi	vi							m	0	0	3, 0, 4		3	3
85	84	0	0	2/4	2	1	ii6	C	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
85	84	3/8	3/8	2/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
86	85	0	0	2/4	2	1	I}	C	V		I	I						}	M	0	0	0, 4, 1		0	0
87	86	0	0	2/4	2	1	I.V64	C	I		V64	V		64					M	0	0	2, 1, 5		1	2
88	87	0	0	2/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
89	88	0	0	2/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	93	0	0	2/4	2	1	I{	C	I		I	I						{	M	0	0	0, 4, 1		0	0
96	95	0	0	2/4	2	1	I(64)	C	I		I(64)	I			64				M	0	0	0, -1, 3		0	0
98	97	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
99	98	0	0	2/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
99	98	3/8	3/8	2/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
100	99	0	0	2/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
