mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
1	1	3/4	3/4	4/4	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
1	1	7/8	7/8	4/4	2	1	viio6/V	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
2	2	0	0	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	1/2	1/2	4/4	2	1	V2/ii	Eb	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
2	2	3/4	3/4	4/4	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	0	0	4/4	2	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	1/4	1/4	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	1/2	1/2	4/4	2	1	ii7(4)	Eb	I		ii7(4)		ii		7	4				mm7	0	0	2, 1, 3, 0		2	2
3	3	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	0	4/4	2	1	I}{	Eb	I		I		I						}{	M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	2	1	viio6(9)	Eb	I		viio6(9)		vii	o	6	9				o	0	0	2, -1, 5	0	5	2
5	5	1/4	1/4	4/4	2	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	0	0	4/4	2	1	I6(9)	Eb	I		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
6	6	1/4	1/4	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	1/2	1/2	4/4	2	1	i6	Eb	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
7	7	0	0	4/4	2	1	V.V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	1/2	1/2	4/4	2	1	viio7/V	Eb	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
8	8	0	0	4/4	2	1	V}	Eb	V		V		V						}	M	0	0	1, 5, 2		1	1
8	8	1/2	1/2	4/4	2	1	V(#7b64)	Eb	V		V(#7b64)		V			#7b64				M	0	0	1, 0, -3	6	1	1
8	8	3/4	3/4	4/4	2	1	V	Eb	V		V		V							M	0	0	1, 5, 2		1	1
9	9	0	0	4/4	2	1	I{	Eb	V		I		I						{	M	0	0	0, 4, 1		0	0
9	9	1/2	1/2	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
10	10	1/2	1/2	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
11	11	3/8	3/8	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	1/2	1/2	4/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	0	0	4/4	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	1/2	1/2	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
12	12	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	0	0	4/4	2	1	vi	Eb	V		vi		vi							m	0	0	3, 0, 4		3	3
13	13	1/2	1/2	4/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	0	0	4/4	2	1	ii65	Eb	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
14	14	3/8	3/8	4/4	2	1	V65/V	Eb	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
14	14	1/2	1/2	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
14	14	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	0	0	4/4	2	1	I}	Eb	V		I		I						}	M	0	0	0, 4, 1		0	0
15	15	1/4	1/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	1/2	1/2	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
15	15	13/16	13/16	4/4	2	1	I.V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	4/4	2	1	#viio2/ii{	Eb	I		#viio2/ii		#vii	o	2		ii		{	o7	0	0	-2, 7, 4, 1		7	-2
16	16	1/2	1/2	4/4	2	1	V7/ii	Eb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
17	17	0	0	4/4	2	1	II64	Eb	I		II64		II		64					M	0	0	3, 2, 6		2	3
17	17	3/8	3/8	4/4	2	1	ii64	Eb	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
17	17	1/2	1/2	4/4	2	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
17	17	3/4	3/4	4/4	2	1	iv6	Eb	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
18	18	0	0	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
19	19	1/4	1/4	4/4	2	1	V2/IV	Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
19	19	1/2	1/2	4/4	2	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
19	19	3/4	3/4	4/4	2	1	It6	Eb	I		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
20	20	0	0	4/4	2	1	V[V}	Eb	I	V	V		V						}	M	0	0	1, 5, 2		1	1
20	20	1/4	1/4	4/4	2	1	viio6/V	Eb	I	V	viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
20	20	1/2	1/2	4/4	2	1	V	Eb	I	V	V		V							M	0	0	1, 5, 2		1	1
20	20	3/4	3/4	4/4	2	1	viio6/V	Eb	I	V	viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
21	21	0	0	4/4	2	1	viio64/V	Eb	I	V	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
21	21	1/4	1/4	4/4	2	1	V]	Eb	I	V	V		V							M	0	0	1, 5, 2		1	1
22	22	0	0	4/4	2	1	I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
22	22	1/2	1/2	4/4	2	1	V2/IV	Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
23	23	0	0	4/4	2	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
23	23	1/2	1/2	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	3/4	3/4	4/4	2	1	V65/IV	Eb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
24	24	0	0	4/4	2	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
24	24	1/2	1/2	4/4	2	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	0	0	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
25	25	1/2	1/2	4/4	2	1	viio7/V	Eb	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
26	26	0	0	4/4	2	1	V}	Eb	I		V		V						}	M	0	0	1, 5, 2		1	1
26	26	1/2	1/2	4/4	2	1	V(#7b64)	Eb	I		V(#7b64)		V			#7b64				M	0	0	1, 0, -3	6	1	1
26	26	3/4	3/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
27	27	0	0	4/4	2	1	I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
27	27	1/2	1/2	4/4	2	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
28	28	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
28	28	1/2	1/2	4/4	2	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
29	29	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
29	29	3/8	3/8	4/4	2	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
29	29	1/2	1/2	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
30	30	0	0	4/4	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
30	30	1/2	1/2	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
30	30	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	0	0	4/4	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
31	31	1/2	1/2	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	32	0	0	4/4	2	1	ii65	Eb	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
32	32	3/8	3/8	4/4	2	1	V65/V	Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
32	32	1/2	1/2	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
32	32	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
33	33	0	0	4/4	2	1	I}	Eb	I		I		I						}	M	0	0	0, 4, 1		0	0
33	33	1/4	1/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
33	33	1/2	1/2	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
34	34	0	0	4/4	2	1	{	Eb	I										{		0	0				
34	34	1/2	1/2	4/4	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
34	34	3/4	3/4	4/4	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
34	34	7/8	7/8	4/4	2	1	viio6/V	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
35	35	0	0	4/4	2	1	V(4)	Eb	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
35	35	1/8	1/8	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
35	35	1/4	1/4	4/4	2	1	vii%7	Eb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
35	35	1/2	1/2	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
35	35	3/4	3/4	4/4	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
36	36	0	0	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
36	36	3/8	3/8	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	36	1/2	1/2	4/4	2	1	I(974)}	Eb	I		I(974)		I			974			}	M	0	0	0, -1, 1	2, 5	0	0
36	36	3/4	3/4	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
