key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
E- major	[0.745, 0.0, 0.309, 1.0, 0.0, 0.673, 0.0, 0.473, 0.182, 0.018, 0.509, 0.0]	0.0	36.0	36.0	1	7	6
c minor	[0.909, 0.0, 0.545, 0.848, 0.0, 0.455, 0.061, 1.0, 0.727, 0.0, 0.0, 0.212]	36.0	57.0	3.0	7	11	4
A- major	[0.05, 1.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.05, 0.0, 0.8, 0.0]	57.0	63.0	3.0	11	12	1
D- major	[1.0, 0.812, 0.0, 0.438, 0.188, 0.5, 0.188, 0.0, 0.562, 0.0, 0.25, 0.0]	63.0	71.0	4.0	12	13	1
E- major	[0.2, 0.0, 0.4, 0.9, 0.4, 1.0, 0.0, 0.7, 0.7, 0.0, 0.3, 0.0]	71.0	77.0	1.0	13	14	1
c minor	[0.429, 0.0, 0.143, 0.476, 0.0, 0.333, 0.0, 1.0, 0.667, 0.0, 0.0, 0.19]	77.0	87.0	1.0	14	16	2
E- major	[0.231, 0.0, 0.096, 1.0, 0.0, 0.135, 0.038, 0.558, 0.135, 0.231, 0.827, 0.0]	87.0	117.0	3.0	16	20	4
