0,1.0,F#,1,M,0
1.0,1.5,F#,5,D7,0
1.5,2.0,F#,5/4,D7,1
2.0,4.0,F#,5/2,D7,1
4.0,4.5,F#,2,m,1
4.5,5.0,F#,4,m,1
5.0,5.5,F#,2,m,1
5.5,6.0,F#,4,m,1
6.0,6.5,F#,5,M,1
6.5,7.0,F#,7/5,M,1
7.0,7.5,F#,7/5,d7,1
7.5,8.0,F#,5/5,M,1
8.0,8.5,F#,5,m,1
8.5,9.0,F#,5,M,1
9.0,10.0,F#,5/2,D7,1
10.0,10.5,F#,6,m,1
10.5,11.0,F#,2,m,1
11.0,12.0,F#,5/6,D7,1
12.0,13.0,F#,6,m,0
13.0,13.5,F#,1,m,0
13.5,14.0,F#,1,m,2
14.0,15.5,F#,7/5,d7,1
15.5,16.0,F#,5/5,D7,0
16.0,16.5,F#,5,M,0
16.5,18.0,F#,5,D7,0
18.0,18.5,F#,1,M,0
18.5,19.5,F#,1,M,2
19.5,20.0,F#,1,M,0
20.0,22.0,F#,5,D7,0
22.0,24.0,F#,1,M,0
24.0,26.0,F#,5,D7,0
26.0,26.5,F#,5,M,0
26.5,27.5,F#,5,D7,0
27.5,28.0,F#,5,M,0
28.0,29.0,F#,2,m,0
29.0,29.5,F#,5,m,0
29.5,30.0,F#,5,M,1
30.0,31.0,F#,5,D7,0
31.0,31.5,F#,5,M,0
31.5,32.0,F#,5,M,1
32.0,32.5,F#,5,M,0
32.5,33.0,F#,5,M,1
33.0,34.0,F#,7,d7,1
34.0,35.0,F#,1,M,0
35.0,35.5,F#,1,M,2
35.5,36.0,F#,1/4,D7,2
36.0,36.5,F#,1,D7,1
36.5,38.0,F#,5/2,D7,1
38.0,40.0,F#,2,m,1
40.0,40.5,F#,5,M,1
40.5,42.0,F#,7,M,1
42.0,42.5,F#,3,m,1
42.5,43.0,F#,3,M,1
43.0,44.0,F#,5/2,D7,1
44.0,45.0,F#,2,m,1
45.0,45.5,F#,5,M,0
45.5,46.0,F#,5,D7,0
46.0,47.0,F#,1,M,0
47.0,47.5,F#,1,M,1
47.5,48.0,F#,5,M,0
48.0,49.0,F#,1,M,2
49.0,50.0,F#,5,D7,0
50.0,50.5,F#,5,M,0
50.5,52.0,F#,5/4,D7,0
52.0,53.0,F#,4,M,1
53.0,53.5,F#,1,M,1
53.5,54.0,F#,5,D7,0
54.0,62.0,F#,1,M,0
