mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1		e.i	e	i		i	i							m	1	1	0, -3, 1		0	0
2	2	0	0	3/4	4	1		V	e	i		V	V							M	1	1	1, 5, 2		1	1
3	3	0	0	3/4	4	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	0	3/4	4	1		i(94)	e	i		i(94)	i			94				m	1	1	0, -1, 1	2	0	0
4	4	1/2	1/2	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
6	6	0	0	3/4	4	1		viio/VII	e	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
7	7	0	0	3/4	4	1		V7/VII	e	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
8	8	0	0	3/4	4	1	1	VII(#7)	e	i		VII(#7)	VII			#7				M	1	1	-2, 2, -1	3	-2	-2
8	8	1/4	1/4	3/4	4	1	1	VII	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
8	8	1/2	1/2	3/4	4	1	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	0	0	3/4	4	1	1	i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
10	8	0	0	3/4	4	1	1	VII(#7)	e	i		VII(#7)	VII			#7				M	1	1	-2, 2, -1	3	-2	-2
10	8	1/4	1/4	3/4	4	1	1	VII	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
11	9	0	0	3/4	4	1	1	VII6	e	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
11	9	1/4	1/4	3/4	4	1	1	III.viio7	e	III		viio7	vii	o	7					o7	1	0	5, 2, -1, -4		5	5
12	10	0	0	3/4	4	1		I(4)	e	III		I(4)	I			4				M	1	0	0, -1, 1		0	0
12	10	1/4	1/4	3/4	4	1		I(#2)	e	III		I(#2)	I			#2				M	1	0	0, 9, 1		0	0
12	10	1/2	1/2	3/4	4	1		I	e	III		I	I							M	1	0	0, 4, 1		0	0
13	11	0	0	3/4	4	1		#viio7/ii	e	III		#viio7/ii	#vii	o	7		ii			o7	1	0	7, 4, 1, -2		7	7
14	12	0	0	3/4	4	1		ii(94)	e	III		ii(94)	ii			94				m	1	0	2, 1, 3	4	2	2
14	12	1/2	1/2	3/4	4	1		ii	e	III		ii	ii							m	1	0	2, -1, 3		2	2
16	14	0	0	3/4	4	1		V6/ii	e	III		V6/ii	V		6		ii			M	1	0	7, 4, 3		3	7
17	15	0	0	3/4	4	1		V/ii	e	III		V/ii	V				ii			M	1	0	3, 7, 4		3	3
18	16	0	0	3/4	4	1		ii	e	III		ii	ii							m	1	0	2, -1, 3		2	2
18	16	1/2	1/2	3/4	4	1		vii%7	e	III		vii%7	vii	%	7					%7	1	0	5, 2, -1, 3		5	5
19	17	0	0	3/4	4	1		bII.I	e	bII		I	I							M	1	0	0, 4, 1		0	0
20	18	0	0	3/4	4	1		V7	e	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
22	20	1/2	1/2	3/4	4	1		I(#2)	e	bII		I(#2)	I			#2				M	1	0	0, 9, 1		0	0
23	21	0	0	3/4	4	1		I	e	bII		I	I							M	1	0	0, 4, 1		0	0
26	24	0	0	3/4	4	1		i.V7(9)	e	i		V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
27	25	1/4	1/4	3/4	4	1		V6	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
28	26	0	0	3/4	4	1		i(4)	e	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
28	26	1/4	1/4	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
29	27	0	0	3/4	4	1		V(4)	e	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
29	27	1/4	1/4	3/4	4	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
30	28	0	0	3/4	4	1		i(9+7)	e	i		i(9+7)	i			9+7				m	1	1	0, -3, 1	2, -2	0	0
30	28	1/4	1/4	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
30	28	1/2	1/2	3/4	4	1		bII.V7	e	bII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
31	29	0	0	3/4	4	1		I	e	bII		I	I							M	1	0	0, 4, 1		0	0
34	32	0	0	3/4	4	1		i.V7(9)	e	i		V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
35	33	1/4	1/4	3/4	4	1		V6	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
36	34	0	0	3/4	4	1		i(4)	e	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
36	34	1/4	1/4	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
37	35	0	0	3/4	4	1		V(4)	e	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
37	35	1/4	1/4	3/4	4	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
38	36	0	0	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
39	37	0	0	3/4	4	1		V6	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
41	39	0	0	3/4	4	1		i(+4)	e	i		i(+4)	i			+4				m	1	1	0, -3, 1	-1	0	0
41	39	1/4	1/4	3/4	4	1		i(+2)	e	i		i(+2)	i			+2				m	1	1	0, -3, 1	2	0	0
41	39	5/8	5/8	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
42	40	0	0	3/4	4	1		iv7	e	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
42	40	1/4	1/4	3/4	4	1		iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
43	41	0	0	3/4	4	1		V(#76)	e	i		V(#76)	V			#76				M	1	1	1, 5, -3	6	1	1
43	41	5/8	5/8	3/4	4	1		V(64)	e	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
44	42	0	0	3/4	4	1		V7(4)	e	i		V7(4)	V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
44	42	1/4	1/4	3/4	4	1		V7(+#2)	e	i		V7(+#2)	V		7	+#2				Mm7	1	1	1, 5, 2, -1	3	1	1
44	42	5/8	5/8	3/4	4	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
45	43	0	0	3/4	4	1		i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
45	43	1/4	1/4	3/4	4	1		i[i6	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
45	43	1/2	1/2	3/4	4	1		viio64	e	i	i	viio64	vii	o	64					o	1	1	-8, -2, -5		-2	-8
46	44	1/2	1/2	3/4	4	1		i6	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
47	45	1/2	1/2	3/4	4	1		viio64	e	i	i	viio64	vii	o	64					o	1	1	-8, -2, -5		-2	-8
48	46	1/2	1/2	3/4	4	1		i6	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
49	47	0	0	3/4	4	1		viio64	e	i	i	viio64	vii	o	64					o	1	1	-8, -2, -5		-2	-8
49	47	1/2	1/2	3/4	4	1		i6]	e	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
50	48	1/4	1/4	3/4	4	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
51	49	1/2	1/2	3/4	4	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
52	50	0	0	3/4	4	1	1	i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
53	51	0	0	3/4	4	1	1	V	e	i		V	V							M	1	1	1, 5, 2		1	1
54	52	0	0	3/4	4	1	1	i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
55	53	0	0	3/4	4	1	1	vii%7/III	e	i		vii%7/III	vii	%	7		III			%7	1	1	2, -1, -4, 0		2	2
55	53	1/4	1/4	3/4	4	1	1	viio7/III	e	i		viio7/III	vii	o	7		III			o7	1	1	2, -1, -4, -7		2	2
56	49	0	0	3/4	4	1	1	i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
57	50	0	0	3/4	4	1	1	V	e	i		V	V							M	1	1	1, 5, 2		1	1
58	51	0	0	3/4	4	1	1	i\\	e	i		i	i						\\	m	1	1	0, -3, 1		0	0
59	51	0	1/4	3/4	4	1		I.I	e	I		I	I							M	1	0	0, 4, 1		0	0
59	51	1/4	1/2	3/4	4	1		V	e	I		V	V							M	1	0	1, 5, 2		1	1
60	52	0	0	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
60	52	1/4	1/4	3/4	4	1		I6	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
61	53	1/4	1/4	3/4	4	1		V2	e	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
61	53	1/2	1/2	3/4	4	1		I6	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
62	54	0	0	3/4	4	1		V43	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
62	54	1/4	1/4	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
62	54	1/2	1/2	3/4	4	1		V	e	I		V	V							M	1	0	1, 5, 2		1	1
63	55	0	0	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
64	56	0	0	3/4	4	1		V43	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
65	57	0	0	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
65	57	1/4	1/4	3/4	4	1		V6	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
65	57	1/2	1/2	3/4	4	1		V65/V	e	I		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
66	58	0	0	3/4	4	1		V	e	I		V	V							M	1	0	1, 5, 2		1	1
66	58	1/4	1/4	3/4	4	1		V43	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
67	59	0	0	3/4	4	1		V	e	I		V	V							M	1	0	1, 5, 2		1	1
67	59	1/4	1/4	3/4	4	1		V43/V	e	I		V43/V	V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
67	59	1/2	1/2	3/4	4	1		V6	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
68	60	0	0	3/4	4	1		V2/V	e	I		V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
68	60	1/4	1/4	3/4	4	1		V6	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
68	60	1/2	1/2	3/4	4	1		V6/V	e	I		V6/V	V		6		V			M	1	0	6, 3, 2		2	6
69	61	0	0	3/4	4	1		V	e	I		V	V							M	1	0	1, 5, 2		1	1
69	61	1/4	1/4	3/4	4	1		V64	e	I		V64	V		64					M	1	0	2, 1, 5		1	2
70	62	0	0	3/4	4	1		V65/ii	e	I		V65/ii	V		65		ii			Mm7	1	0	7, 4, 1, 3		3	7
70	62	1/4	1/4	3/4	4	1		ii	e	I		ii	ii							m	1	0	2, -1, 3		2	2
70	62	1/2	1/2	3/4	4	1		IV64	e	I		IV64	IV		64					M	1	0	0, -1, 3		-1	0
71	63	0	0	3/4	4	1		V65	e	I		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
71	63	1/4	1/4	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
71	63	1/2	1/2	3/4	4	1		V7	e	I		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
72	64	0	0	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
72	64	1/4	1/4	3/4	4	1		I6	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
73	65	1/4	1/4	3/4	4	1		V2	e	I		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
73	65	1/2	1/2	3/4	4	1		I6	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
74	66	0	0	3/4	4	1		V43	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
74	66	1/4	1/4	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
74	66	1/2	1/2	3/4	4	1		V64	e	I		V64	V		64					M	1	0	2, 1, 5		1	2
75	67	0	0	3/4	4	1		I6	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
75	67	1/2	1/2	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
76	68	0	0	3/4	4	1		V43	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
76	68	1/2	1/2	3/4	4	1		I6	e	I		I6	I		6					M	1	0	4, 1, 0		0	4
76	68	7/12	7/12	3/4	4	1		V43	e	I		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
77	69	0	0	3/4	4	1		I	e	I		I	I							M	1	0	0, 4, 1		0	0
77	69	1/4	1/4	3/4	4	1		V	e	I		V	V							M	1	0	1, 5, 2		1	1
77	69	1/2	1/2	3/4	4	1		V2/V	e	I		V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
78	70	0	0	3/4	4	1		V6	e	I		V6	V		6					M	1	0	5, 2, 1		1	5
