mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	2/2	2	1	D.V{		D	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	0	0	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	2/2	2	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
3	2	0	0	2/2	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	2	1/2	1/2	2/2	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	0	0	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
4	3	1/2	1/2	2/2	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
5	4	0	0	2/2	2	1	V(64)}		D	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
5	4	1/4	1/4	2/2	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
5	4	1/2	1/2	2/2	2	1	{		D	I										{		0	0				
6	5	0	0	2/2	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	5	1/2	1/2	2/2	2	1	vi6		D	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
7	6	0	0	2/2	2	1	V.V7		D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	1/2	1/2	2/2	2	1	viio		D	V		viio		vii	o						o	0	0	5, 2, -1		5	5
8	7	0	0	2/2	2	1	I		D	V		I		I							M	0	0	0, 4, 1		0	0
8	7	1/4	1/4	2/2	2	1	ii6		D	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	1/2	1/2	2/2	2	1	V(64)		D	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	7	3/4	3/4	2/2	2	1	V7		D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	2/2	2	1	I(94)}		D	V		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
9	8	1/4	1/4	2/2	2	1	I		D	V		I		I							M	0	0	0, 4, 1		0	0
10	8	0	1/2	2/2	2	1	I.V{		D	I		V		V						{	M	0	0	1, 5, 2		1	1
11	9	0	0	2/2	2	1	V7/II		D	I		V7/II		V		7		II			Mm7	0	0	3, 7, 4, 1		3	3
11	9	1/4	1/4	2/2	2	1	II		D	I		II		II							M	0	0	2, 6, 3		2	2
11	9	1/2	1/2	2/2	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	9	3/4	3/4	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
12	10	0	0	2/2	2	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
12	10	1/4	1/4	2/2	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
12	10	5/8	5/8	2/2	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	10	3/4	3/4	2/2	2	1	viio6		D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
12	10	7/8	7/8	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
13	11	0	0	2/2	2	1	V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
13	11	1/4	1/4	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
13	11	1/2	1/2	2/2	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
13	11	3/4	3/4	2/2	2	1	viio6/V		D	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
14	12	0	0	2/2	2	1	V(64)}		D	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
14	12	1/2	1/2	2/2	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
15	13	1/2	1/2	2/2	2	1	{		D	I										{		0	0				
16	14	0	0	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
16	14	1/2	1/2	2/2	2	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
17	15	0	0	2/2	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
17	15	1/2	1/2	2/2	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	0	0	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
18	16	1/4	1/4	2/2	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	16	1/2	1/2	2/2	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
18	16	3/4	3/4	2/2	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
