mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	3/4	2	1		viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	1/2	1/2	3/4	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	3/4	2	1		#viio43/ii	Eb	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
3	3	1/4	1/4	3/4	2	1		ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	0	0	3/4	2	1		V(64)}	Eb	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
4	4	1/4	1/4	3/4	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
5	5	0	0	3/4	2	1		I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	3/4	2	1		vi6	Eb	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
6	6	0	0	3/4	2	1		ii(4)	Eb	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
6	6	1/4	1/4	3/4	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	1/2	1/2	3/4	2	1		vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	0	0	3/4	2	1		ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/4	1/4	3/4	2	1		V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	1/2	1/2	3/4	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	3/4	2	1		I[I}{	Eb	I	I	I	I						}{	M	0	0	0, 4, 1		0	0
9	9	0	0	3/4	2	1		viio6(2)	Eb	I	I	viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
9	9	1/8	1/8	3/4	2	1		viio6	Eb	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
10	10	0	0	3/4	2	1		I	Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
11	11	0	0	3/4	2	1		viio6(2)	Eb	I	I	viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
11	11	1/8	1/8	3/4	2	1		viio6	Eb	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
12	12	0	0	3/4	2	1		I]	Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
12	12	3/8	3/8	3/4	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	1/2	1/2	3/4	2	1		ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	12	5/8	5/8	3/4	2	1		vii%7/V	Eb	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
13	13	0	0	3/4	2	1		V(64)}	Eb	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
13	13	1/4	1/4	3/4	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
14	14	0	0	3/4	2	1		V.I{	Eb	V		I	I						{	M	0	0	0, 4, 1		0	0
14	14	1/2	1/2	3/4	2	1		V2	Eb	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	5/8	5/8	3/4	2	1		I6	Eb	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	3/4	2	1		viio6	Eb	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15	15	1/8	1/8	3/4	2	1		I	Eb	V		I	I							M	0	0	0, 4, 1		0	0
