key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B major	[0.0, 0.298, 0.0, 0.468, 0.277, 0.149, 0.926, 0.0, 0.17, 0.362, 0.106, 1.0]	0.0	26.5	26.5	0	7	7
a minor	[0.0, 0.154, 1.0, 0.0, 0.462, 0.154, 0.077, 0.0, 0.923, 0.0, 0.0, 0.615]	26.5	30.5	2.0	7	8	1
B major	[0.029, 0.265, 0.147, 0.294, 0.324, 0.235, 1.0, 0.0, 0.471, 0.059, 0.147, 0.618]	30.5	48.5	2.0	8	13	5
D major	[0.0, 0.067, 0.2, 0.0, 0.6, 0.0, 0.467, 1.0, 0.0, 0.733, 0.0, 0.2]	48.5	60.0	1.5	13	15	2
b minor	[0.0, 0.514, 0.286, 0.0, 0.2, 0.057, 1.0, 0.114, 0.114, 0.114, 0.314, 0.514]	60.0	80.5	0.5	15	21	6
D- major	[0.231, 0.423, 0.0, 1.0, 0.0, 0.192, 1.0, 0.0, 0.846, 0.0, 0.154, 0.0]	80.5	96.0	4.0	21	24	3
B- major	[0.5, 0.413, 0.0, 0.37, 0.109, 1.0, 0.565, 0.109, 0.087, 0.326, 0.804, 0.0]	96.0	123.5	0.5	24	31	7
C- major	[0.0, 0.938, 0.0, 0.0, 1.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.938, 0.0]	123.5	128.5	1.0	31	33	2
B major	[0.0, 0.298, 0.0, 0.511, 0.234, 0.149, 0.915, 0.0, 0.17, 0.362, 0.106, 1.0]	128.5	154.5	3.5	33	39	6
a minor	[0.0, 0.167, 1.0, 0.083, 0.5, 0.167, 0.083, 0.0, 1.0, 0.0, 0.0, 0.667]	154.5	158.5	2.0	39	40	1
B major	[0.114, 0.4, 0.143, 0.486, 0.429, 0.229, 1.0, 0.0, 0.686, 0.114, 0.257, 0.714]	158.5	180.0	2.0	40	46	6
