key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
E- major	[0.177, 0.008, 0.162, 0.623, 0.015, 0.262, 0.0, 0.5, 0.338, 0.015, 1.0, 0.0]	0.0	76.0	76.0	1	20	19
c minor	[0.55, 0.0, 0.15, 0.55, 0.0, 0.05, 0.0, 1.0, 0.0, 0.0, 0.0, 0.1]	76.0	84.0	2.0	20	22	2
A- major	[0.55, 0.05, 0.0, 1.0, 0.0, 0.0, 0.0, 0.1, 0.55, 0.0, 0.15, 0.0]	84.0	92.0	2.0	22	24	2
f minor	[1.0, 0.0, 0.0, 0.0, 0.1, 0.24, 0.0, 0.12, 0.14, 0.0, 0.0, 0.0]	92.0	103.0	1.0	24	26	2
E- major	[0.195, 0.22, 0.171, 1.0, 0.049, 0.39, 0.0, 0.756, 0.512, 0.049, 0.878, 0.0]	103.0	136.0	1.0	26	35	9
A- major	[0.51, 0.15, 0.0, 1.0, 0.0, 0.07, 0.0, 0.13, 0.71, 0.0, 0.17, 0.0]	136.0	184.0	1.0	35	47	12
f minor	[1.0, 0.0, 0.0, 0.0, 0.1, 0.75, 0.0, 0.05, 0.4, 0.0, 0.05, 0.0]	184.0	192.0	2.0	47	49	2
D- major	[0.1, 0.8, 0.0, 0.05, 0.0, 0.4, 0.05, 0.0, 1.0, 0.0, 0.0, 0.0]	192.0	200.0	2.0	49	51	2
b- minor	[0.122, 0.143, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.102, 0.245, 0.0]	200.0	211.0	1.0	51	53	2
A- major	[1.0, 0.0, 0.0, 0.84, 0.0, 0.0, 0.0, 0.08, 0.76, 0.0, 0.04, 0.0]	211.0	224.0	1.0	53	57	4
E- major	[0.157, 0.01, 0.157, 0.559, 0.0, 0.245, 0.0, 0.382, 0.294, 0.0, 1.0, 0.0]	224.0	276.0	4.0	57	70	13
c minor	[0.524, 0.0, 0.143, 0.476, 0.0, 0.048, 0.0, 1.0, 0.0, 0.0, 0.0, 0.095]	276.0	284.0	2.0	70	72	2
A- major	[0.429, 0.048, 0.0, 1.0, 0.0, 0.0, 0.0, 0.095, 0.571, 0.0, 0.143, 0.0]	284.0	292.0	2.0	72	74	2
f minor	[1.0, 0.0, 0.0, 0.0, 0.102, 0.245, 0.0, 0.122, 0.143, 0.0, 0.0, 0.0]	292.0	303.0	1.0	74	76	2
E- major	[0.195, 0.22, 0.171, 1.0, 0.049, 0.39, 0.0, 0.756, 0.512, 0.049, 0.829, 0.0]	303.0	336.0	1.0	76	85	9
A- major	[0.54, 0.15, 0.0, 1.0, 0.0, 0.07, 0.0, 0.13, 0.7, 0.0, 0.17, 0.0]	336.0	384.0	1.0	85	97	12
f minor	[1.0, 0.0, 0.0, 0.0, 0.1, 0.75, 0.0, 0.05, 0.45, 0.0, 0.05, 0.0]	384.0	392.0	2.0	97	99	2
D- major	[0.095, 0.81, 0.0, 0.048, 0.0, 0.381, 0.048, 0.0, 1.0, 0.0, 0.0, 0.0]	392.0	400.0	2.0	99	101	2
b- minor	[0.118, 0.137, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.098, 0.235, 0.0]	400.0	411.0	1.0	101	103	2
A- major	[1.0, 0.0, 0.0, 0.84, 0.0, 0.0, 0.0, 0.08, 0.84, 0.0, 0.04, 0.0]	411.0	424.0	1.0	103	107	4
E- major	[0.155, 0.01, 0.155, 0.553, 0.0, 0.243, 0.0, 0.379, 0.291, 0.0, 1.0, 0.0]	424.0	476.0	4.0	107	120	13
c minor	[0.55, 0.0, 0.15, 0.55, 0.0, 0.05, 0.0, 1.0, 0.0, 0.0, 0.0, 0.1]	476.0	484.0	2.0	120	122	2
A- major	[0.55, 0.05, 0.0, 1.0, 0.0, 0.0, 0.0, 0.1, 0.55, 0.0, 0.15, 0.0]	484.0	492.0	2.0	122	124	2
f minor	[1.0, 0.0, 0.0, 0.0, 0.102, 0.245, 0.0, 0.122, 0.143, 0.0, 0.0, 0.0]	492.0	503.0	1.0	124	126	2
E- major	[0.0, 0.0, 0.1, 1.0, 0.0, 0.033, 0.0, 0.6, 0.0, 0.0, 0.567, 0.0]	503.0	516.0	1.0	126	130	4
e- minor	[0.0, 0.0, 0.077, 0.692, 0.0, 0.077, 1.0, 0.0, 0.0, 0.0, 0.385, 0.731]	516.0	532.0	4.0	130	134	4
C- major	[0.0, 0.138, 0.0, 0.489, 0.138, 0.0, 0.819, 0.096, 0.266, 0.0, 0.074, 1.0]	532.0	584.0	4.0	134	147	13
E- major	[0.0, 0.0, 0.211, 1.0, 0.0, 0.211, 0.368, 0.263, 0.316, 0.0, 0.789, 0.0]	584.0	594.0	4.0	147	149	2
c minor	[0.533, 0.0, 0.2, 0.467, 0.0, 0.067, 0.0, 1.0, 0.0, 0.0, 0.0, 0.133]	594.0	600.0	2.0	149	151	2
A- major	[0.55, 0.05, 0.0, 1.0, 0.0, 0.0, 0.0, 0.1, 0.55, 0.0, 0.15, 0.0]	600.0	608.0	2.0	151	153	2
f minor	[1.0, 0.0, 0.0, 0.0, 0.1, 0.24, 0.0, 0.12, 0.14, 0.0, 0.0, 0.0]	608.0	619.0	1.0	153	155	2
E- major	[0.0, 0.0, 0.247, 1.0, 0.0, 0.103, 0.0, 0.567, 0.227, 0.0, 0.711, 0.0]	619.0	668.0	1.0	155	167	12
