COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Beethoven, Ludwig van",Op002 No1,1,95,bII64,F minor
"Beethoven, Ludwig van",Op014 No2,1,81,bII,G minor
"Beethoven, Ludwig van",Op014 No2,1,82,bII,G minor
"Beethoven, Ludwig van",Op014 No2,1,83,bII,G minor
"Beethoven, Ludwig van",Op022,1,59,N6,F major
"Beethoven, Ludwig van",Op022,1,61,N6,F major
"Beethoven, Ludwig van",Op022,1,188,bII,Bb major
"Beethoven, Ludwig van",Op022,1,190,N6,Bb major
"Beethoven, Ludwig van",Op022,1,192,N6,Bb major
"Beethoven, Ludwig van",Op026,1,106,N6,Ab minor
"Beethoven, Ludwig van",Op026,1,114,N6,Ab minor
"Beethoven, Ludwig van",Op026,1,132,N6,Ab minor
"Beethoven, Ludwig van",Op027 No2(Moonlight),1,3,N6,C# minor
"Beethoven, Ludwig van",Op027 No2(Moonlight),1,16,N6,B minor
"Beethoven, Ludwig van",Op027 No2(Moonlight),1,18,N6,B minor
"Beethoven, Ludwig van",Op027 No2(Moonlight),1,21,N6,F# minor
"Beethoven, Ludwig van",Op027 No2(Moonlight),1,50,N6,C# minor
"Beethoven, Ludwig van",Op027 No2(Moonlight),1,52,N6,C# minor
"Beethoven, Ludwig van",Op027 No2(Moonlight),1,54,N6,C# minor
"Beethoven, Ludwig van",Op031 No2,1,10,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,11,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,55,N6,A minor
"Beethoven, Ludwig van",Op031 No2,1,56,N6,A minor
"Beethoven, Ludwig van",Op031 No2,1,57,N6,A minor
"Beethoven, Ludwig van",Op031 No2,1,58,N6,A minor
"Beethoven, Ludwig van",Op031 No2,1,59,N6,A minor
"Beethoven, Ludwig van",Op031 No2,1,60,N6,A minor
"Beethoven, Ludwig van",Op031 No2,1,62,N6,A minor
"Beethoven, Ludwig van",Op031 No2,1,63,bII,A minor
"Beethoven, Ludwig van",Op031 No2,1,64,bII,A minor
"Beethoven, Ludwig van",Op031 No2,1,65,bII,A minor
"Beethoven, Ludwig van",Op031 No2,1,66,bII,A minor
"Beethoven, Ludwig van",Op031 No2,1,67,bII,A minor
"Beethoven, Ludwig van",Op031 No2,1,68,bII,A minor
"Beethoven, Ludwig van",Op031 No2,1,185,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,186,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,187,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,188,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,189,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,190,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,192,N6,D minor
"Beethoven, Ludwig van",Op031 No2,1,193,bII,D minor
"Beethoven, Ludwig van",Op031 No2,1,194,bII,D minor
"Beethoven, Ludwig van",Op031 No2,1,195,bII,D minor
"Beethoven, Ludwig van",Op031 No2,1,196,bII,D minor
"Beethoven, Ludwig van",Op031 No2,1,197,bII,D minor
"Beethoven, Ludwig van",Op031 No2,1,198,bII,D minor
"Beethoven, Ludwig van",Op053,1,105,bII42,F minor
"Beethoven, Ludwig van",Op053,1,108,N6,F minor
"Beethoven, Ludwig van",Op053,1,134,N6,C minor
"Beethoven, Ludwig van",Op053,1,237,N6,C minor
"Beethoven, Ludwig van",Op057(Appassionata),1,42,N6,Ab minor
"Beethoven, Ludwig van",Op057(Appassionata),1,53,bII,Ab minor
"Beethoven, Ludwig van",Op057(Appassionata),1,57,bII,Ab minor
"Beethoven, Ludwig van",Op057(Appassionata),1,181,N6,F minor
"Beethoven, Ludwig van",Op057(Appassionata),1,192,bII,F minor
"Beethoven, Ludwig van",Op057(Appassionata),1,196,bII,F minor
"Beethoven, Ludwig van",Op057(Appassionata),1,218,N6,F minor
"Beethoven, Ludwig van",Op057(Appassionata),1,219,N6,F minor
"Beethoven, Ludwig van",Op078,1,100,N6,B minor
"Beethoven, Ludwig van",Op090,1,47,N6,B minor
"Beethoven, Ludwig van",Op090,1,48,N6,B minor
"Beethoven, Ludwig van",Op090,1,69,N6,B minor
"Beethoven, Ludwig van",Op090,1,73,N6,B minor
"Beethoven, Ludwig van",Op090,1,190,N6,E minor
"Beethoven, Ludwig van",Op090,1,191,N6,E minor
"Beethoven, Ludwig van",Op090,1,212,N6,E minor
"Beethoven, Ludwig van",Op090,1,216,N6,E minor
"Beethoven, Ludwig van",Op106(Hammerklavier),1,89,bII,C major
"Beethoven, Ludwig van",Op106(Hammerklavier),1,321,bII,Eb major
"Beethoven, Ludwig van",Op111,1,98,N6,C minor
"Mozart, Wolfgang Amadeus",K279,1,44,bII6/vi,C major
"Mozart, Wolfgang Amadeus",K280,2,45,bII6,F minor
"Mozart, Wolfgang Amadeus",K280,3,98,bII6,D minor
"Mozart, Wolfgang Amadeus",K284,1,69,bII6,D major
"Mozart, Wolfgang Amadeus",K284,1,69,bII6,D major
"Mozart, Wolfgang Amadeus",K284,3,129,bII6,D minor
"Mozart, Wolfgang Amadeus",K310,1,109,bII6,A minor
"Mozart, Wolfgang Amadeus",K310,1,119,bII6,A minor
"Mozart, Wolfgang Amadeus",K310,3,75,bII6,E minor
"Mozart, Wolfgang Amadeus",K310,3,83,bII6,E minor
"Mozart, Wolfgang Amadeus",K311,3,123,bII6,B minor
"Mozart, Wolfgang Amadeus",K457,3,298,bII6,C minor
"Mozart, Wolfgang Amadeus",K533,2,40,bII6,F major
"Mozart, Wolfgang Amadeus",K533,2,108,bII6,Bb major
"Mozart, Wolfgang Amadeus",K533,3,63,bII6,D minor
"Mozart, Wolfgang Amadeus",K533,3,64,bII6,D minor
"Mozart, Wolfgang Amadeus",K545,3,33,bII6,A minor
"Mozart, Wolfgang Amadeus",K545,3,47,bII6,A minor
"Mozart, Wolfgang Amadeus",K570,2,15,bII6,G minor
"Mozart, Wolfgang Amadeus",K570,2,20,bII6,C minor
