key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b minor	[0.0, 0.026, 0.237, 0.0, 0.0, 0.0, 0.237, 0.053, 0.0, 0.0, 0.0, 0.447]	0.0	2.5	2.5	0	2	2
D major	[0.0, 0.053, 0.394, 0.0, 0.053, 0.0, 0.191, 0.011, 0.0, 0.287, 0.0, 0.011]	2.5	8.0	0.5	2	4	2
b minor	[0.0, 0.026, 0.237, 0.0, 0.0, 0.0, 0.237, 0.053, 0.0, 0.0, 0.0, 0.447]	8.0	10.5	0.25	4	6	2
D major	[0.0, 0.023, 0.432, 0.0, 0.023, 0.0, 0.273, 0.023, 0.0, 0.205, 0.0, 0.023]	10.5	13.5	0.5	6	7	1
f# minor	[0.0, 0.35, 0.0, 0.0, 0.0, 0.05, 0.35, 0.0, 0.05, 0.2, 0.0, 0.0]	13.5	16.0	0.5	7	8	1
e minor	[0.046, 0.023, 0.0, 0.08, 0.172, 0.0, 0.103, 0.172, 0.0, 0.103, 0.0, 0.299]	16.0	21.0	0.5	8	11	3
G major	[0.086, 0.0, 0.328, 0.0, 0.034, 0.0, 0.052, 0.172, 0.0, 0.103, 0.0, 0.224]	21.0	24.25	0.25	11	12	1
D major	[0.0, 0.138, 0.131, 0.0, 0.092, 0.0, 0.192, 0.077, 0.0, 0.269, 0.0, 0.1]	24.25	32.0	0.25	12	16	4
b minor	[0.0, 0.026, 0.237, 0.0, 0.0, 0.0, 0.237, 0.053, 0.0, 0.0, 0.0, 0.447]	32.0	34.5	0.25	16	18	2
D major	[0.0, 0.0, 0.467, 0.0, 0.0, 0.0, 0.267, 0.0, 0.0, 0.267, 0.0, 0.0]	34.5	36.0	1.5	18	18	0
b minor	[0.0, 0.0, 0.227, 0.0, 0.045, 0.0, 0.364, 0.045, 0.0, 0.0, 0.091, 0.227]	36.0	37.5	0.5	18	19	1
f# minor	[0.0, 0.35, 0.0, 0.0, 0.0, 0.05, 0.35, 0.0, 0.05, 0.2, 0.0, 0.0]	37.5	40.0	0.5	19	20	1
b minor	[0.0, 0.026, 0.231, 0.0, 0.0, 0.0, 0.231, 0.051, 0.0, 0.0, 0.026, 0.436]	40.0	42.5	0.25	20	22	2
D major	[0.0, 0.052, 0.326, 0.0, 0.023, 0.0, 0.219, 0.032, 0.0, 0.323, 0.0, 0.026]	42.5	52.0	0.5	22	26	4
