key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
E- major	[0.12, 0.0, 0.12, 0.92, 0.0, 0.08, 0.0, 0.46, 0.08, 0.0, 1.0, 0.0]	0.0	12.5	12.5	1	5	4
B- major	[0.057, 0.472, 0.302, 0.208, 0.302, 0.604, 0.434, 0.038, 0.113, 0.208, 1.0, 0.057]	12.5	30.0	1.5	5	11	6
F major	[0.75, 0.5, 0.0, 0.0, 0.25, 0.333, 0.0, 0.25, 0.25, 0.0, 1.0, 0.0]	30.0	36.0	3.0	11	13	2
E- major	[0.254, 0.042, 0.394, 0.585, 0.042, 0.31, 0.085, 0.676, 0.282, 0.113, 1.0, 0.056]	36.0	60.5	3.0	13	21	8
B- major	[0.06, 0.5, 0.32, 0.22, 0.32, 0.68, 0.52, 0.04, 0.12, 0.18, 1.0, 0.06]	60.5	78.0	1.5	21	27	6
F major	[0.75, 0.5, 0.0, 0.0, 0.25, 0.333, 0.0, 0.25, 0.25, 0.0, 1.0, 0.0]	78.0	84.0	3.0	27	29	2
E- major	[0.324, 0.044, 0.5, 0.625, 0.044, 0.309, 0.088, 0.706, 0.294, 0.118, 1.0, 0.059]	84.0	108.5	3.0	29	37	8
B- major	[0.06, 0.5, 0.32, 0.22, 0.32, 0.68, 0.52, 0.04, 0.12, 0.18, 1.0, 0.06]	108.5	126.0	1.5	37	43	6
F major	[0.75, 0.5, 0.0, 0.0, 0.25, 0.333, 0.0, 0.25, 0.25, 0.0, 1.0, 0.0]	126.0	132.0	3.0	43	45	2
E- major	[0.196, 0.059, 0.392, 0.657, 0.059, 0.353, 0.118, 0.608, 0.314, 0.157, 1.0, 0.078]	132.0	150.0	3.0	45	50	5
