mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	4	1		Eb.I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
2	2	0	0	2/4	4	1		V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	2	1/4	1/4	2/4	4	1		V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	0	0	2/4	4	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	1/4	1/4	2/4	4	1		V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	4	0	0	2/4	4	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
4	4	1/8	1/8	2/4	4	1		ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	1/4	1/4	2/4	4	1		V7\\	Eb	I		V7	V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	2/4	4	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
5	5	3/8	3/8	2/4	4	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	1/16	1/16	2/4	4	1		V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	3/16	3/16	2/4	4	1		V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	6	3/8	3/8	2/4	4	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	7/16	7/16	2/4	4	1		V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	0	0	2/4	4	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	1/4	1/4	2/4	4	1		ii65	Eb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	8	0	0	2/4	4	1		V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	1/8	1/8	2/4	4	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
