key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
B- major	[0.062, 0.013, 0.08, 0.049, 0.013, 0.248, 0.093, 0.058, 0.0, 0.071, 0.292, 0.022]	0.0	22.5	22.5	1	8	7
B major	[0.0, 0.183, 0.0, 0.017, 0.017, 0.0, 0.267, 0.0, 0.0, 0.033, 0.133, 0.35]	22.5	27.0	1.5	8	10	2
B- major	[0.11, 0.004, 0.079, 0.061, 0.026, 0.184, 0.039, 0.07, 0.026, 0.057, 0.32, 0.022]	27.0	48.0	1.5	10	17	7
G major	[0.099, 0.0, 0.123, 0.0, 0.0, 0.0, 0.025, 0.432, 0.0, 0.099, 0.086, 0.136]	48.0	55.5	3.0	17	19	2
B- major	[0.101, 0.032, 0.144, 0.08, 0.029, 0.307, 0.046, 0.029, 0.006, 0.037, 0.178, 0.011]	55.5	88.5	1.5	19	30	11
