key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
b minor	[0.0, 0.117, 0.097, 0.0, 0.039, 0.0, 0.444, 0.088, 0.002, 0.0, 0.096, 0.117]	0.0	48.0	48.0	1	18	17
d minor	[0.004, 0.044, 0.147, 0.0, 0.095, 0.143, 0.048, 0.048, 0.048, 0.095, 0.202, 0.127]	48.0	66.0	3.0	18	25	7
b minor	[0.0, 0.118, 0.115, 0.0, 0.063, 0.0, 0.384, 0.081, 0.001, 0.022, 0.072, 0.144]	66.0	129.0	3.0	25	47	22
d minor	[0.0, 0.029, 0.2, 0.0, 0.058, 0.163, 0.167, 0.017, 0.0, 0.083, 0.15, 0.133]	129.0	147.0	3.0	47	54	7
b minor	[0.0, 0.103, 0.116, 0.0, 0.142, 0.0, 0.275, 0.118, 0.03, 0.031, 0.05, 0.135]	147.0	183.0	3.0	54	66	12
B major	[0.0, 0.146, 0.07, 0.033, 0.024, 0.0, 0.41, 0.07, 0.012, 0.0, 0.107, 0.128]	183.0	210.0	3.0	66	75	9
b minor	[0.0, 0.093, 0.0, 0.235, 0.141, 0.0, 0.37, 0.0, 0.024, 0.0, 0.0, 0.136]	210.0	219.0	3.0	75	78	3
d minor	[0.0, 0.054, 0.21, 0.027, 0.061, 0.115, 0.155, 0.027, 0.0, 0.081, 0.0, 0.27]	219.0	237.0	3.0	78	84	6
b minor	[0.0, 0.167, 0.12, 0.0, 0.259, 0.0, 0.0, 0.222, 0.111, 0.028, 0.028, 0.065]	237.0	246.0	3.0	84	87	3
B major	[0.0, 0.074, 0.062, 0.078, 0.089, 0.0, 0.39, 0.065, 0.0, 0.024, 0.03, 0.188]	246.0	269.0	3.0	87	95	8
c# minor	[0.0, 0.12, 0.0, 0.112, 0.175, 0.0, 0.066, 0.17, 0.0, 0.0, 0.169, 0.188]	269.0	276.0	1.0	95	98	3
B major	[0.0, 0.115, 0.0, 0.042, 0.281, 0.0, 0.0, 0.241, 0.0, 0.0, 0.239, 0.083]	276.0	282.0	3.0	98	100	2
g# minor	[0.022, 0.141, 0.0, 0.155, 0.107, 0.0, 0.271, 0.0, 0.096, 0.0, 0.03, 0.179]	282.0	297.0	3.0	100	106	6
c# minor	[0.0, 0.069, 0.0, 0.361, 0.069, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0]	297.0	306.0	3.0	106	109	3
B major	[0.037, 0.092, 0.069, 0.102, 0.094, 0.0, 0.253, 0.046, 0.072, 0.0, 0.033, 0.203]	306.0	351.0	3.0	109	117	8
