key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
g minor	[0.095, 0.034, 1.0, 0.017, 0.017, 0.017, 0.045, 0.743, 0.0, 0.184, 0.19, 0.034]	0.0	35.5	35.5	1	12	11
d minor	[0.0, 0.2, 0.75, 0.0, 0.4, 0.35, 0.0, 0.1, 0.0, 1.0, 0.0, 0.0]	35.5	39.0	0.5	12	14	2
g minor	[0.056, 0.0, 1.0, 0.0, 0.0, 0.0, 0.139, 0.278, 0.0, 0.417, 0.278, 0.0]	39.0	44.5	3.0	14	15	1
d minor	[0.0, 0.108, 0.486, 0.0, 0.288, 0.315, 0.0, 0.09, 0.126, 1.0, 0.0, 0.0]	44.5	59.5	0.5	15	20	5
g minor	[0.136, 0.0, 0.896, 0.08, 0.0, 0.032, 0.12, 1.0, 0.0, 0.216, 0.472, 0.008]	59.5	80.0	0.5	20	27	7
G major	[0.202, 0.0, 1.0, 0.0, 0.06, 0.0, 0.115, 0.47, 0.0, 0.328, 0.0, 0.393]	80.0	117.0	1.0	27	40	13
e minor	[0.588, 0.0, 0.0, 0.882, 1.0, 0.0, 0.529, 0.176, 0.0, 0.647, 0.0, 0.706]	117.0	122.5	0.5	40	41	1
b minor	[0.0, 0.333, 0.833, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.333, 0.333]	122.5	123.5	0.5	41	42	1
G major	[0.321, 0.0, 1.0, 0.0, 0.214, 0.0, 0.107, 0.821, 0.0, 0.143, 0.0, 0.75]	123.5	129.0	0.5	42	44	2
e minor	[0.588, 0.0, 0.0, 0.882, 1.0, 0.0, 0.529, 0.176, 0.0, 0.647, 0.0, 0.706]	129.0	134.5	0.5	44	45	1
b minor	[0.0, 0.333, 0.833, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.333, 0.333]	134.5	135.5	0.5	45	46	1
G major	[0.325, 0.0, 0.525, 0.0, 0.175, 0.0, 0.075, 1.0, 0.0, 0.15, 0.0, 0.425]	135.5	141.5	0.5	46	48	2
g minor	[0.235, 0.0, 1.0, 0.039, 0.0, 0.0, 0.157, 0.412, 0.0, 0.314, 0.333, 0.0]	141.5	149.5	0.5	48	50	2
d minor	[0.0, 0.2, 0.75, 0.0, 0.4, 0.35, 0.0, 0.1, 0.0, 1.0, 0.0, 0.0]	149.5	153.0	0.5	50	52	2
g minor	[0.184, 0.0, 1.0, 0.0, 0.0, 0.0, 0.132, 0.132, 0.0, 0.263, 0.263, 0.0]	153.0	158.5	3.0	52	53	1
d minor	[0.0, 0.167, 0.625, 0.0, 0.333, 0.375, 0.0, 0.083, 0.0, 1.0, 0.0, 0.0]	158.5	162.0	0.5	53	55	2
g minor	[0.172, 0.043, 0.484, 0.215, 0.0, 0.043, 0.237, 0.258, 0.0, 1.0, 0.0, 0.0]	162.0	173.5	3.0	55	58	3
G major	[0.158, 0.0, 0.785, 0.0, 0.09, 0.017, 0.079, 1.0, 0.0, 0.1, 0.0, 0.415]	173.5	207.0	0.5	58	69	11
