mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
1	1	3/4	3/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	1/2	1/2	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	1/4	1/4	4/4	2	1	ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
3	3	1/2	1/2	4/4	2	1	V(64)}	Eb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
3	3	3/4	3/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
4	4	0	0	4/4	2	1	I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
4	4	1/2	1/2	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	4	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	5	1/2	1/2	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	2	1	V+6/IV	Eb	I		V+6/IV		V	+	6		IV			+	0	0	4, 8, 0		0	4
6	6	3/4	3/4	4/4	2	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	0	0	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	1/4	1/4	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	3/8	3/8	4/4	2	1	V7(4)	Eb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
7	7	7/16	7/16	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	1/2	1/2	4/4	2	1	I}	Eb	I		I		I						}	M	0	0	0, 4, 1		0	0
8	8	0	0	4/4	2	1	V.I{	Eb	V		I		I						{	M	0	0	0, 4, 1		0	0
8	8	1/2	1/2	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	3/4	3/4	4/4	2	1	V	Eb	V		V		V							M	0	0	1, 5, 2		1	1
8	8	7/8	7/8	4/4	2	1	V7(9)	Eb	V		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
9	9	0	0	4/4	2	1	V	Eb	V		V		V							M	0	0	1, 5, 2		1	1
9	9	1/8	1/8	4/4	2	1	V7(9)	Eb	V		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
9	9	1/4	1/4	4/4	2	1	V	Eb	V		V		V							M	0	0	1, 5, 2		1	1
9	9	1/2	1/2	4/4	2	1	I(974)}	Eb	V		I(974)		I			974			}	M	0	0	0, -1, 1	2, 5	0	0
9	9	3/4	3/4	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
9	9	7/8	7/8	4/4	2	1	I6{	Eb	V		I6		I		6				{	M	0	0	4, 1, 0		0	4
10	10	1/2	1/2	4/4	2	1	IV	Eb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	11	0	0	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	1/2	1/2	4/4	2	1	vi(#4)	Eb	V		vi(#4)		vi			#4				m	0	0	3, 0, 9		3	3
11	11	5/8	5/8	4/4	2	1	vi	Eb	V		vi		vi							m	0	0	3, 0, 4		3	3
12	12	0	0	4/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	1/4	1/4	4/4	2	1	#viio65/ii	Eb	V		#viio65/ii		#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
12	12	1/2	1/2	4/4	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	3/4	3/4	4/4	2	1	viio7/V	Eb	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
13	13	0	0	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
13	13	1/4	1/4	4/4	2	1	V	Eb	V		V		V							M	0	0	1, 5, 2		1	1
13	13	1/2	1/2	4/4	2	1	I}	Eb	V		I		I						}	M	0	0	0, 4, 1		0	0
13	13	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
14	14	1/4	1/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	1/2	1/2	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
14	14	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
15	15	3/8	3/8	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	1/2	1/2	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
15	15	5/8	5/8	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	3/4	3/4	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
15	15	7/8	7/8	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
16	16	1/8	1/8	4/4	2	1	I.ii43	Eb	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
16	16	3/8	3/8	4/4	2	1	ii%43	Eb	I		ii%43		ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
