key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
g minor	[0.387, 0.0, 0.64, 0.36, 0.011, 0.011, 0.247, 1.0, 0.022, 0.398, 0.538, 0.0]	0.0	24.5	24.5	0	13	13
f minor	[1.0, 0.312, 0.0, 0.0, 0.459, 0.575, 0.066, 0.344, 0.378, 0.0, 0.442, 0.0]	24.5	32.0	1.0	13	16	3
g minor	[0.091, 0.0, 1.0, 0.033, 0.0, 0.0, 0.1, 0.659, 0.0, 0.224, 0.343, 0.0]	32.0	42.0	0.5	16	21	5
G major	[0.177, 0.032, 0.758, 0.0, 0.097, 0.0, 0.129, 1.0, 0.0, 0.21, 0.0, 0.468]	42.0	53.5	0.5	21	27	6
e minor	[0.261, 0.0, 0.13, 0.196, 0.304, 0.0, 0.304, 0.217, 0.0, 0.13, 0.043, 1.0]	53.5	72.5	1.0	27	37	10
g minor	[0.409, 0.121, 0.871, 0.493, 0.0, 0.0, 0.364, 1.0, 0.03, 0.455, 0.712, 0.0]	72.5	94.5	2.0	37	48	11
f minor	[1.0, 0.312, 0.0, 0.0, 0.656, 0.608, 0.164, 0.344, 0.378, 0.0, 0.442, 0.0]	94.5	102.0	1.0	48	51	3
g minor	[0.101, 0.125, 1.0, 0.047, 0.125, 0.0, 0.094, 0.961, 0.0, 0.304, 0.603, 0.0]	102.0	116.5	0.5	51	59	8
A- major	[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]	116.5	118.5	2.0	59	60	1
f minor	[0.0, 0.6, 0.0, 0.0, 0.4, 0.4, 0.0, 0.4, 0.0, 0.0, 1.0, 0.0]	118.5	124.5	2.0	60	63	3
g minor	[0.179, 0.377, 0.491, 0.094, 0.226, 0.075, 0.094, 1.0, 0.179, 0.151, 0.057, 0.075]	124.5	144.5	2.0	63	73	10
A- major	[0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.875, 0.0]	144.5	148.5	2.0	73	75	2
g minor	[0.25, 0.043, 0.739, 0.152, 0.043, 0.043, 0.152, 1.0, 0.054, 0.174, 0.543, 0.043]	148.5	166.5	1.0	75	83	8
