key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
D major	[0.008, 0.043, 0.263, 0.001, 0.118, 0.022, 0.152, 0.043, 0.025, 0.236, 0.048, 0.04]	0.0	113.5	113.5	1	19	18
G major	[0.114, 0.0, 0.421, 0.0, 0.059, 0.004, 0.02, 0.087, 0.02, 0.106, 0.008, 0.161]	113.5	150.0	0.5	19	26	7
D major	[0.0, 0.115, 0.245, 0.0, 0.164, 0.003, 0.097, 0.091, 0.012, 0.176, 0.073, 0.024]	150.0	210.0	3.0	26	36	10
d minor	[0.0, 0.0, 0.283, 0.017, 0.0, 0.333, 0.0, 0.083, 0.05, 0.117, 0.117, 0.0]	210.0	222.0	3.0	36	38	2
D major	[0.0, 0.048, 0.294, 0.0, 0.064, 0.0, 0.15, 0.064, 0.0, 0.316, 0.0, 0.064]	222.0	240.0	4.5	38	41	3
B- major	[0.033, 0.0, 0.28, 0.027, 0.0, 0.44, 0.0, 0.0, 0.0, 0.1, 0.12, 0.0]	240.0	250.5	3.0	41	42	1
D major	[0.0, 0.051, 0.312, 0.0, 0.056, 0.016, 0.165, 0.028, 0.016, 0.321, 0.002, 0.033]	250.5	294.0	1.5	42	49	7
