mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	2/2	4	1		E.I	E	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
5	4	0	0	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
8	7	0	0	2/2	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	1/2	1/2	2/2	4	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
9	8	0	0	2/2	4	1		V/vi	E	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
11	10	0	0	2/2	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	11	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
13	12	0	0	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	14	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
16	15	0	0	2/2	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	15	1/2	1/2	2/2	4	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
17	16	0	0	2/2	4	1		V/vi	E	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
21	20	0	0	2/2	4	1		vi64	E	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
22	21	0	0	2/2	4	1		IV6	E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
23	22	0	0	2/2	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
24	23	0	0	2/2	4	1		V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
29	28	0	0	2/2	4	1		i6	E	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
33	32	0	0	2/2	4	1		iii.i	E	iii		i	i							m	0	1	0, -3, 1		0	0
38	37	0	0	2/2	4	1		i64	E	iii		i64	i		64					m	0	1	1, 0, -3		0	1
39	38	0	0	2/2	4	1		i6	E	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
40	39	0	0	2/2	4	1		i	E	iii		i	i							m	0	1	0, -3, 1		0	0
42	41	1/2	1/2	2/2	4	1		i6	E	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
43	42	0	0	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
43	42	1/4	1/4	2/2	4	1		i	E	iii		i	i							m	0	1	0, -3, 1		0	0
43	42	1/2	1/2	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
43	42	3/4	3/4	2/2	4	1		V(64)	E	iii		V(64)	V			64				M	0	1	1, 0, -3		1	1
44	43	0	0	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
44	43	1/4	1/4	2/2	4	1		V(64)	E	iii		V(64)	V			64				M	0	1	1, 0, -3		1	1
44	43	1/2	1/2	2/2	4	1		V7	E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
45	44	0	0	2/2	4	1		I.I	E	I		I	I							M	0	0	0, 4, 1		0	0
46	45	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
47	46	0	0	2/2	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	48	0	0	2/2	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
50	49	0	0	2/2	4	1		IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
50	49	1/2	1/2	2/2	4	1		V65/V	E	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
51	50	0	0	2/2	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
51	50	1/2	1/2	2/2	4	1		V/V	E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
