mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	11/16	3/4	2	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	3/4	2	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	1	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	2	1/4	1/4	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	3	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	3	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	3	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	3/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
5	4	1/4	1/4	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
6	5	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	5	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
6	5	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	3/4	2	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
7	6	1/3	1/3	3/4	2	1	{	F	I									{		0	0				
8	7	0	0	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
9	8	0	0	3/4	2	1	I(94)	F	I		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
9	8	1/4	1/4	3/4	2	1	V2/IV	F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
9	8	1/2	1/2	3/4	2	1	viio/IV	F	I		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
10	9	0	0	3/4	2	1	IV(9)	F	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
10	9	1/4	1/4	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	9	1/2	1/2	3/4	2	1	V65/V	F	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
11	10	0	0	3/4	2	1	V}	F	I		V	V						}	M	0	0	1, 5, 2		1	1
12	11	0	0	3/4	2	1	V.V43{	F	V		V43	V		43				{	Mm7	0	0	2, -1, 1, 5		1	2
13	12	0	0	3/4	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	0	0	3/4	2	1	V65	F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	14	0	0	3/4	2	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
16	15	0	0	3/4	2	1	V65/V	F	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
16	15	1/4	1/4	3/4	2	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
16	15	1/2	1/2	3/4	2	1	V2	F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	16	0	0	3/4	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
17	16	1/6	1/6	3/4	2	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	16	1/4	1/4	3/4	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	16	1/2	1/2	3/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	17	0	0	3/4	2	1	I6}	F	V		I6	I		6				}	M	0	0	4, 1, 0		0	4
19	18	0	0	3/4	2	1	viio7/V{	F	V		viio7/V	vii	o	7		V		{	o7	0	0	6, 3, 0, -3		6	6
19	18	1/4	1/4	3/4	2	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
19	18	1/2	1/2	3/4	2	1	vii%7	F	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
20	19	0	0	3/4	2	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
20	19	1/4	1/4	3/4	2	1	#viio7/vi	F	V		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
20	19	1/2	1/2	3/4	2	1	vi	F	V		vi	vi							m	0	0	3, 0, 4		3	3
21	20	0	0	3/4	2	1	ii6	F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
21	20	1/4	1/4	3/4	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
21	20	1/2	1/2	3/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	21	0	0	3/4	2	1	I}{	F	V		I	I						}{	M	0	0	0, 4, 1		0	0
22	21	1/4	1/4	3/4	2	1	viio6	F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
22	21	1/2	1/2	3/4	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
23	22	0	0	3/4	2	1	ii65	F	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
24	23	0	0	3/4	2	1	viio7/V	F	V		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
25	24	0	0	3/4	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
26	25	0	0	3/4	2	1	viio/V	F	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
26	25	1/4	1/4	3/4	2	1	V(4)	F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
26	25	1/2	1/2	3/4	2	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
27	26	0	0	3/4	2	1	I}{	F	V		I	I						}{	M	0	0	0, 4, 1		0	0
27	26	1/2	1/2	3/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	27	0	0	3/4	2	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
28	27	1/2	1/2	3/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	28	0	0	3/4	2	1	I(974)}	F	V		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
29	28	1/2	1/2	3/4	2	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
30	28	0	11/16	3/4	2	1	{	F	V									{		0	0				
32	30	0	0	3/4	2	1	V6	F	V		V6	V		6					M	0	0	5, 2, 1		1	5
33	31	0	0	3/4	2	1	vi.iv6	F	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
34	32	0	0	3/4	2	1	V(64)	F	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
34	32	1/4	1/4	3/4	2	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
35	33	0	0	3/4	2	1	#viio43	F	vi		#viio43	#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
35	33	1/4	1/4	3/4	2	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
35	33	1/2	1/2	3/4	2	1	i	F	vi		i	i							m	0	1	0, -3, 1		0	0
36	34	0	0	3/4	2	1	iio6	F	vi		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
36	34	1/4	1/4	3/4	2	1	V(64)	F	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
36	34	1/2	1/2	3/4	2	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
37	35	0	0	3/4	2	1	#viio64	F	vi		#viio64	#vii	o	64					o	0	1	-1, 5, 2		5	-1
37	35	1/4	1/4	3/4	2	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
37	35	1/2	1/2	3/4	2	1	i	F	vi		i	i							m	0	1	0, -3, 1		0	0
38	36	0	0	3/4	2	1	iio6	F	vi		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
38	36	1/4	1/4	3/4	2	1	V(64)	F	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
38	36	1/2	1/2	3/4	2	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
39	37	0	0	3/4	2	1	I.#viio65/ii	F	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
40	38	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
42	40	0	0	3/4	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
43	41	0	0	3/4	2	1	V(64)}	F	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
43	41	1/4	1/4	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
45	43	0	0	3/4	2	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
45	43	1/4	1/4	3/4	2	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
45	43	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
46	44	0	0	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
46	44	1/4	1/4	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	44	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
47	45	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
47	45	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
47	45	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	46	0	0	3/4	2	1	viio2	F	I		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
48	46	1/4	1/4	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	46	1/2	1/2	3/4	2	1	viio2	F	I		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
49	47	0	0	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	47	1/4	1/4	3/4	2	1	#viio7/vi	F	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
49	47	1/2	1/2	3/4	2	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
50	48	0	0	3/4	2	1	V65/V	F	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
51	49	0	0	3/4	2	1	viio6/V	F	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
52	50	0	0	3/4	2	1	V}	F	I		V	V						}	M	0	0	1, 5, 2		1	1
53	51	0	0	3/4	2	1	V43{	F	I		V43	V		43				{	Mm7	0	0	2, -1, 1, 5		1	2
54	52	0	0	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
55	53	0	0	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
56	54	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
57	55	0	0	3/4	2	1	V65/V	F	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
57	55	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
57	55	1/2	1/2	3/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
58	56	0	0	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
58	56	1/6	1/6	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
58	56	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
58	56	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
59	57	0	0	3/4	2	1	I6}	F	I		I6	I		6				}	M	0	0	4, 1, 0		0	4
60	58	0	0	3/4	2	1	viio7/V{	F	I		viio7/V	vii	o	7		V		{	o7	0	0	6, 3, 0, -3		6	6
60	58	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
60	58	1/2	1/2	3/4	2	1	vii%7	F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
61	59	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
61	59	1/4	1/4	3/4	2	1	#viio7/vi	F	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
61	59	1/2	1/2	3/4	2	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
62	60	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
62	60	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
62	60	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
63	61	0	0	3/4	2	1	I}{	F	I		I	I						}{	M	0	0	0, 4, 1		0	0
63	61	1/4	1/4	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
63	61	1/2	1/2	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
64	62	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
64	62	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
64	62	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
65	63	0	0	3/4	2	1	I}{	F	I		I	I						}{	M	0	0	0, 4, 1		0	0
65	63	1/4	1/4	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
65	63	1/2	1/2	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
66	64	0	0	3/4	2	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
67	65	0	0	3/4	2	1	viio7/V	F	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
68	66	0	0	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
69	67	0	0	3/4	2	1	V65/V	F	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
69	67	1/4	1/4	3/4	2	1	V(4)	F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
69	67	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
70	68	0	0	3/4	2	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
70	68	1/3	1/3	3/4	2	1	{	F	I									{		0	0				
71	69	0	0	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
71	69	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
72	70	0	0	3/4	2	1	I(94)	F	I		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
72	70	1/4	1/4	3/4	2	1	V2/IV	F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
72	70	1/2	1/2	3/4	2	1	viio/IV	F	I		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
73	71	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
73	71	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
73	71	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
74	72	0	0	3/4	2	1	I}{	F	I		I	I						}{	M	0	0	0, 4, 1		0	0
74	72	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
75	73	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
75	73	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
76	74	0	0	3/4	2	1	I(974)}	F	I		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
76	74	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
