key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c minor	[0.228, 0.018, 0.059, 0.141, 0.011, 0.099, 0.0, 0.244, 0.103, 0.0, 0.033, 0.063]	0.0	23.0	23.0	1	12	11
E- major	[0.053, 0.0, 0.13, 0.205, 0.0, 0.041, 0.034, 0.178, 0.082, 0.0, 0.26, 0.017]	23.0	34.5	11.5	12	18	6
c minor	[0.281, 0.0, 0.0, 0.0, 0.22, 0.219, 0.0, 0.073, 0.072, 0.0, 0.0, 0.134]	34.5	37.5	3.0	18	19	1
F major	[0.257, 0.042, 0.062, 0.0, 0.208, 0.209, 0.0, 0.042, 0.068, 0.098, 0.014, 0.0]	37.5	43.0	5.5	19	22	3
G major	[0.0, 0.051, 0.571, 0.102, 0.0, 0.0, 0.173, 0.033, 0.0, 0.069, 0.0, 0.0]	43.0	45.0	2.0	22	23	1
c minor	[0.172, 0.0, 0.097, 0.149, 0.007, 0.127, 0.0, 0.246, 0.097, 0.0, 0.022, 0.082]	45.0	55.5	10.5	23	28	5
f minor	[0.548, 0.032, 0.0, 0.0, 0.052, 0.053, 0.0, 0.126, 0.158, 0.0, 0.032, 0.0]	55.5	60.5	5.0	28	31	3
c minor	[0.218, 0.0, 0.172, 0.126, 0.0, 0.08, 0.0, 0.287, 0.034, 0.0, 0.0, 0.08]	60.5	64.0	3.5	31	33	2
f minor	[0.434, 0.084, 0.0, 0.0, 0.133, 0.042, 0.0, 0.124, 0.125, 0.0, 0.059, 0.0]	64.0	70.5	6.5	33	36	3
c minor	[0.385, 0.02, 0.048, 0.13, 0.004, 0.056, 0.016, 0.195, 0.052, 0.016, 0.012, 0.068]	70.5	86.0	15.5	36	43	7
