COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	38	III+43	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	9	III+	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	13	III+6	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	17	III+6	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	14	2	III+	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	10	III+7	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	30	III+6	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	4	III+6	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	21	III+65	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	8	III+7	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	10	III+	F# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	14	III+	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	43	i65[#7]	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	7	III+6	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	8	III+7	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	9	III+6	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	12	III+7	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	13	i4#3	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	20	bIII+	E major
