COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	The Well-Tempered Clavier I	1	14	viio64b3	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	1	23	viio42	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	14	IV42	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	41	I	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	6	v5	Ab major
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	12	I	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	14	IV6	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	22	I	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	13	10	iiø7[no5]	D# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	14	10	ii	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	14	13	ii7	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	14	24	I	F# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	10	ii7	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	19	I	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	18	29	I	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	1	v6	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	4	v	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	9	v	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	11	ii7	F# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	13	ii7	F# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	18	v	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	30	ii43	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	37	I	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	38	I	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	20	26	I	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	20	28	I	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	7	viio65	F major
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	14	i	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	23	I	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	24	I	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	19	i6	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	19	i	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	28	ii6	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	29	viio7	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	30	viio65	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	30	viio65	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	44	IV6	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	47	I	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	18	ii7	D# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	24	ii43	D# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	26	ii42	A# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	73	I	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	76	ii42	D# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	80	ii42[no5]	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	89	I64	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	90	I64	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	93	I64	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	94	I64	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	101	I64	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	103	I64	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	104	I	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	11	ii	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	13	I64	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	16	v	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	35	ii7	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	39	I	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	6	ii6	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	6	ii65	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	10	ii	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	10	ii7	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	15	i6	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	18	ii7	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	32	I64	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	35	I	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	7	IV7	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	9	IV7	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	10	IV42	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	11	IV42	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	13	IV7	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	26	I	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	10	i	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	35	IV	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	45	IV7	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	56	viio42	Ab major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	69	viio42	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	8	9	viiø7	Eb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	8	30	I6	Eb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	8	40	I	Eb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	5	v7	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	6	i6	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	7	iv6b5	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	18	iv5	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	20	i6	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	21	bVI	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	21	iv6b5	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	23	viio4b3	E major
