COMPOSER	COLLECTION	MOVEMENT	MEASURE (START)	FIGURE(S)	KEY
Bach, Johann Sebastian	The Well-Tempered Clavier I	1	20	V7/IV	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	1	22	viio7/v	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	1	28	viio42/v	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	1	32	V7/IV	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	10	V42/V	G major
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	10	viio63/vi	G major
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	18	V42/iv	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	18	viio65/v	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	20	viio7/v	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	27	viio64/IV	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	27	viio63/v	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	31	viio65/v	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	32	viio7/v	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	10	34	viio65/ii	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	1	V7/IV	F major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	3	V65/IV	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	4	V7/ii	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	4	v65/v	C major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	9	V65/IV	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	10	V65/iv	G major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	12	viio63/vi	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	12	V7/vi	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	12	v7/ii	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	13	V7/V	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	11	16	V9/IV	F major
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	14	iv7/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	14	viio43/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	15	V42/iv	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	15	viio63/iv	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	18	viio43/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	19	viio43/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	20	viio43/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	21	viio7/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	12	21	V42/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	13	21	viio/V	F# major
Bach, Johann Sebastian	The Well-Tempered Clavier I	14	10	viio/iv	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	15	11	V7/IV	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	15	16	V7/IV	G major
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	4	viio7/v	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	4	V65/v	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	15	viio6/v	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	15	viio/iv	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	17	It64/iv	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	17	viio7/v	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	18	V7/iv	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	16	18	V7/iv	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	17	15	vi43/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	17	24	V7/IV	Ab major
Bach, Johann Sebastian	The Well-Tempered Clavier I	17	25	V7/IV	Ab major
Bach, Johann Sebastian	The Well-Tempered Clavier I	18	27	V7/IV	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	2	V7/IV	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	5	V7/IV	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	10	V7/IV	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	19	V7/IV	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	20	viio/IV	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	19	21	V65/IV	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	6	V42/v	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	8	V42/iv	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	15	V42/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	20	viio65/v	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	22	viio43/v	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	27	viio65/v	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	29	viio65/v	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	34	V7/iv	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	36	viio7/iv	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	36	viio/iv	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	2	37	V7/iv	C minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	20	26	V7/IV	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	20	26	V9/IV	A minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	6	V65/II	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	6	V65/iii	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	7	V65/IV	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	8	V43/IV	F major
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	10	viio7/V	Eb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	15	V7/IV	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	15	V65/V	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	17	viio7/V	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	21	18	V7/IV	Bb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	16	V6/IV	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	16	V65/IV	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	20	viio42/v	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	23	V7/iv	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	22	24	V7/iv	Bb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	4	V7/IV	F# major
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	13	V7/IV	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	15	V7/IV	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	15	V7/IV	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	23	16	viio65/v	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	12	viiø7/III	F# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	32	V43/V	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	33	V9/vi	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	35	V65/vi	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	38	viio/iv	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	39	v42/iv	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	42	V64/iv	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	43	ii65/iv	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	44	V64/iv	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	45	viio7/v	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	45	viio65/iv	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	24	46	V7[no5]/iv	B minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	32	V7/V	A# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	36	V43/V	D# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	40	V7/V	G# major
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	95	viio43/v	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	96	viio43/v	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	98	viio43/v	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	3	102	viio43/v	C# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	11	bviio6/vii	G# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	4	21	V7[no5]/V	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	9	viio7/ii	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	9	V7/ii	E minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	11	viio7/ii	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	13	viiø7/V	G major
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	25	V65/IV	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	26	viio43/v	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	28	viiø65/v	D major
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	30	viio7/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	31	viio7/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	31	V6/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	33	viio43/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	5	34	viio43/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	14	V65/VI	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	14	iii6/VI	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	16	viio7/v	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	18	V42/v	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	19	viio65/v	G minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	21	viio7/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	22	viio65/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	22	viio65/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	24	viio7/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	24	viio7/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	25	viio7/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	6	25	viio65/v	D minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	1	V7/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	12	V7/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	16	V42/ii	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	16	V7/vi	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	19	V42/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	22	V42/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	24	viio6/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	25	V42/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	29	viio6/v	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	29	V6/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	30	V/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	31	V42/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	32	V42/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	33	V/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	43	V64/V	Ab major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	45	viio43/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	45	viio6/v	F minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	51	V65/ii	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	51	V42/V	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	57	V65/IV	Ab major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	59	V7/V	Ab major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	62	V65/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	63	V7/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	66	viio65/v	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	68	V7/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	7	68	V7/IV	Eb major
Bach, Johann Sebastian	The Well-Tempered Clavier I	8	28	viio/v	Eb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	8	37	V7/iv	Eb minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	8	viio[no3]/V	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	8	V42/IV	B major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	10	viio63/V	F# minor
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	13	V7/V	A major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	22	viio7/v	E major
Bach, Johann Sebastian	The Well-Tempered Clavier I	9	23	V65/IV	E major
