key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
e minor	[0.12, 0.0, 0.04, 0.16, 0.72, 0.0, 0.32, 0.56, 0.0, 0.08, 0.0, 1.0]	0.0	16.0	16.0	1	9	8
d# minor	[0.0, 0.0, 0.044, 0.511, 0.0, 0.044, 0.356, 0.0, 0.089, 0.0, 1.0, 0.089]	16.0	24.0	2.0	9	13	4
e minor	[0.01, 0.0, 0.0, 0.172, 0.516, 0.0, 0.344, 0.408, 0.0, 0.086, 0.0, 1.0]	24.0	34.0	0.5	13	18	5
d# minor	[0.0, 0.0, 0.045, 0.591, 0.0, 0.045, 0.364, 0.0, 0.091, 0.0, 1.0, 0.091]	34.0	42.0	2.0	18	22	4
E major	[0.05, 0.225, 0.0, 0.25, 0.6, 0.05, 0.45, 0.0, 0.725, 0.35, 0.05, 1.0]	42.0	53.0	0.5	22	27	5
A major	[0.0, 1.0, 0.7, 0.0, 0.7, 0.2, 0.8, 0.0, 0.4, 0.4, 0.0, 0.4]	53.0	56.0	0.5	27	29	2
E major	[0.055, 0.48, 0.0, 0.25, 0.694, 0.056, 0.609, 0.109, 0.714, 0.402, 0.138, 1.0]	56.0	69.0	1.0	29	35	6
A major	[0.0, 1.0, 0.702, 0.0, 0.897, 0.202, 0.81, 0.0, 0.401, 0.401, 0.0, 0.401]	69.0	72.0	0.5	35	37	2
E major	[0.073, 0.184, 0.0, 0.443, 0.221, 0.0, 0.333, 0.222, 0.037, 0.478, 0.075, 1.0]	72.0	80.0	1.0	37	41	4
e minor	[0.057, 0.0, 0.0, 0.229, 0.543, 0.0, 0.286, 0.4, 0.0, 0.057, 0.0, 1.0]	80.0	88.0	2.0	41	45	4
d# minor	[0.0, 0.0, 0.089, 0.973, 0.089, 0.134, 0.554, 0.0, 0.268, 0.0, 1.0, 0.089]	88.0	93.5	2.0	45	47	2
g# minor	[0.0, 0.164, 0.0, 1.0, 0.109, 0.0, 0.0, 0.111, 0.332, 0.0, 0.5, 0.527]	93.5	102.0	0.5	47	52	5
e minor	[0.192, 0.0, 0.0, 0.276, 0.489, 0.0, 0.249, 0.348, 0.0, 0.22, 0.0, 1.0]	102.0	110.0	1.0	52	56	4
G major	[0.048, 0.0, 1.0, 0.0, 0.19, 0.0, 0.095, 0.429, 0.0, 0.238, 0.0, 0.333]	110.0	114.0	2.0	56	58	2
f# minor	[0.0, 1.0, 0.113, 0.0, 0.0, 0.057, 0.478, 0.0, 0.057, 0.408, 0.0, 0.17]	114.0	120.0	2.0	58	61	3
e minor	[0.118, 0.0, 0.038, 0.409, 0.233, 0.0, 0.291, 0.195, 0.0, 0.252, 0.0, 1.0]	120.0	126.0	2.0	61	64	3
g minor	[0.184, 0.0, 1.0, 0.061, 0.0, 0.0, 0.245, 0.5, 0.0, 0.245, 0.311, 0.0]	126.0	130.0	2.0	64	66	2
e minor	[0.335, 0.0, 0.0, 0.276, 1.0, 0.0, 0.325, 0.595, 0.0, 0.241, 0.0, 0.992]	130.0	148.0	1.0	66	74	8
