mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	Bb.I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	2	1	V6(#14)	Bb	I		V6(#14)	V		6	#14				M	0	0	5, 2, 1	6	1	5
1	1	11/16	11/16	4/4	2	1	V6	Bb	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	0	0	4/4	2	1	IV6	Bb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
2	2	1/4	1/4	4/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	2	1/2	1/2	4/4	2	1	I6(14)	Bb	I		I6(14)	I		6	14				M	0	0	4, 1, 0	5	0	4
2	2	11/16	11/16	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	4/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	1/8	1/8	4/4	2	1	ii6(#7)	Bb	I		ii6(#7)	ii		6	#7				m	0	0	-1, 3, 7		2	-1
3	3	1/4	1/4	4/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
3	3	1/2	1/2	4/4	2	1	iii	Bb	I		iii	iii							m	0	0	4, 1, 5		4	4
3	3	3/4	3/4	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	0	0	4/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	1/4	1/4	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
4	4	1/2	1/2	4/4	2	1	V(64)}	Bb	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
4	4	3/4	3/4	4/4	2	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
5	5	0	0	4/4	2	1	i{	Bb	I		i	i						{	m	0	0	0, -3, 1		0	0
5	5	1/2	1/2	4/4	2	1	v6(#14)	Bb	I		v6(#14)	v		6	#14				m	0	0	-2, 2, 1	6	1	-2
5	5	11/16	11/16	4/4	2	1	v6	Bb	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
6	6	0	0	4/4	2	1	iv6	Bb	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
6	6	1/4	1/4	4/4	2	1	iv	Bb	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
6	6	1/2	1/2	4/4	2	1	I6(7)	Bb	I		I6(7)	I		6	7				M	0	0	4, 1, 5		0	4
6	6	11/16	11/16	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	3/4	3/4	4/4	2	1	i6	Bb	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
7	7	0	0	4/4	2	1	V.V7(b9)	Bb	V		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
7	7	5/16	5/16	4/4	2	1	V7/V	Bb	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	7	1/2	1/2	4/4	2	1	bVI(4)	Bb	V		bVI(4)	bVI			4				M	0	0	-4, 2, -3		-4	-4
7	7	5/8	5/8	4/4	2	1	bVI	Bb	V		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
7	7	3/4	3/4	4/4	2	1	ii%65	Bb	V		ii%65	ii	%	65					%7	0	0	-1, -4, 0, 2		2	-1
8	8	0	0	4/4	2	1	V(b64)	Bb	V		V(b64)	V			b64				M	0	0	1, 0, -3		1	1
8	8	1/4	1/4	4/4	2	1	V7(4)	Bb	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
8	8	3/8	3/8	4/4	2	1	V7	Bb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	1/2	1/2	4/4	2	1	I}	Bb	V		I	I						}	M	0	0	0, 4, 1		0	0
8	8	3/4	3/4	4/4	2	1	{	Bb	V									{		0	0				
9	9	0	0	4/4	2	1	V65	Bb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	9	1/2	1/2	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
10	10	0	0	4/4	2	1	V65	Bb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	1/2	1/2	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
11	11	0	0	4/4	2	1	vi	Bb	V		vi	vi							m	0	0	3, 0, 4		3	3
11	11	1/4	1/4	4/4	2	1	IV	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	1/2	1/2	4/4	2	1	V7/ii	Bb	V		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
11	11	3/4	3/4	4/4	2	1	ii	Bb	V		ii	ii							m	0	0	2, -1, 3		2	2
11	11	7/8	7/8	4/4	2	1	V64	Bb	V		V64	V		64					M	0	0	2, 1, 5		1	2
12	12	0	0	4/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	1/8	1/8	4/4	2	1	ii6	Bb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	12	1/4	1/4	4/4	2	1	V(64)	Bb	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
12	12	3/8	3/8	4/4	2	1	V7	Bb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	1/2	1/2	4/4	2	1	I(974)}	Bb	V		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
12	12	5/8	5/8	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
12	12	3/4	3/4	4/4	2	1	{	Bb	V									{		0	0				
13	13	0	0	4/4	2	1	V65	Bb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
13	13	1/2	1/2	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
14	14	0	0	4/4	2	1	V65	Bb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	14	1/2	1/2	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
15	15	0	0	4/4	2	1	vi	Bb	V		vi	vi							m	0	0	3, 0, 4		3	3
15	15	1/4	1/4	4/4	2	1	IV	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	15	1/2	1/2	4/4	2	1	V7/ii	Bb	V		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
15	15	3/4	3/4	4/4	2	1	ii	Bb	V		ii	ii							m	0	0	2, -1, 3		2	2
15	15	7/8	7/8	4/4	2	1	V64	Bb	V		V64	V		64					M	0	0	2, 1, 5		1	2
16	16	0	0	4/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	1/8	1/8	4/4	2	1	ii6	Bb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	16	1/4	1/4	4/4	2	1	V(64)	Bb	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
16	16	3/8	3/8	4/4	2	1	V	Bb	V		V	V							M	0	0	1, 5, 2		1	1
16	16	1/2	1/2	4/4	2	1	I}{	Bb	V		I	I						}{	M	0	0	0, 4, 1		0	0
16	16	11/16	11/16	4/4	2	1	vi	Bb	V		vi	vi							m	0	0	3, 0, 4		3	3
16	16	3/4	3/4	4/4	2	1	viio6	Bb	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
17	17	0	0	4/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	3/8	3/8	4/4	2	1	V65/IV	Bb	V		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
17	17	1/2	1/2	4/4	2	1	IV	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	17	3/4	3/4	4/4	2	1	ii6	Bb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
18	18	0	0	4/4	2	1	V(64)	Bb	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
18	18	1/2	1/2	4/4	2	1	V7	Bb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	2	1	I[I}{	Bb	V	I	I	I						}{	M	0	0	0, 4, 1		0	0
19	19	3/16	3/16	4/4	2	1	V7/IV	Bb	V	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
19	19	1/4	1/4	4/4	2	1	IV6	Bb	V	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
19	19	3/8	3/8	4/4	2	1	ii6	Bb	V	I	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
19	19	1/2	1/2	4/4	2	1	I6	Bb	V	I	I6	I		6					M	0	0	4, 1, 0		0	4
19	19	11/16	11/16	4/4	2	1	V7/IV	Bb	V	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
19	19	3/4	3/4	4/4	2	1	IV6	Bb	V	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
19	19	7/8	7/8	4/4	2	1	ii6	Bb	V	I	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
20	20	0	0	4/4	2	1	I6]	Bb	V	I	I6	I		6					M	0	0	4, 1, 0		0	4
20	20	1/4	1/4	4/4	2	1	I.V7}	Bb	I		V7	V		7				}	Mm7	0	0	1, 5, 2, -1		1	1
21	21	0	0	4/4	2	1	I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
21	21	1/2	1/2	4/4	2	1	V6(#14)	Bb	I		V6(#14)	V		6	#14				M	0	0	5, 2, 1	6	1	5
21	21	11/16	11/16	4/4	2	1	V6	Bb	I		V6	V		6					M	0	0	5, 2, 1		1	5
22	22	0	0	4/4	2	1	IV6	Bb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
22	22	1/4	1/4	4/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
22	22	1/2	1/2	4/4	2	1	I6(14)	Bb	I		I6(14)	I		6	14				M	0	0	4, 1, 0	5	0	4
22	22	11/16	11/16	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
23	23	0	0	4/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	23	1/8	1/8	4/4	2	1	ii6(#7)	Bb	I		ii6(#7)	ii		6	#7				m	0	0	-1, 3, 7		2	-1
23	23	1/4	1/4	4/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
23	23	1/2	1/2	4/4	2	1	iii	Bb	I		iii	iii							m	0	0	4, 1, 5		4	4
23	23	3/4	3/4	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
24	24	0	0	4/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	24	1/4	1/4	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
24	24	1/2	1/2	4/4	2	1	V(64)}	Bb	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
24	24	3/4	3/4	4/4	2	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
25	25	0	0	4/4	2	1	i{	Bb	I		i	i						{	m	0	0	0, -3, 1		0	0
25	25	1/2	1/2	4/4	2	1	v6(#14)	Bb	I		v6(#14)	v		6	#14				m	0	0	-2, 2, 1	6	1	-2
25	25	11/16	11/16	4/4	2	1	v6	Bb	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
26	26	0	0	4/4	2	1	iv6	Bb	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
26	26	1/4	1/4	4/4	2	1	iv	Bb	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
26	26	1/2	1/2	4/4	2	1	I6(14)	Bb	I		I6(14)	I		6	14				M	0	0	4, 1, 0	5	0	4
26	26	11/16	11/16	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
26	26	3/4	3/4	4/4	2	1	i6	Bb	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
27	27	0	0	4/4	2	1	V.V7(b9)	Bb	V		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
27	27	1/4	1/4	4/4	2	1	V7	Bb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
27	27	1/2	1/2	4/4	2	1	bVI(4)	Bb	V		bVI(4)	bVI			4				M	0	0	-4, 2, -3		-4	-4
27	27	5/8	5/8	4/4	2	1	bVI	Bb	V		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
27	27	3/4	3/4	4/4	2	1	ii%65	Bb	V		ii%65	ii	%	65					%7	0	0	-1, -4, 0, 2		2	-1
28	28	0	0	4/4	2	1	V(b64)	Bb	V		V(b64)	V			b64				M	0	0	1, 0, -3		1	1
28	28	1/4	1/4	4/4	2	1	V7(4)	Bb	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
28	28	3/8	3/8	4/4	2	1	V7	Bb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	1/2	1/2	4/4	2	1	I}	Bb	V		I	I						}	M	0	0	0, 4, 1		0	0
28	28	3/4	3/4	4/4	2	1	I.I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
29	29	0	0	4/4	2	1	V65/IV	Bb	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
29	29	1/2	1/2	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
30	30	0	0	4/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
30	30	1/2	1/2	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
31	31	0	0	4/4	2	1	vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
31	31	1/4	1/4	4/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
31	31	1/2	1/2	4/4	2	1	V7/ii	Bb	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
31	31	3/4	3/4	4/4	2	1	ii	Bb	I		ii	ii							m	0	0	2, -1, 3		2	2
31	31	7/8	7/8	4/4	2	1	V64	Bb	I		V64	V		64					M	0	0	2, 1, 5		1	2
32	32	0	0	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
32	32	1/8	1/8	4/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
32	32	1/4	1/4	4/4	2	1	V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
32	32	3/8	3/8	4/4	2	1	V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	1/2	1/2	4/4	2	1	I(974)}	Bb	I		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
32	32	5/8	5/8	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
32	32	3/4	3/4	4/4	2	1	{	Bb	I									{		0	0				
33	33	0	0	4/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
33	33	1/2	1/2	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
34	34	0	0	4/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
34	34	1/2	1/2	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
35	35	0	0	4/4	2	1	vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
35	35	1/4	1/4	4/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
35	35	1/2	1/2	4/4	2	1	V7/ii	Bb	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
35	35	3/4	3/4	4/4	2	1	ii	Bb	I		ii	ii							m	0	0	2, -1, 3		2	2
35	35	7/8	7/8	4/4	2	1	V64	Bb	I		V64	V		64					M	0	0	2, 1, 5		1	2
36	36	0	0	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
36	36	1/8	1/8	4/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
36	36	1/4	1/4	4/4	2	1	V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
36	36	3/8	3/8	4/4	2	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
36	36	1/2	1/2	4/4	2	1	I}{	Bb	I		I	I						}{	M	0	0	0, 4, 1		0	0
36	36	11/16	11/16	4/4	2	1	vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
36	36	3/4	3/4	4/4	2	1	viio6	Bb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
37	37	0	0	4/4	2	1	I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
37	37	3/8	3/8	4/4	2	1	V65/IV	Bb	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
37	37	1/2	1/2	4/4	2	1	IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
37	37	3/4	3/4	4/4	2	1	ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
38	38	0	0	4/4	2	1	V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
38	38	1/2	1/2	4/4	2	1	V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	0	0	4/4	2	1	I[I}{	Bb	I	I	I	I						}{	M	0	0	0, 4, 1		0	0
39	39	3/16	3/16	4/4	2	1	V7/IV	Bb	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
39	39	1/4	1/4	4/4	2	1	IV6	Bb	I	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
39	39	3/8	3/8	4/4	2	1	ii6	Bb	I	I	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
39	39	1/2	1/2	4/4	2	1	I6	Bb	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
39	39	5/8	5/8	4/4	2	1	V+7/IV	Bb	I	I	V+7/IV	V	+	7		IV			+7	0	0	0, 4, 8, -2		0	0
39	39	3/4	3/4	4/4	2	1	IV6	Bb	I	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
39	39	7/8	7/8	4/4	2	1	ii6	Bb	I	I	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
40	40	0	0	4/4	2	1	I6	Bb	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
40	40	1/8	1/8	4/4	2	1	vii%65	Bb	I	I	vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
40	40	1/4	1/4	4/4	2	1	I6	Bb	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
40	40	3/8	3/8	4/4	2	1	vii%65	Bb	I	I	vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
40	40	1/2	1/2	4/4	2	1	I(974)}	Bb	I	I	I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
40	40	3/4	3/4	4/4	2	1	I]	Bb	I	I	I	I							M	0	0	0, 4, 1		0	0
