mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	2/4	4	1		Eb.I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
2	1	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
3	2	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
4	3	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
5	4	0	0	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
5	4	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
6	5	0	0	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
6	5	1/4	1/4	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
7	6	1/4	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
7	6	7/16	7/16	2/4	4	1		#viio6/vi		Eb	I		#viio6/vi		#vii	o	6		vi				o	0	0	5, 2, 8		8	5
8	7	0	0	2/4	4	1		vi.i		Eb	vi		i		i								m	0	1	0, -3, 1		0	0
8	7	1/8	1/8	2/4	4	1		v6		Eb	vi		v6		v		6						m	0	1	-2, 2, 1		1	-2
8	7	1/4	1/4	2/4	4	1		VI		Eb	vi		VI		VI								M	0	1	-4, 0, -3		-4	-4
8	7	3/8	3/8	2/4	4	1		iv6		Eb	vi		iv6		iv		6						m	0	1	-4, 0, -1		-1	-4
9	8	0	0	2/4	4	1		V\\		Eb	vi		V		V							\\	M	0	1	1, 5, 2		1	1
10	8	0	1/4	2/4	4	1		I.V7/vi		Eb	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
11	9	0	0	2/4	4	1		V7/ii		Eb	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
11	9	1/4	1/4	2/4	4	1		V7/V		Eb	I		V7/V		V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
12	10	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
12	10	1/4	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
13	11	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii				Ger	0	0	0, 4, 1, 10		10	0
13	11	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii				M	0	0	5, 9, 6		5	5
14	12	1/4	1/4	2/4	4	1		V43		Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
14	12	7/16	7/16	2/4	4	1		vi64		Eb	I		vi64		vi		64						m	0	0	4, 3, 0		3	4
15	13	0	0	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
15	13	1/4	1/4	2/4	4	1		V64		Eb	I		V64		V		64						M	0	0	2, 1, 5		1	2
15	13	7/16	7/16	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
16	14	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
16	14	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
16	14	7/16	7/16	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
17	15	0	0	2/4	4	1		V43		Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
17	15	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
17	15	7/16	7/16	2/4	4	1		vi		Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
18	16	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
18	16	1/4	1/4	2/4	4	1		vi7		Eb	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
18	16	7/16	7/16	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
19	17	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
19	17	1/4	1/4	2/4	4	1		ii7		Eb	I		ii7		ii		7						mm7	0	0	2, -1, 3, 0		2	2
19	17	7/16	7/16	2/4	4	1		iii		Eb	I		iii		iii								m	0	0	4, 1, 5		4	4
20	18	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
20	18	1/4	1/4	2/4	4	1		vii%7		Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
20	18	7/16	7/16	2/4	4	1		#viio/ii		Eb	I		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
21	19	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
21	19	1/8	1/8	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
21	19	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
21	19	3/8	3/8	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
22	20	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
23	20	0	1/4	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
25	22	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
26	23	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
27	24	0	0	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
