mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	4	1		Bb.I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
5	5	0	0	3/8	4	1		V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
6	6	0	0	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
7	7	0	0	3/8	4	1		V7/V	Bb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
8	8	0	0	3/8	4	1		V\\	Bb	I		V	V						\\	M	0	0	1, 5, 2		1	1
9	9	0	0	3/8	4	1		bVII.I	Bb	bVII		I	I							M	0	0	0, 4, 1		0	0
13	13	0	0	3/8	4	1		V	Bb	bVII		V	V							M	0	0	1, 5, 2		1	1
14	14	0	0	3/8	4	1		I	Bb	bVII		I	I							M	0	0	0, 4, 1		0	0
15	15	0	0	3/8	4	1		V7/V	Bb	bVII		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
16	16	0	0	3/8	4	1		V\\	Bb	bVII		V	V						\\	M	0	0	1, 5, 2		1	1
17	17	0	0	3/8	4	1		bII.I	Bb	bII		I	I							M	0	0	0, 4, 1		0	0
21	21	0	0	3/8	4	1		I.V43	Bb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
23	23	0	0	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
23	23	1/8	1/8	3/8	4	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	23	1/4	1/4	3/8	4	1		vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
24	24	0	0	3/8	4	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
24	24	1/8	1/8	3/8	4	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	1/4	1/4	3/8	4	1		V2	Bb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	0	0	3/8	4	1		I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
25	25	1/8	1/8	3/8	4	1		viio6	Bb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
25	25	1/4	1/4	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
26	26	0	0	3/8	4	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
26	26	1/8	1/8	3/8	4	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
26	26	1/4	1/4	3/8	4	1		viio64	Bb	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
27	27	0	0	3/8	4	1		I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
27	27	1/8	1/8	3/8	4	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
28	28	1/8	1/8	3/8	4	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	29	0	0	3/8	4	1		I\\	Bb	I		I	I						\\	M	0	0	0, 4, 1		0	0
29	29	1/8	1/8	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
33	33	0	0	3/8	4	1		V43/vi	Bb	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
35	35	0	0	3/8	4	1		vi	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
36	36	0	0	3/8	4	1		viio43/iii	Bb	I		viio43/iii	vii	o	43		iii			o7	0	0	-4, -7, 2, -1		2	-4
38	38	0	0	3/8	4	1		V/iii	Bb	I		V/iii	V				iii			M	0	0	5, 9, 6		5	5
39	39	0	0	3/8	4	1		iii.i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
40	40	0	0	3/8	4	1		V43	Bb	iii		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
41	41	0	0	3/8	4	1		i6	Bb	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
42	42	0	0	3/8	4	1		iio6	Bb	iii		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
42	42	1/4	1/4	3/8	4	1		V6/V	Bb	iii		V6/V	V		6		V			M	0	1	6, 3, 2		2	6
43	43	0	0	3/8	4	1		V(4)	Bb	iii		V(4)	V			4				M	0	1	1, 0, 2		1	1
43	43	1/16	1/16	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
43	43	5/16	5/16	3/8	4	1		VI6	Bb	iii		VI6	VI		6					M	0	1	0, -3, -4		-4	0
44	44	0	0	3/8	4	1		V6	Bb	iii		V6	V		6					M	0	1	5, 2, 1		1	5
44	44	5/16	5/16	3/8	4	1		iv6	Bb	iii		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
45	45	0	0	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
46	46	0	0	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
46	46	1/4	1/4	3/8	4	1		viio6/VII	Bb	iii		viio6/VII	vii	o	6		VII			o	0	1	0, -3, 3		3	0
47	47	0	0	3/8	4	1		V7/III	Bb	iii		V7/III	V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
48	48	0	0	3/8	4	1		III	Bb	iii		III	III							M	0	1	-3, 1, -2		-3	-3
48	48	1/4	1/4	3/8	4	1		i6	Bb	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
48	48	5/16	5/16	3/8	4	1		iv	Bb	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
49	49	0	0	3/8	4	1		V\\	Bb	iii		V	V						\\	M	0	1	1, 5, 2		1	1
50	50	0	0	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
50	50	1/4	1/4	3/8	4	1		viio6/VII	Bb	iii		viio6/VII	vii	o	6		VII			o	0	1	0, -3, 3		3	0
51	51	0	0	3/8	4	1		V7/III	Bb	iii		V7/III	V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
51	51	3/16	3/16	3/8	4	1		V2/III	Bb	iii		V2/III	V		2		III			Mm7	0	1	-4, -2, 2, -1		-2	-4
51	51	1/4	1/4	3/8	4	1		III6	Bb	iii		III6	III		6					M	0	1	1, -2, -3		-3	1
51	51	5/16	5/16	3/8	4	1		V43/III	Bb	iii		V43/III	V		43		III			Mm7	0	1	-1, -4, -2, 2		-2	-1
52	52	0	0	3/8	4	1		III	Bb	iii		III	III							M	0	1	-3, 1, -2		-3	-3
52	52	3/16	3/16	3/8	4	1		V(6)	Bb	iii		V(6)	V			6				M	0	1	1, 5, -3		1	1
52	52	1/4	1/4	3/8	4	1		i6	Bb	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
52	52	5/16	5/16	3/8	4	1		iv	Bb	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
53	53	0	0	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
54	54	0	0	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
54	54	1/16	1/16	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
54	54	1/8	1/8	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
55	55	1/8	1/8	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
55	55	3/16	3/16	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
55	55	1/4	1/4	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
56	56	1/8	1/8	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
56	56	3/16	3/16	3/8	4	1		V7	Bb	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
56	56	1/4	1/4	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
57	57	1/8	1/8	3/8	4	1		V7	Bb	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
57	57	3/16	3/16	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
57	57	1/4	1/4	3/8	4	1		V	Bb	iii		V	V							M	0	1	1, 5, 2		1	1
58	58	0	0	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
58	58	1/8	1/8	3/8	4	1		bII	Bb	iii		bII	bII							M	0	1	-5, -1, -4		-5	-5
59	59	1/8	1/8	3/8	4	1		V7	Bb	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
59	59	1/4	1/4	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
60	60	3/32	3/32	3/8	4	1		bII	Bb	iii		bII	bII							M	0	1	-5, -1, -4		-5	-5
61	61	1/8	1/8	3/8	4	1		V7	Bb	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
61	61	1/4	1/4	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
65	65	0	0	3/8	4	1		i\\	Bb	iii		i	i						\\	m	0	1	0, -3, 1		0	0
66	66	0	0	3/8	4	1		vii	Bb	iii		vii	vii							m	0	1	-2, -5, -1		-2	-2
67	67	0	0	3/8	4	1		biv	Bb	iii		biv	biv							m	0	1	-8, -11, -7		-8	-8
67	67	1/4	1/4	3/8	4	1		V/VI	Bb	iii		V/VI	V				VI			M	0	1	-3, 1, -2		-3	-3
68	68	0	0	3/8	4	1		I.I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
72	72	1/4	1/4	3/8	4	1		V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
73	73	0	0	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
74	74	0	0	3/8	4	1		IV	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
74	74	1/4	1/4	3/8	4	1		V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
75	75	0	0	3/8	4	1		I\\	Bb	I		I	I						\\	M	0	0	0, 4, 1		0	0
78	78	1/16	1/16	3/8	4	1		vi7	Bb	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
79	79	0	0	3/8	4	1		V/iii	Bb	I		V/iii	V				iii			M	0	0	5, 9, 6		5	5
83	83	0	0	3/8	4	1		VII.I	Bb	VII		I	I							M	0	0	0, 4, 1		0	0
83	83	1/4	1/4	3/8	4	1		V	Bb	VII		V	V							M	0	0	1, 5, 2		1	1
84	84	0	0	3/8	4	1		I	Bb	VII		I	I							M	0	0	0, 4, 1		0	0
85	85	0	0	3/8	4	1		IV	Bb	VII		IV	IV							M	0	0	-1, 3, 0		-1	-1
85	85	1/4	1/4	3/8	4	1		V	Bb	VII		V	V							M	0	0	1, 5, 2		1	1
86	86	0	0	3/8	4	1		I	Bb	VII		I	I							M	0	0	0, 4, 1		0	0
87	87	0	0	3/8	4	1		iii.i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
87	87	1/4	1/4	3/8	4	1		V7/V	Bb	iii		V7/V	V		7		V			Mm7	0	1	2, 6, 3, 0		2	2
88	88	1/4	1/4	3/8	4	1		V7	Bb	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
91	91	0	0	3/8	4	1		i[i	Bb	iii	i	i	i							m	0	1	0, -3, 1		0	0
92	92	0	0	3/8	4	1		#viio43/iv	Bb	iii	i	#viio43/iv	#vii	o	43		iv			o7	0	1	-2, -5, 4, 1		4	-2
93	93	0	0	3/8	4	1		iv6	Bb	iii	i	iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
94	94	0	0	3/8	4	1		#viio2	Bb	iii	i	#viio2	#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
95	95	0	0	3/8	4	1		V7/iv]	Bb	iii	i	V7/iv	V		7		iv			Mm7	0	1	0, 4, 1, -2		0	0
96	96	0	0	3/8	4	1		V2/iv	Bb	iii		V2/iv	V		2		iv			Mm7	0	1	-2, 0, 4, 1		0	-2
97	97	0	0	3/8	4	1		iv6	Bb	iii		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
97	97	1/4	1/4	3/8	4	1		iv	Bb	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
98	98	0	0	3/8	4	1		#viio43(+2)	Bb	iii		#viio43(+2)	#vii	o	43	+2				o7	0	1	-1, -4, 5, 2	0	5	-1
99	99	0	0	3/8	4	1		i	Bb	iii		i	i							m	0	1	0, -3, 1		0	0
100	100	0	0	3/8	4	1		@none	Bb	iii		@none	@none							m	0	1				
100	100	1/4	1/4	3/8	4	1		I.V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
101	101	0	0	3/8	4	1		I[I	Bb	I	I	I	I							M	0	0	0, 4, 1		0	0
101	101	1/4	1/4	3/8	4	1		V2	Bb	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
102	102	0	0	3/8	4	1		I6	Bb	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
103	103	0	0	3/8	4	1		V2	Bb	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
104	104	0	0	3/8	4	1		I]	Bb	I	I	I	I							M	0	0	0, 4, 1		0	0
105	105	0	0	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
105	105	1/4	1/4	3/8	4	1		V2	Bb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
106	106	0	0	3/8	4	1		I6	Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
106	106	1/4	1/4	3/8	4	1		V43	Bb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
107	107	0	0	3/8	4	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
108	108	0	0	3/8	4	1		V6/iii	Bb	I		V6/iii	V		6		iii			M	0	0	9, 6, 5		5	9
109	109	0	0	3/8	4	1		iii	Bb	I		iii	iii							m	0	0	4, 1, 5		4	4
110	110	0	0	3/8	4	1		V6/V	Bb	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
