key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
c minor	[0.492, 0.0, 0.0, 0.157, 0.0, 0.0, 0.075, 0.133, 0.0, 0.144, 0.0, 0.0]	0.0	21.0	21.0	1	9	8
f minor	[0.198, 0.0, 0.075, 0.0, 0.028, 0.132, 0.0, 0.292, 0.179, 0.0, 0.019, 0.075]	21.0	27.0	2.0	9	11	2
c minor	[0.386, 0.0, 0.043, 0.146, 0.0, 0.046, 0.095, 0.078, 0.045, 0.138, 0.006, 0.017]	27.0	81.0	3.0	11	30	19
f minor	[0.28, 0.0, 0.066, 0.149, 0.011, 0.049, 0.0, 0.297, 0.082, 0.0, 0.0, 0.066]	81.0	87.0	2.0	30	32	2
c minor	[0.35, 0.03, 0.022, 0.088, 0.002, 0.124, 0.032, 0.178, 0.087, 0.061, 0.007, 0.02]	87.0	120.0	1.0	32	40	8
