mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	2/2	2	1	F.I{		F	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	2/2	2	1	viio		F	I		viio		vii	o						o	0	0	5, 2, -1		5	5
3	2	0	0	2/2	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
4	3	1/2	1/2	2/2	2	1	viio		F	I		viio		vii	o						o	0	0	5, 2, -1		5	5
5	4	0	0	2/2	2	1	I[I		F	I	I	I		I							M	0	0	0, 4, 1		0	0
6	5	0	0	2/2	2	1	V2		F	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	0	0	2/2	2	1	I		F	I	I	I		I							M	0	0	0, 4, 1		0	0
8	7	0	0	2/2	2	1	V2		F	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	8	0	0	2/2	2	1	I]}		F	I	I	I		I						}	M	0	0	0, 4, 1		0	0
9	8	3/4	3/4	2/2	2	1	{		F	I										{		0	0				
10	9	1/2	1/2	2/2	2	1	viio		F	I		viio		vii	o						o	0	0	5, 2, -1		5	5
11	10	0	0	2/2	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
12	11	1/2	1/2	2/2	2	1	viio		F	I		viio		vii	o						o	0	0	5, 2, -1		5	5
13	12	0	0	2/2	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
14	13	0	0	2/2	2	1	V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	14	0	0	2/2	2	1	I		F	I		I		I							M	0	0	0, 4, 1		0	0
15	14	3/4	3/4	2/2	2	1	I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	0	0	2/2	2	1	V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
