0,1,1,,1,G,I,Exposition,First Subject Group,Theme a
9,4,4,,1,G,IV,,,
12,5,5,,1,G,ii6,,,
15,6,6,,1,G,V43,,,
21,8,8,,1,G,I,Exposition,Transition,Theme b
24,9,9,,1,G,V6,,,
27,10,10,,1,G,I,,,
30,11,11,,1,G,IV,,,
32,11,11,,3,G,V65/V,,,
33,12,12,,1,G,V,,,
33.5,12,12,,1.5,None,None,Exposition,Transition,Theme c
45,16,16,,1,G,iii,,,
57,20,20,,1,A,V65,,,
69,24,24,,1,A,I,Exposition,Second Subject Group,Theme d
72,25,25,,1,A,V65,,,
75,26,26,,1,D,V7,,,
78,27,27,,1,D,I,,,
81,28,28,,1,A,I,Exposition,Second Subject Group,Theme d
84,29,29,,1,A,V65,,,
87,30,30,,1,D,V7,,,
90,31,31,,1,D,I,,,
93,32,32,,1,D,V,Exposition,Second Subject Group,Theme d'
96,33,33,,1,D,vi,,,
99,34,34,,1,D,V42/V,,,
102,35,35,,1,D,V7,,,
108,37,37,,1,D,viio42,,,
111,38,38,,1,D,V7,,,
113,38,38,,3,D,V42,,,
114,39,39,,1,D,I6,,,
116,39,39,,3,D,I,,,
117,40,40,,1,D,V7,,,
120,41,41,,1,D,viio42,,,
123,42,42,,1,D,V7,,,
125,42,42,,3,D,V42,,,
126,43,43,,1,D,I6,,,
128,43,43,,3,D,I,,,
129,44,44,,1,D,IV,,,
131,44,44,,3,D,ii6,,,
132,45,45,,1,D,I64,,,
134,45,45,,3,D,V7,,,
135,46,46,,1,D,I,Exposition,Second Subject Group,Theme e
138,47,47,,1,D,V43,,,
141,48,48,,1,G,I6,,,
144,49,49,,1,G,V43,,,
147,50,50,,1,G,I,Exposition,First Subject Group,Theme a
156,53,=,4,1,,,,,
159,54,=,5,1,,,,,
162,55,=,6,1,,,,,
168,57,=,8,1,,,,,
171,58,=,9,1,,,,,
174,59,=,10,1,,,,,
177,60,=,11,1,,,,,
179,60,=,11,3,,,,,
180,61,=,12,1,,,,,
180.5,61,=,12,1.5,,,,,
192,65,=,16,1,,,,,
204,69,=,20,1,,,,,
216,73,=,24,1,,,,,
219,74,=,25,1,,,,,
222,75,=,26,1,,,,,
225,76,=,27,1,,,,,
228,77,=,28,1,,,,,
231,78,=,29,1,,,,,
234,79,=,30,1,,,,,
237,80,=,31,1,,,,,
240,81,=,32,1,,,,,
243,82,=,33,1,,,,,
246,83,=,34,1,,,,,
249,84,=,35,1,,,,,
255,86,=,37,1,,,,,
258,87,=,38,1,,,,,
260,87,=,38,3,,,,,
261,88,=,39,1,,,,,
263,88,=,39,3,,,,,
264,89,=,40,1,,,,,
267,90,=,41,1,,,,,
270,91,=,42,1,,,,,
272,91,=,42,3,,,,,
273,92,=,43,1,,,,,
275,92,=,43,3,,,,,
276,93,=,44,1,,,,,
278,93,=,44,3,,,,,
279,94,=,45,1,,,,,
281,94,=,45,3,,,,,
282,95,=,46,1,,,,,
285,96,=,47,1,,,,,
288,97,=,48,1,,,,,
291,98,=,49,1,,,,,
294,99,50a,50,1,E,I6,,,
297,100,51a,51,1,E,V43,,,
300,101,52,,1,E,I,Development,d1,Theme a
309,104,55,,1,E,IV,,,
312,105,56,,1,E,ii6,,,
315,106,57,,1,E,V43,,,
